county,precinct,office,district,candidate,party,votes,election_day,early_voting
Live Oak,01 Argenta,Ballots Cast,,,,254,170,82
Live Oak,01 Argenta,Straight Party,,REPUBLICAN PARTY,REP,109,75,34
Live Oak,01 Argenta,Straight Party,,DEMOCRATIC PARTY,DEM,21,13,7
Live Oak,01 Argenta,Straight Party,,LIBERTARIAN PARTY,LIB,2,2,0
Live Oak,01 Argenta,Straight Party,,GREEN PARTY,GRN,0,0,0
Live Oak,01 Argenta,President,,Mitt Romney,REP,209,138,71
Live Oak,01 Argenta,President,,Barack Obama,DEM,41,28,11
Live Oak,01 Argenta,President,,Gary Johnson,LIB,2,2,0
Live Oak,01 Argenta,President,,Jill Stein,GRN,1,1,0
Live Oak,01 Argenta,President,,Write-ins,,0,0,0
Live Oak,01 Argenta,US Senate,,Ted Cruz,REP,193,127,66
Live Oak,01 Argenta,US Senate,,Paul Sadler,DEM,45,32,11
Live Oak,01 Argenta,US Senate,,John Jay Myers,LIB,6,3,3
Live Oak,01 Argenta,US Senate,,David B. Collins,GRN,1,1,0
Live Oak,01 Argenta,US House,15,Dale A. Brueggemann,REP,191,127,64
Live Oak,01 Argenta,US House,15,Ruben Hinojosa,DEM,51,36,13
Live Oak,01 Argenta,US House,15,Ron Finch,LIB,3,0,3
Live Oak,01 Argenta,Railroad Commissioner,,Christi Craddick,REP,190,128,62
Live Oak,01 Argenta,Railroad Commissioner,,Dale Henry,DEM,46,30,14
Live Oak,01 Argenta,Railroad Commissioner,,Vik Wall,LIB,3,1,2
Live Oak,01 Argenta,Railroad Commissioner,,Chris Kennedy,GRN,3,2,1
Live Oak,01 Argenta,Railroad Commissioner,unexpired,Barry Smitherman,REP,202,137,64
Live Oak,01 Argenta,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,14,8,5
Live Oak,01 Argenta,Railroad Commissioner,unexpired,Josh Wendel,GRN,5,4,1
Live Oak,01 Argenta,State Senate,21,Grant Rostig,REP,175,114,61
Live Oak,01 Argenta,State Senate,21,Judith Zaffirini,DEM,62,47,14
Live Oak,01 Argenta,State Senate,21,Joseph Morse,LIB,7,3,3
Live Oak,01 Argenta,State House,31,Ann Matthews,REP,192,126,66
Live Oak,01 Argenta,State House,31,Ryan Guillen,DEM,52,37,13
Live Oak,02 Lagarto,Ballots Cast,,,,546,379,166
Live Oak,02 Lagarto,Straight Party,,REPUBLICAN PARTY,REP,208,138,70
Live Oak,02 Lagarto,Straight Party,,DEMOCRATIC PARTY,DEM,61,49,12
Live Oak,02 Lagarto,Straight Party,,LIBERTARIAN PARTY,LIB,1,1,0
Live Oak,02 Lagarto,Straight Party,,GREEN PARTY,GRN,2,2,0
Live Oak,02 Lagarto,President,,Mitt Romney,REP,419,277,142
Live Oak,02 Lagarto,President,,Barack Obama,DEM,114,93,20
Live Oak,02 Lagarto,President,,Gary Johnson,LIB,9,7,2
Live Oak,02 Lagarto,President,,Jill Stein,GRN,3,2,1
Live Oak,02 Lagarto,President,,Write-ins,,0,0,0
Live Oak,02 Lagarto,US Senate,,Ted Cruz,REP,395,257,138
Live Oak,02 Lagarto,US Senate,,Paul Sadler,DEM,120,95,24
