county,precinct,office,district,candidate,party,votes,early_voting,election_day
Waller,101 - BS8,Registered Voters,,,,1872,,
Waller,102 - BS8,Registered Voters,,,,1734,,
Waller,103 - BS8,Registered Voters,,,,1301,,
Waller,104 - BS8,Registered Voters,,,,827,,
Waller,105 - BS8,Registered Voters,,,,749,,
Waller,206 - BS10,Registered Voters,,,,2342,,
Waller,207 - BS10,Registered Voters,,,,3006,,
Waller,208 - BS10,Registered Voters,,,,1654,,
Waller,309 - BS9,Registered Voters,,,,5675,,
Waller,310 - BS9,Registered Voters,,,,1593,,
Waller,311 - BS9,Registered Voters,,,,694,,
Waller,312 - BS9,Registered Voters,,,,1474,,
Waller,313 - BS9,Registered Voters,,,,530,,
Waller,414 - BS12,Registered Voters,,,,333,,
Waller,415 - BS12,Registered Voters,,,,1210,,
Waller,416 - BS11,Registered Voters,,,,1000,,
Waller,416 - BS12,Registered Voters,,,,443,,
Waller,417 - BS11,Registered Voters,,,,672,,
Waller,417 - BS12,Registered Voters,,,,650,,
Waller,418 - BS12,Registered Voters,,,,1091,,
Waller,419 - BS13,Registered Voters,,,,39,,
Waller,420 - BS13,Registered Voters,,,,859,,
Waller,101 - BS8,President,,Barack Obama,DEM,379,259,120
Waller,102 - BS8,President,,Barack Obama,DEM,531,379,152
Waller,103 - BS8,President,,Barack Obama,DEM,350,260,90
Waller,104 - BS8,President,,Barack Obama,DEM,167,110,57
Waller,105 - BS8,President,,Barack Obama,DEM,74,44,30
Waller,206 - BS10,President,,Barack Obama,DEM,221,125,96
Waller,207 - BS10,President,,Barack Obama,DEM,199,110,89
Waller,208 - BS10,President,,Barack Obama,DEM,258,128,130
Waller,309 - BS9,President,,Barack Obama,DEM,2017,1311,706
Waller,310 - BS9,President,,Barack Obama,DEM,751,536,215
Waller,311 - BS9,President,,Barack Obama,DEM,139,60,79
Waller,312 - BS9,President,,Barack Obama,DEM,131,73,58
Waller,313 - BS9,President,,Barack Obama,DEM,84,30,54
Waller,414 - BS12,President,,Barack Obama,DEM,133,36,97
