county,precinct,office,district,party,office,early_voting,election_day,votes
Erath,Precinct 11,Straight Party,,REP,Republican Party,0,0,0
Erath,Precinct 11,Straight Party,,DEM,Democratic Party,0,0,0
Erath,Precinct 11,Straight Party,,LIB,Libertarian Party,0,0,0
Erath,Precinct 11,Straight Party,,GRN,Green Party,0,0,0
Erath,Precinct 11,Straight Party,,,Over Votes,0,0,0
Erath,Precinct 11,Straight Party,,,Under Votes,4,0,4
Erath,Precinct 11,President,,REP,Mitt Romney \ Paul Ryan,3,0,3
Erath,Precinct 11,President,,DEM,Barack Obama \ Joe Biden,1,0,1
Erath,Precinct 11,President,,LIB,Gary Johnson \ Jim Gray,0,0,0
Erath,Precinct 11,President,,GRN,Jill Stein \ Cheri Honkala,0,0,0
Erath,Precinct 11,President,,,VIRGIL GOODE (W),0,0,0
Erath,Precinct 11,President,,,Over Votes,0,0,0
Erath,Precinct 11,President,,,Under Votes,0,0,0
Erath,Precinct 11,US Senate,,REP,Ted Cruz,3,0,3
Erath,Precinct 11,US Senate,,DEM,Paul Sadler,1,0,1
Erath,Precinct 11,US Senate,,LIB,John Jay Myers,0,0,0
Erath,Precinct 11,US Senate,,GRN,David B. Collins,0,0,0
Erath,Precinct 11,US Senate,,,Over Votes,0,0,0
Erath,Precinct 11,US Senate,,,Under Votes,0,0,0
Erath,Precinct 11,US House,11,REP,Mike Conaway,3,0,3
Erath,Precinct 11,US House,11,DEM,Jim Riley,0,0,0
Erath,Precinct 11,US House,11,LIB,Scott J. Ballard,0,0,0
Erath,Precinct 11,US House,11,,Over Votes,0,0,0
Erath,Precinct 11,US House,11,,Under Votes,1,0,1
Erath,Precinct 11,Railroad Commissioner,,REP,Christi Craddick,3,0,3
Erath,Precinct 11,Railroad Commissioner,,DEM,Dale Henry,0,0,0
Erath,Precinct 11,Railroad Commissioner,,LIB,Vivekananda (Vik) Wall,0,0,0
Erath,Precinct 11,Railroad Commissioner,,GRN,Chris Kennedy,0,0,0
Erath,Precinct 11,Railroad Commissioner,,,Over Votes,0,0,0
