county,precinct,office,district,candidate,party,early_voting,mail,election_day,votes
Collin,PCT 001,Straight Party,,Republican,REP,243,213,77,533
Collin,PCT 001,Straight Party,,Democrat,DEM,168,109,57,334
Collin,PCT 001,Straight Party,,Libertarian,LIB,2,4,3,9
Collin,PCT 001,Straight Party,,Green,GRN,0,1,0,1
Collin,PCT 001,President/Vice-President,,Romney/Ryan,REP,374,368,110,852
Collin,PCT 001,President/Vice-President,,Obama/Biden,DEM,251,209,101,561
Collin,PCT 001,President/Vice-President,,Johnson/Gray,LIB,2,11,7,20
Collin,PCT 001,President/Vice-President,,Stein/Honkala,GRN,0,1,1,2
Collin,PCT 001,President/Vice-President,,Write-in 50,NP,0,0,0,0
Collin,PCT 001,U.S. Senate,,Ted Cruz,REP,354,337,107,798
Collin,PCT 001,U.S. Senate,,Paul Sadler,DEM,245,199,80,524
Collin,PCT 001,U.S. Senate,,John Jay Myers,LIB,9,14,13,36
Collin,PCT 001,U.S. Senate,,David B. Collins,GRN,1,8,3,12
Collin,PCT 001,U.S. House,3,Sam Johnson,REP,406,281,119,806
Collin,PCT 001,Railroad Commissioner,,Christi Craddick,REP,349,334,105,788
Collin,PCT 001,Railroad Commissioner,,Dale Henry,DEM,222,181,76,479
Collin,PCT 001,Railroad Commissioner,,Vivekananda (Vik) Wa,LIB,13,13,9,35
Collin,PCT 001,Railroad Commissioner,,Chris Kennedy,GRN,11,16,5,32
Collin,PCT 001,"Railroad Commissioner, Unexpired Term",,Barry Smitherman,REP,357,337,102,796
Collin,PCT 001,"Railroad Commissioner, Unexpired Term",,Jaime O. Perez,LIB,60,60,33,153
Collin,PCT 001,"Railroad Commissioner, Unexpired Term",,Josh Wendel,GRN,40,23,15,78
Collin,PCT 001,"Justice, Supreme Court, Place 2",,Don Willett,REP,367,349,110,826
Collin,PCT 001,"Justice, Supreme Court, Place 2",,RS Roberto Koelsch,LIB,92,62,32,186
Collin,PCT 001,"Justice, Supreme Court, Place 4",,John Devine,REP,356,335,102,793
Collin,PCT 001,"Justice, Supreme Court, Place 4",,Tom Oxford,LIB,71,54,32,157
Collin,PCT 001,"Justice, Supreme Court, Place 4",,Charles E. Waterbury,GRN,38,23,11,72
Collin,PCT 001,"Justice, Supreme Court, Place 6",,Nathan Hecht,REP,338,316,98,752
Collin,PCT 001,"Justice, Supreme Court, Place 6",,Michele Petty,DEM,236,189,75,500
Collin,PCT 001,"Justice, Supreme Court, Place 6",,Mark Ash,LIB,20,23,14,57
Collin,PCT 001,"Justice, Supreme Court, Place 6",,Jim Chisholm,GRN,5,8,5,18
Collin,PCT 001,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,344,321,104,769
Collin,PCT 001,"Presiding Judge, Court of Criminal Appeals",,Keith Hampton,DEM,236,191,78,505
Collin,PCT 001,"Presiding Judge, Court of Criminal Appeals",,Lance Stott,LIB,22,24,12,58
Collin,PCT 001,"Judge, Court of Criminal Appeals Place 7",,Barbara Parker Herve,REP,365,338,101,804
Collin,PCT 001,"Judge, Court of Criminal Appeals Place 7",,Mark W. Bennett,LIB,90,68,41,199
Collin,PCT 001,"Judge, Court of Criminal Appeals Place 8",,Elsa Alcala,REP,364,336,107,807
Collin,PCT 001,"Judge, Court of Criminal Appeals Place 8",,William Bryan Strang,LIB,81,70,38,189
Collin,PCT 001,"Member, State Board of Education, District 12",,"Geraldine \Tincy\"" Mi""",REP,354,278,101,733
Collin,PCT 001,"Member, State Board of Education, District 12",,Lois Parrott,DEM,239,154,88,481
Collin,PCT 001,State Senate,8,Ken Paxton,REP,367,265,106,738
Collin,PCT 001,State Senate,8,"Jack G.B. Ternan, Jr",DEM,227,140,76,443
Collin,PCT 001,State Senate,8,Ed Kless,LIB,13,16,11,40
Collin,PCT 001,State Representative,70,Scott Sanford,REP,400,273,119,792
Collin,PCT 001,"Chief Justice, 5th Court of Appeals District",,Carolyn Wright,REP,391,309,115,815
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 2",,David Evans,REP,354,290,101,745
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 2",,Dan Wood,DEM,235,158,82,475
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 5",,Jim Moseley,REP,353,291,102,746
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 5",,Penny Robe Phillips,DEM,238,159,82,479
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 9",,David Lewis,REP,354,283,105,742
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 9",,David Hanschen,DEM,236,163,82,481
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 10",,Molly Francis,REP,393,308,114,815
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 11",,Douglas S. Lang,REP,352,290,102,744
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 11",,Tonya J. Holt,DEM,241,154,86,481
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 12",,"Robert M. \Bob\"" Fill""",REP,355,287,105,747
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 12",,Lawrence J. Praeger,DEM,236,155,81,472
Collin,PCT 001,"Justice, 5th Court of Appeals District, Place 13",,Elizabeth Lang Miers,REP,395,304,116,815
Collin,PCT 001,"District Judge, 199th Judicial District",,Angela Tucker,REP,398,262,121,781
Collin,PCT 001,"District Judge, 380th Judicial District",,Ben Smith,REP,396,262,115,773
Collin,PCT 001,"District Judge, 401st Judicial District",,Mark Rusch,REP,399,263,114,776
Collin,PCT 001,"District Judge, 416th Judicial District",,Chris Oldner,REP,397,263,116,776
Collin,PCT 001,"Judge, County Court at Law Number 2",,Barnett Walker,REP,397,263,115,775
Collin,PCT 001,Sheriff,,Terry G. Box,REP,415,268,128,811
Collin,PCT 001,County Tax Assessor-Collector,,Kenneth L. Maun,REP,409,275,124,808
Collin,PCT 001,District Clerk,,Andrea Stroh Thompso,REP,397,261,115,773
Collin,PCT 001,"County Commissioner, Precinct 3",,Chris Hill,REP,395,264,115,774
Collin,PCT 001,"Constable, Precinct No. 1",,Shane Williams,REP,392,264,118,774
Collin,PCT 002,Straight Party,,Republican,REP,435,17,166,618
Collin,PCT 002,Straight Party,,Democrat,DEM,355,6,140,501
Collin,PCT 002,Straight Party,,Libertarian,LIB,10,0,8,18
Collin,PCT 002,Straight Party,,Green,GRN,1,0,1,2
Collin,PCT 002,President/Vice-President,,Romney/Ryan,REP,651,22,237,910
Collin,PCT 002,President/Vice-President,,Obama/Biden,DEM,500,12,221,733
Collin,PCT 002,President/Vice-President,,Johnson/Gray,LIB,22,0,17,39
Collin,PCT 002,President/Vice-President,,Stein/Honkala,GRN,3,0,4,7
Collin,PCT 002,President/Vice-President,,Write-in 50,NP,4,0,2,6
Collin,PCT 002,U.S. Senate,,Ted Cruz,REP,646,22,241,909
Collin,PCT 002,U.S. Senate,,Paul Sadler,DEM,478,11,190,679
Collin,PCT 002,U.S. Senate,,John Jay Myers,LIB,24,0,19,43
Collin,PCT 002,U.S. Senate,,David B. Collins,GRN,6,0,8,14
Collin,PCT 002,U.S. House,3,Sam Johnson,REP,711,22,281,1014
Collin,PCT 002,Railroad Commissioner,,Christi Craddick,REP,635,21,232,888
Collin,PCT 002,Railroad Commissioner,,Dale Henry,DEM,450,9,185,644
Collin,PCT 002,Railroad Commissioner,,Vivekananda (Vik) Wa,LIB,24,0,24,48
Collin,PCT 002,Railroad Commissioner,,Chris Kennedy,GRN,21,1,9,31
Collin,PCT 002,"Railroad Commissioner, Unexpired Term",,Barry Smitherman,REP,644,20,236,900
Collin,PCT 002,"Railroad Commissioner, Unexpired Term",,Jaime O. Perez,LIB,152,3,93,248
Collin,PCT 002,"Railroad Commissioner, Unexpired Term",,Josh Wendel,GRN,70,2,21,93
Collin,PCT 002,"Justice, Supreme Court, Place 2",,Don Willett,REP,667,21,249,937
Collin,PCT 002,"Justice, Supreme Court, Place 2",,RS Roberto Koelsch,LIB,194,4,97,295
Collin,PCT 002,"Justice, Supreme Court, Place 4",,John Devine,REP,641,21,248,910
Collin,PCT 002,"Justice, Supreme Court, Place 4",,Tom Oxford,LIB,157,2,79,238
Collin,PCT 002,"Justice, Supreme Court, Place 4",,Charles E. Waterbury,GRN,70,2,24,96
Collin,PCT 002,"Justice, Supreme Court, Place 6",,Nathan Hecht,REP,608,21,218,847
Collin,PCT 002,"Justice, Supreme Court, Place 6",,Michele Petty,DEM,471,10,196,677
Collin,PCT 002,"Justice, Supreme Court, Place 6",,Mark Ash,LIB,33,0,24,57
Collin,PCT 002,"Justice, Supreme Court, Place 6",,Jim Chisholm,GRN,15,0,10,25
Collin,PCT 002,"Presiding Judge, Court of Criminal Appeals",,Sharon Keller,REP,624,20,228,872
