county,precinct,office,district,candidate,party,election_day,early_voting,votes
Donley,101 Barfield Bldg,President,,Barack Obama,Dem,9,18,27
Donley,102 Howard Wick,President,,Barack Obama,Dem,24,12,36
Donley,201 Courthouse,President,,Barack Obama,Dem,27,37,64
Donley,301 AGFH,President,,Barack Obama,Dem,3,5,8
Donley,303 Hedley,President,,Barack Obama,Dem,23,11,34
Donley,401 CCLC,President,,Barack Obama,Dem,32,25,57
Donley,101 Barfield Bldg,President,,Mitt Romney,Rep,58,92,150
Donley,102 Howard Wick,President,,Mitt Romney,Rep,75,82,157
Donley,201 Courthouse,President,,Mitt Romney,Rep,164,231,395
Donley,301 AGFH,President,,Mitt Romney,Rep,66,73,139
Donley,303 Hedley,President,,Mitt Romney,Rep,109,65,174
Donley,401 CCLC,President,,Mitt Romney,Rep,127,145,272
Donley,101 Barfield Bldg,President,,Gary Johnson,Lib,3,1,4
Donley,102 Howard Wick,President,,Gary Johnson,Lib,1,2,3
Donley,201 Courthouse,President,,Gary Johnson,Lib,0,6,6
Donley,301 AGFH,President,,Gary Johnson,Lib,1,0,1
Donley,303 Hedley,President,,Gary Johnson,Lib,2,0,2
Donley,401 CCLC,President,,Gary Johnson,Lib,2,2,4
Donley,101 Barfield Bldg,President,,Jill Stein,Grn,0,0,0
Donley,102 Howard Wick,President,,Jill Stein,Grn,0,0,0
Donley,201 Courthouse,President,,Jill Stein,Grn,0,0,0
Donley,301 AGFH,President,,Jill Stein,Grn,0,0,0
Donley,303 Hedley,President,,Jill Stein,Grn,0,0,0
Donley,401 CCLC,President,,Jill Stein,Grn,1,0,1
Donley,101 Barfield Bldg,President,,Stewart Alexander,wri,0,0,0
Donley,102 Howard Wick,President,,Stewart Alexander,wri,0,0,0
Donley,201 Courthouse,President,,Stewart Alexander,wri,0,0,0
Donley,301 AGFH,President,,Stewart Alexander,wri,0,0,0
Donley,303 Hedley,President,,Stewart Alexander,wri,0,0,0
Donley,401 CCLC,President,,Stewart Alexander,wri,1,0,1
Donley,101 Barfield Bldg,US Senate,,Ted Cruz,Rep,57,92,149
Donley,102 Howard Wick,US Senate,,Ted Cruz,Rep,70,78,148
Donley,201 Courthouse,US Senate,,Ted Cruz,Rep,156,220,376
Donley,301 AGFH,US Senate,,Ted Cruz,Rep,58,68,126
Donley,303 Hedley,US Senate,,Ted Cruz,Rep,102,57,159
Donley,401 CCLC,US Senate,,Ted Cruz,Rep,120,134,254
Donley,101 Barfield Bldg,US Senate,,Paul Sadler,Dem,7,18,25
Donley,102 Howard Wick,US Senate,,Paul Sadler,Dem,25,14,39
Donley,201 Courthouse,US Senate,,Paul Sadler,Dem,28,42,70
Donley,301 AGFH,US Senate,,Paul Sadler,Dem,6,9,15
Donley,303 Hedley,US Senate,,Paul Sadler,Dem,25,14,39
Donley,401 CCLC,US Senate,,Paul Sadler,Dem,33,30,63
Donley,101 Barfield Bldg,US Senate,,John Jay Myers,Lib,4,1,5
Donley,102 Howard Wick,US Senate,,John Jay Myers,Lib,3,3,6
Donley,201 Courthouse,US Senate,,John Jay Myers,Lib,1,3,4
Donley,301 AGFH,US Senate,,John Jay Myers,Lib,2,0,2
Donley,303 Hedley,US Senate,,John Jay Myers,Lib,2,2,4
Donley,401 CCLC,US Senate,,John Jay Myers,Lib,6,2,8
Donley,101 Barfield Bldg,US Senate,,David Collins,Grn,0,1,1
Donley,102 Howard Wick,US Senate,,David Collins,Grn,1,1,2
Donley,201 Courthouse,US Senate,,David Collins,Grn,1,0,1
Donley,301 AGFH,US Senate,,David Collins,Grn,0,1,1
Donley,303 Hedley,US Senate,,David Collins,Grn,1,1,2
Donley,401 CCLC,US Senate,,David Collins,Grn,2,1,3
Donley,101 Barfield Bldg,US House,13,Mac Thornberry,Rep,64,96,160
Donley,102 Howard Wick,US House,13,Mac Thornberry,Rep,78,83,161
Donley,201 Courthouse,US House,13,Mac Thornberry,Rep,175,254,429
Donley,301 AGFH,US House,13,Mac Thornberry,Rep,66,72,138
Donley,303 Hedley,US House,13,Mac Thornberry,Rep,113,70,183
Donley,401 CCLC,US House,13,Mac Thornberry,Rep,137,146,283
Donley,101 Barfield Bldg,US House,13,John Deek,Lib,3,6,9
Donley,102 Howard Wick,US House,13,John Deek,Lib,14,5,19
Donley,201 Courthouse,US House,13,John Deek,Lib,2,9,11
Donley,301 AGFH,US House,13,John Deek,Lib,0,1,1
Donley,303 Hedley,US House,13,John Deek,Lib,8,3,11
Donley,401 CCLC,US House,13,John Deek,Lib,12,9,21
Donley,101 Barfield Bldg,US House,13,Keith Houston,Grn,0,4,4
Donley,102 Howard Wick,US House,13,Keith Houston,Grn,2,1,3
Donley,201 Courthouse,US House,13,Keith Houston,Grn,2,4,6
Donley,301 AGFH,US House,13,Keith Houston,Grn,3,1,4
Donley,303 Hedley,US House,13,Keith Houston,Grn,3,0,3
Donley,401 CCLC,US House,13,Keith Houston,Grn,1,3,4
Donley,101 Barfield Bldg,Railroad Commissioner,,Christi Craddick,Rep,56,91,147
Donley,102 Howard Wick,Railroad Commissioner,,Christi Craddick,Rep,64,75,139
Donley,201 Courthouse,Railroad Commissioner,,Christi Craddick,Rep,148,212,360
Donley,301 AGFH,Railroad Commissioner,,Christi Craddick,Rep,60,69,129
Donley,303 Hedley,Railroad Commissioner,,Christi Craddick,Rep,98,62,160
Donley,401 CCLC,Railroad Commissioner,,Christi Craddick,Rep,117,128,245
Donley,101 Barfield Bldg,Railroad Commissioner,,Dale Henry,Dem,7,19,26
Donley,102 Howard Wick,Railroad Commissioner,,Dale Henry,Dem,25,16,41
Donley,201 Courthouse,Railroad Commissioner,,Dale Henry,Dem,31,41,72
Donley,301 AGFH,Railroad Commissioner,,Dale Henry,Dem,3,5,8
Donley,303 Hedley,Railroad Commissioner,,Dale Henry,Dem,20,10,30
Donley,401 CCLC,Railroad Commissioner,,Dale Henry,Dem,31,30,61
Donley,101 Barfield Bldg,Railroad Commissioner,,Vik Wall,Lib,4,1,5
Donley,102 Howard Wick,Railroad Commissioner,,Vik Wall,Lib,5,2,7
Donley,201 Courthouse,Railroad Commissioner,,Vik Wall,Lib,2,5,7
Donley,301 AGFH,Railroad Commissioner,,Vik Wall,Lib,1,0,1
Donley,303 Hedley,Railroad Commissioner,,Vik Wall,Lib,3,0,3
Donley,401 CCLC,Railroad Commissioner,,Vik Wall,Lib,4,6,10
Donley,101 Barfield Bldg,Railroad Commissioner,,Chris Kennedy,Grn,1,0,1
Donley,102 Howard Wick,Railroad Commissioner,,Chris Kennedy,Grn,2,2,4
Donley,201 Courthouse,Railroad Commissioner,,Chris Kennedy,Grn,3,3,6
Donley,301 AGFH,Railroad Commissioner,,Chris Kennedy,Grn,0,2,2
Donley,303 Hedley,Railroad Commissioner,,Chris Kennedy,Grn,4,2,6
Donley,401 CCLC,Railroad Commissioner,,Chris Kennedy,Grn,4,2,6
Donley,101 Barfield Bldg,Railroad Commissioner,unexpired,Barry Smitherman,Rep,56,90,146
Donley,102 Howard Wick,Railroad Commissioner,unexpired,Barry Smitherman,Rep,71,83,154
Donley,201 Courthouse,Railroad Commissioner,unexpired,Barry Smitherman,Rep,160,218,378
Donley,301 AGFH,Railroad Commissioner,unexpired,Barry Smitherman,Rep,59,67,126
Donley,303 Hedley,Railroad Commissioner,unexpired,Barry Smitherman,Rep,97,63,160
Donley,401 CCLC,Railroad Commissioner,unexpired,Barry Smitherman,Rep,117,134,251
Donley,101 Barfield Bldg,Railroad Commissioner,unexpired,Jaime Perez,Lib,5,8,13
Donley,102 Howard Wick,Railroad Commissioner,unexpired,Jaime Perez,Lib,14,5,19
Donley,201 Courthouse,Railroad Commissioner,unexpired,Jaime Perez,Lib,8,22,30
Donley,301 AGFH,Railroad Commissioner,unexpired,Jaime Perez,Lib,3,3,6
Donley,303 Hedley,Railroad Commissioner,unexpired,Jaime Perez,Lib,10,4,14
Donley,401 CCLC,Railroad Commissioner,unexpired,Jaime Perez,Lib,18,15,33
Donley,101 Barfield Bldg,Railroad Commissioner,unexpired,Josh Wendel,Grn,2,3,5
Donley,102 Howard Wick,Railroad Commissioner,unexpired,Josh Wendel,Grn,6,1,7
Donley,201 Courthouse,Railroad Commissioner,unexpired,Josh Wendel,Grn,1,7,8
Donley,301 AGFH,Railroad Commissioner,unexpired,Josh Wendel,Grn,0,0,0
Donley,303 Hedley,Railroad Commissioner,unexpired,Josh Wendel,Grn,5,1,6
Donley,401 CCLC,Railroad Commissioner,unexpired,Josh Wendel,Grn,4,1,5
Donley,101 Barfield Bldg,State Senate,31,Kel Seliger,Rep,62,98,160
Donley,102 Howard Wick,State Senate,31,Kel Seliger,Rep,88,87,175
Donley,201 Courthouse,State Senate,31,Kel Seliger,Rep,167,239,406
Donley,301 AGFH,State Senate,31,Kel Seliger,Rep,61,70,131
Donley,303 Hedley,State Senate,31,Kel Seliger,Rep,105,68,173
Donley,401 CCLC,State Senate,31,Kel Seliger,Rep,138,148,286
Donley,101 Barfield Bldg,State House,88,Ken King,Rep,62,99,161
Donley,102 Howard Wick,State House,88,Ken King,Rep,86,87,173
Donley,201 Courthouse,State House,88,Ken King,Rep,169,241,410
Donley,301 AGFH,State House,88,Ken King,Rep,63,71,134
Donley,303 Hedley,State House,88,Ken King,Rep,100,66,166
Donley,401 CCLC,State House,88,Ken King,Rep,142,148,290
Donley,101 Barfield Bldg,Straight Party,,Republican,Rep,30,53,83
Donley,102 Howard Wick,Straight Party,,Republican,Rep,32,50,82
Donley,201 Courthouse,Straight Party,,Republican,Rep,84,129,213
Donley,301 AGFH,Straight Party,,Republican,Rep,34,37,71
Donley,303 Hedley,Straight Party,,Republican,Rep,55,32,87
Donley,401 CCLC,Straight Party,,Republican,Rep,61,84,145
Donley,101 Barfield Bldg,Straight Party,,Democrat,Dem,3,8,11
Donley,102 Howard Wick,Straight Party,,Democrat,Dem,12,10,22
Donley,201 Courthouse,Straight Party,,Democrat,Dem,15,18,33
Donley,301 AGFH,Straight Party,,Democrat,Dem,1,3,4
Donley,303 Hedley,Straight Party,,Democrat,Dem,10,4,14
Donley,401 CCLC,Straight Party,,Democrat,Dem,17,17,34
Donley,101 Barfield Bldg,Straight Party,,Libertarian,Lib,4,0,4
Donley,102 Howard Wick,Straight Party,,Libertarian,Lib,0,3,3
