county,precinct,office,district,candidate,party,election_day,early_voting,votes
Presidio,Presidio 1,President,,Mitt Romney,Rep,28,53,81
Presidio,Presidio 2,President,,Mitt Romney,Rep,23,35,58
Presidio,Presidio 3,President,,Mitt Romney,Rep,2,0,2
Presidio,Presidio 4,President,,Mitt Romney,Rep,37,25,62
Presidio,Presidio 5,President,,Mitt Romney,Rep,14,22,36
Presidio,Presidio 6,President,,Mitt Romney,Rep,0,10,10
Presidio,Presidio 7,President,,Mitt Romney,Rep,82,173,255
Presidio,Presidio 1,President,,Barack Obama,Dem,38,54,92
Presidio,Presidio 2,President,,Barack Obama,Dem,70,86,156
Presidio,Presidio 3,President,,Barack Obama,Dem,5,14,19
Presidio,Presidio 4,President,,Barack Obama,Dem,135,126,261
Presidio,Presidio 5,President,,Barack Obama,Dem,108,102,210
Presidio,Presidio 6,President,,Barack Obama,Dem,3,1,4
Presidio,Presidio 7,President,,Barack Obama,Dem,212,328,540
Presidio,Presidio 1,President,,Gary Johnson,Lib,0,0,0
Presidio,Presidio 2,President,,Gary Johnson,Lib,1,0,1
Presidio,Presidio 3,President,,Gary Johnson,Lib,0,0,0
Presidio,Presidio 4,President,,Gary Johnson,Lib,4,3,7
Presidio,Presidio 5,President,,Gary Johnson,Lib,0,0,0
Presidio,Presidio 6,President,,Gary Johnson,Lib,1,1,2
Presidio,Presidio 7,President,,Gary Johnson,Lib,4,5,9
Presidio,Presidio 1,President,,Jill Stein,Grn,0,0,0
Presidio,Presidio 2,President,,Jill Stein,Grn,0,0,0
Presidio,Presidio 3,President,,Jill Stein,Grn,0,0,0
Presidio,Presidio 4,President,,Jill Stein,Grn,2,1,3
Presidio,Presidio 5,President,,Jill Stein,Grn,0,1,1
Presidio,Presidio 6,President,,Jill Stein,Grn,0,0,0
Presidio,Presidio 7,President,,Jill Stein,Grn,4,4,8
Presidio,Presidio 1,US Senate,,Ted Cruz,Rep,29,41,70
Presidio,Presidio 2,US Senate,,Ted Cruz,Rep,28,34,62
Presidio,Presidio 3,US Senate,,Ted Cruz,Rep,3,0,3
Presidio,Presidio 4,US Senate,,Ted Cruz,Rep,36,29,65
Presidio,Presidio 5,US Senate,,Ted Cruz,Rep,19,26,45
Presidio,Presidio 6,US Senate,,Ted Cruz,Rep,2,13,15
Presidio,Presidio 7,US Senate,,Ted Cruz,Rep,71,147,218
Presidio,Presidio 1,US Senate,,Paul Sadler,Dem,23,34,57
Presidio,Presidio 2,US Senate,,Paul Sadler,Dem,37,48,85
Presidio,Presidio 3,US Senate,,Paul Sadler,Dem,4,8,12
Presidio,Presidio 4,US Senate,,Paul Sadler,Dem,78,85,163
Presidio,Presidio 5,US Senate,,Paul Sadler,Dem,54,61,115
Presidio,Presidio 6,US Senate,,Paul Sadler,Dem,2,2,4
Presidio,Presidio 7,US Senate,,Paul Sadler,Dem,149,210,359
Presidio,Presidio 1,US Senate,,John Myers,Lib,0,1,1
Presidio,Presidio 2,US Senate,,John Myers,Lib,0,1,1
Presidio,Presidio 3,US Senate,,John Myers,Lib,0,0,0
Presidio,Presidio 4,US Senate,,John Myers,Lib,1,3,4
Presidio,Presidio 5,US Senate,,John Myers,Lib,6,3,9
Presidio,Presidio 6,US Senate,,John Myers,Lib,0,0,0
Presidio,Presidio 7,US Senate,,John Myers,Lib,8,15,23
Presidio,Presidio 1,US Senate,,David Collins,Grn,0,2,2
Presidio,Presidio 2,US Senate,,David Collins,Grn,2,1,3
Presidio,Presidio 3,US Senate,,David Collins,Grn,0,0,0
Presidio,Presidio 4,US Senate,,David Collins,Grn,1,1,2
Presidio,Presidio 5,US Senate,,David Collins,Grn,1,4,5
Presidio,Presidio 6,US Senate,,David Collins,Grn,0,0,0
Presidio,Presidio 7,US Senate,,David Collins,Grn,8,8,16
Presidio,Presidio 1,US House,23,Francisco Canseco,Rep,24,34,58
Presidio,Presidio 2,US House,23,Francisco Canseco,Rep,23,28,51
Presidio,Presidio 3,US House,23,Francisco Canseco,Rep,3,0,3
Presidio,Presidio 4,US House,23,Francisco Canseco,Rep,38,29,67
Presidio,Presidio 5,US House,23,Francisco Canseco,Rep,16,18,34
Presidio,Presidio 6,US House,23,Francisco Canseco,Rep,0,10,10
Presidio,Presidio 7,US House,23,Francisco Canseco,Rep,48,120,168
