county,precinct,office,district,candidate,party,votes,early_voting,mail,election_day
Lee,Pct. 101,Straight Party,,Republican,REP,213,59,15,139
Lee,Pct. 101,Straight Party,,Democratic,DEM,189,68,3,118
Lee,Pct. 101,Straight Party,,Libertarian,LIB,3,2,0,1
Lee,Pct. 101,Straight Party,,Green,GRN,0,0,0,0
Lee,Pct. 102,Straight Party,,Republican,REP,27,13,2,12
Lee,Pct. 103,Straight Party,,Republican,REP,35,18,2,15
Lee,Pct. 201,Straight Party,,Republican,REP,86,47,5,34
Lee,Pct. 202,Straight Party,,Republican,REP,256,171,15,70
Lee,Pct. 203,Straight Party,,Republican,REP,69,42,4,23
Lee,Pct. 301,Straight Party,,Republican,REP,24,6,0,18
Lee,Pct. 302,Straight Party,,Republican,REP,208,79,6,123
Lee,Pct. 303,Straight Party,,Republican,REP,220,70,15,135
Lee,Pct. 304,Straight Party,,Republican,REP,21,9,0,12
Lee,Pct. 401,Straight Party,,Republican,REP,100,35,6,59
Lee,Pct. 402,Straight Party,,Republican,REP,21,14,2,5
Lee,Pct. 403,Straight Party,,Republican,REP,60,33,2,25
Lee,Pct. 404,Straight Party,,Republican,REP,82,52,5,25
Lee,Pct. 405,Straight Party,,Republican,REP,91,37,5,49
Lee,Pct. 102,Straight Party,,Democratic,DEM,83,46,0,37
Lee,Pct. 103,Straight Party,,Democratic,DEM,13,7,0,6
Lee,Pct. 201,Straight Party,,Democratic,DEM,15,6,0,9
Lee,Pct. 202,Straight Party,,Democratic,DEM,103,51,25,27
Lee,Pct. 203,Straight Party,,Democratic,DEM,12,5,0,7
Lee,Pct. 301,Straight Party,,Democratic,DEM,6,0,2,4
Lee,Pct. 302,Straight Party,,Democratic,DEM,100,28,3,69
Lee,Pct. 303,Straight Party,,Democratic,DEM,71,29,1,41
Lee,Pct. 304,Straight Party,,Democratic,DEM,19,7,0,12
Lee,Pct. 401,Straight Party,,Democratic,DEM,94,33,0,61
Lee,Pct. 402,Straight Party,,Democratic,DEM,45,12,0,33
Lee,Pct. 403,Straight Party,,Democratic,DEM,29,13,2,14
Lee,Pct. 404,Straight Party,,Democratic,DEM,101,67,1,33
Lee,Pct. 405,Straight Party,,Democratic,DEM,32,11,0,21
Lee,Pct. 102,Straight Party,,Libertarian,LIB,0,0,0,0
Lee,Pct. 103,Straight Party,,Libertarian,LIB,0,0,0,0
Lee,Pct. 201,Straight Party,,Libertarian,LIB,2,0,0,2
Lee,Pct. 202,Straight Party,,Libertarian,LIB,1,0,0,1
Lee,Pct. 203,Straight Party,,Libertarian,LIB,0,0,0,0
Lee,Pct. 301,Straight Party,,Libertarian,LIB,0,0,0,0
Lee,Pct. 302,Straight Party,,Libertarian,LIB,6,4,0,2
Lee,Pct. 303,Straight Party,,Libertarian,LIB,3,0,1,2
Lee,Pct. 304,Straight Party,,Libertarian,LIB,0,0,0,0
Lee,Pct. 401,Straight Party,,Libertarian,LIB,0,0,0,0
Lee,Pct. 402,Straight Party,,Libertarian,LIB,0,0,0,0
Lee,Pct. 403,Straight Party,,Libertarian,LIB,1,0,0,1
Lee,Pct. 404,Straight Party,,Libertarian,LIB,0,0,0,0
Lee,Pct. 405,Straight Party,,Libertarian,LIB,0,0,0,0
Lee,Pct. 102,Straight Party,,Green,GRN,1,0,0,1
Lee,Pct. 103,Straight Party,,Green,GRN,0,0,0,0
Lee,Pct. 201,Straight Party,,Green,GRN,0,0,0,0
Lee,Pct. 202,Straight Party,,Green,GRN,1,0,1,0
Lee,Pct. 203,Straight Party,,Green,GRN,0,0,0,0
Lee,Pct. 301,Straight Party,,Green,GRN,0,0,0,0
Lee,Pct. 302,Straight Party,,Green,GRN,1,0,0,1
Lee,Pct. 303,Straight Party,,Green,GRN,1,0,0,1
Lee,Pct. 304,Straight Party,,Green,GRN,2,1,0,1
Lee,Pct. 401,Straight Party,,Green,GRN,0,0,0,0
Lee,Pct. 402,Straight Party,,Green,GRN,0,0,0,0
Lee,Pct. 403,Straight Party,,Green,GRN,0,0,0,0
Lee,Pct. 404,Straight Party,,Green,GRN,1,1,0,0
Lee,Pct. 405,Straight Party,,Green,GRN,0,0,0,0
Lee,Pct. 101,President,,Romney/Ryan,REP,636,402,24,210
Lee,Pct. 102,President,,Romney/Ryan,REP,73,37,6,30
Lee,Pct. 103,President,,Romney/Ryan,REP,128,63,5,60
Lee,Pct. 201,President,,Romney/Ryan,REP,350,163,15,172
Lee,Pct. 202,President,,Romney/Ryan,REP,824,548,27,249
Lee,Pct. 203,President,,Romney/Ryan,REP,187,108,4,75
Lee,Pct. 301,President,,Romney/Ryan,REP,73,13,1,59
Lee,Pct. 302,President,,Romney/Ryan,REP,625,226,16,383
Lee,Pct. 303,President,,Romney/Ryan,REP,467,155,30,282
Lee,Pct. 304,President,,Romney/Ryan,REP,91,41,1,49
Lee,Pct. 401,President,,Romney/Ryan,REP,268,101,9,158
Lee,Pct. 402,President,,Romney/Ryan,REP,73,40,3,30
Lee,Pct. 403,President,,Romney/Ryan,REP,146,59,1,86
Lee,Pct. 404,President,,Romney/Ryan,REP,307,184,10,113
Lee,Pct. 405,President,,Romney/Ryan,REP,261,88,6,167
Lee,Pct. 101,President,,Obama/Biden,DEM,298,193,6,99
Lee,Pct. 102,President,,Obama/Biden,DEM,97,54,0,43
Lee,Pct. 103,President,,Obama/Biden,DEM,37,19,1,17
Lee,Pct. 201,President,,Obama/Biden,DEM,40,14,3,23
Lee,Pct. 202,President,,Obama/Biden,DEM,209,100,39,70
Lee,Pct. 203,President,,Obama/Biden,DEM,39,13,1,25
Lee,Pct. 301,President,,Obama/Biden,DEM,15,1,2,12
Lee,Pct. 302,President,,Obama/Biden,DEM,216,54,7,155
Lee,Pct. 303,President,,Obama/Biden,DEM,172,49,6,117
Lee,Pct. 304,President,,Obama/Biden,DEM,40,12,1,27
Lee,Pct. 401,President,,Obama/Biden,DEM,133,43,0,90
Lee,Pct. 402,President,,Obama/Biden,DEM,62,16,0,46
Lee,Pct. 403,President,,Obama/Biden,DEM,47,19,3,25
