county,precinct,office,district,candidate,party,votes,early_voting,election_day,limited,provisional
Matagorda,0001 Prec 1A,Ballots Cast,,,,1635,1263,370,2,0
Matagorda,0002 Prec 1B,Ballots Cast,,,,1969,1526,441,0,2
Matagorda,0003 Prec 1C,Ballots Cast,,,,631,497,133,1,0
Matagorda,0004 Prec 1D,Ballots Cast,,,,638,407,229,2,0
Matagorda,0005 Prec 1E,Ballots Cast,,,,865,609,254,2,0
Matagorda,0006 Prec 1F,Ballots Cast,,,,412,295,115,0,2
Matagorda,0007 Prec 2,Ballots Cast,,,,461,199,261,0,1
Matagorda,0008 Prec 3A,Ballots Cast,,,,1015,582,432,0,0
Matagorda,0009 Prec 3B,Ballots Cast,,,,474,275,196,1,2
Matagorda,0010 Prec 4,Ballots Cast,,,,782,269,513,0,0
Matagorda,0011 Prec 5,Ballots Cast,,,,1130,577,550,3,0
Matagorda,0012 Prec 6,Ballots Cast,,,,748,315,432,1,0
Matagorda,0013 Prec 7,Ballots Cast,,,,98,44,54,0,0
Matagorda,0014 Prec 8,Ballots Cast,,,,544,197,347,0,0
Matagorda,0015 Prec 9,Ballots Cast,,,,142,23,119,0,0
Matagorda,0016 Prec 10,Ballots Cast,,,,251,92,158,0,1
Matagorda,0017 Prec 12,Ballots Cast,,,,158,54,104,0,0
Matagorda,0018 Prec 13,Ballots Cast,,,,297,136,159,1,1
Matagorda,0001 Prec 1A,President,,Barack Obama,DEM,324,221,103,0,0
Matagorda,0002 Prec 1B,President,,Barack Obama,DEM,552,374,177,0,1
Matagorda,0003 Prec 1C,President,,Barack Obama,DEM,485,373,111,1,0
Matagorda,0004 Prec 1D,President,,Barack Obama,DEM,323,194,128,1,0
Matagorda,0005 Prec 1E,President,,Barack Obama,DEM,399,274,123,2,0
Matagorda,0006 Prec 1F,President,,Barack Obama,DEM,163,101,62,0,0
Matagorda,0007 Prec 2,President,,Barack Obama,DEM,97,34,63,0,0
Matagorda,0008 Prec 3A,President,,Barack Obama,DEM,393,197,196,0,0
Matagorda,0009 Prec 3B,President,,Barack Obama,DEM,90,49,41,0,0
Matagorda,0010 Prec 4,President,,Barack Obama,DEM,165,41,124,0,0
Matagorda,0011 Prec 5,President,,Barack Obama,DEM,358,150,206,2,0
Matagorda,0012 Prec 6,President,,Barack Obama,DEM,221,104,117,0,0
Matagorda,0013 Prec 7,President,,Barack Obama,DEM,10,7,3,0,0
Matagorda,0014 Prec 8,President,,Barack Obama,DEM,131,44,87,0,0
Matagorda,0015 Prec 9,President,,Barack Obama,DEM,61,5,56,0,0
Matagorda,0016 Prec 10,President,,Barack Obama,DEM,36,7,29,0,0
Matagorda,0017 Prec 12,President,,Barack Obama,DEM,26,5,21,0,0
Matagorda,0018 Prec 13,President,,Barack Obama,DEM,146,66,79,0,1
Matagorda,0001 Prec 1A,Railroad Commissioner,unexpired,Barry Smitherman,REP,1166,926,239,1,0
Matagorda,0002 Prec 1B,Railroad Commissioner,unexpired,Barry Smitherman,REP,1239,1011,228,0,0
Matagorda,0003 Prec 1C,Railroad Commissioner,unexpired,Barry Smitherman,REP,146,126,20,0,0
Matagorda,0004 Prec 1D,Railroad Commissioner,unexpired,Barry Smitherman,REP,278,193,84,1,0
Matagorda,0005 Prec 1E,Railroad Commissioner,unexpired,Barry Smitherman,REP,427,308,119,0,0
Matagorda,0006 Prec 1F,Railroad Commissioner,unexpired,Barry Smitherman,REP,209,165,43,0,1
Matagorda,0007 Prec 2,Railroad Commissioner,unexpired,Barry Smitherman,REP,327,147,180,0,0
Matagorda,0008 Prec 3A,Railroad Commissioner,unexpired,Barry Smitherman,REP,551,358,193,0,0
Matagorda,0009 Prec 3B,Railroad Commissioner,unexpired,Barry Smitherman,REP,327,201,123,1,2
