county,precinct,office,district,candidate,party,votes,early_voting_paper,early_voting_electronic,election_day_paper,election_day_electronic,mail,early_voting,election_day
Rockwall,PRECINCT 1,,,REGISTERED VOTERS,,4320,,,,,,,
Rockwall,PRECINCT 1A,,,REGISTERED VOTERS,,3332,,,,,,,
Rockwall,PRECINCT 1B,,,REGISTERED VOTERS,,3155,,,,,,,
Rockwall,PRECINCT 1C,,,REGISTERED VOTERS,,2806,,,,,,,
Rockwall,PRECINCT 2,,,REGISTERED VOTERS,,3694,,,,,,,
Rockwall,PRECINCT 2A,,,REGISTERED VOTERS,,4010,,,,,,,
Rockwall,PRECINCT 2B,,,REGISTERED VOTERS,,1798,,,,,,,
Rockwall,PRECINCT 2C,,,REGISTERED VOTERS,,4057,,,,,,,
Rockwall,PRECINCT 3,,,REGISTERED VOTERS,,764,,,,,,,
Rockwall,PRECINCT 3A,,,REGISTERED VOTERS,,1273,,,,,,,
Rockwall,PRECINCT 3B,,,REGISTERED VOTERS,,2632,,,,,,,
Rockwall,PRECINCT 3C,,,REGISTERED VOTERS,,2095,,,,,,,
Rockwall,PRECINCT 3D,,,REGISTERED VOTERS,,3997,,,,,,,
Rockwall,PRECINCT 4,,,REGISTERED VOTERS,,2090,,,,,,,
Rockwall,PRECINCT 4A,,,REGISTERED VOTERS,,4451,,,,,,,
Rockwall,PRECINCT 4B,,,REGISTERED VOTERS,,1499,,,,,,,
Rockwall,PRECINCT 4C,,,REGISTERED VOTERS,,2577,,,,,,,
Rockwall,PRECINCT 1,,,BALLOTS CAST,,3130,1020,1267,326,514,3,2287,840
Rockwall,PRECINCT 1A,,,BALLOTS CAST,,2395,621,766,433,574,1,1387,1007
Rockwall,PRECINCT 1B,,,BALLOTS CAST,,2719,790,721,328,878,2,1511,1206
Rockwall,PRECINCT 1C,,,BALLOTS CAST,,2461,684,696,235,844,2,1380,1079
Rockwall,PRECINCT 2,,,BALLOTS CAST,,2987,1032,850,284,820,1,1882,1104
Rockwall,PRECINCT 2A,,,BALLOTS CAST,,3169,986,967,444,770,2,1953,1214
Rockwall,PRECINCT 2B,,,BALLOTS CAST,,1192,348,443,165,235,1,791,400
Rockwall,PRECINCT 2C,,,BALLOTS CAST,,3046,993,1224,787,38,4,2217,825
Rockwall,PRECINCT 3,,,BALLOTS CAST,,330,148,64,51,67,0,212,118
Rockwall,PRECINCT 3A,,,BALLOTS CAST,,852,159,221,137,334,1,380,471
Rockwall,PRECINCT 3B,,,BALLOTS CAST,,2052,404,573,366,708,1,977,1074
Rockwall,PRECINCT 3C,,,BALLOTS CAST,,1651,546,691,157,256,1,1237,413
