county,precinct,office,distict,candidate,party,votes
Walker,PRECINCT 101,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,973
Walker,PRECINCT 102,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,3133
Walker,PRECINCT 103,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,1556
Walker,PRECINCT 104,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,1734
Walker,PRECINCT 201,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,3035
Walker,PRECINCT 203,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,529
Walker,PRECINCT 204,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,2285
Walker,PRECINCT 205,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,2329
Walker,PRECINCT 206,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,731
Walker,PRECINCT 301,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,2385
Walker,PRECINCT 302,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,381
Walker,PRECINCT 303,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,661
Walker,PRECINCT 304,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,3312
Walker,PRECINCT 305,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,183
Walker,PRECINCT 401,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,2914
Walker,PRECINCT 402,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,480
Walker,PRECINCT 403,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,937
Walker,PRECINCT 404,REGISTERED VOTERS - TOTAL,,REGISTERED VOTERS - TOTAL,,3229
Walker,PRECINCT 101,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,495
Walker,PRECINCT 102,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,1726
Walker,PRECINCT 103,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,1054
Walker,PRECINCT 104,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,1157
Walker,PRECINCT 201,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,1645
Walker,PRECINCT 203,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,365
Walker,PRECINCT 204,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,1566
Walker,PRECINCT 205,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,1869
Walker,PRECINCT 206,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,494
Walker,PRECINCT 301,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,1277
Walker,PRECINCT 302,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,233
Walker,PRECINCT 303,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,397
Walker,PRECINCT 304,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,1970
Walker,PRECINCT 305,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,112
Walker,PRECINCT 401,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,1437
Walker,PRECINCT 402,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,334
Walker,PRECINCT 403,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,591
Walker,PRECINCT 404,BALLOTS CAST - TOTAL,,BALLOTS CAST - TOTAL,,2082
Walker,PRECINCT 101,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,65
Walker,PRECINCT 102,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,364
Walker,PRECINCT 103,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,274
Walker,PRECINCT 104,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,336
Walker,PRECINCT 201,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,421
Walker,PRECINCT 203,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,146
Walker,PRECINCT 204,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,462
Walker,PRECINCT 205,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,534
Walker,PRECINCT 206,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,120
Walker,PRECINCT 301,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,183
Walker,PRECINCT 302,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,60
Walker,PRECINCT 303,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,140
Walker,PRECINCT 304,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,722
Walker,PRECINCT 305,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,53
Walker,PRECINCT 401,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,309
Walker,PRECINCT 402,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,115
Walker,PRECINCT 403,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,210
Walker,PRECINCT 404,STRAIGHT PARTY,,REPUBLICAN PARTY,REP,799
Walker,PRECINCT 101,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,217
Walker,PRECINCT 102,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,302
Walker,PRECINCT 103,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,149
Walker,PRECINCT 104,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,87
Walker,PRECINCT 201,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,310
Walker,PRECINCT 203,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,46
Walker,PRECINCT 204,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,335
Walker,PRECINCT 205,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,107
Walker,PRECINCT 206,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,74
Walker,PRECINCT 301,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,557
Walker,PRECINCT 302,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,30
Walker,PRECINCT 303,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,66
Walker,PRECINCT 304,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,237
Walker,PRECINCT 305,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,12
Walker,PRECINCT 401,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,403
Walker,PRECINCT 402,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,42
Walker,PRECINCT 403,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,91
Walker,PRECINCT 404,STRAIGHT PARTY,,DEMOCRATIC PARTY,DEM,313
Walker,PRECINCT 101,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,2
Walker,PRECINCT 102,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,10
Walker,PRECINCT 103,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,6
Walker,PRECINCT 104,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,6
Walker,PRECINCT 201,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,12
Walker,PRECINCT 203,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,0
Walker,PRECINCT 204,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,4
Walker,PRECINCT 205,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,6
Walker,PRECINCT 206,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,3
Walker,PRECINCT 301,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,10
Walker,PRECINCT 302,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,3
Walker,PRECINCT 303,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,3
Walker,PRECINCT 304,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,13
Walker,PRECINCT 305,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,1
Walker,PRECINCT 401,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,21
Walker,PRECINCT 402,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,1
Walker,PRECINCT 403,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,3
Walker,PRECINCT 404,STRAIGHT PARTY,,LIBERTARIAN PARTY,LIB,4
Walker,PRECINCT 101,STRAIGHT PARTY,,GREEN PARTY,GRN,0
Walker,PRECINCT 102,STRAIGHT PARTY,,GREEN PARTY,GRN,2
Walker,PRECINCT 103,STRAIGHT PARTY,,GREEN PARTY,GRN,1
Walker,PRECINCT 104,STRAIGHT PARTY,,GREEN PARTY,GRN,0
Walker,PRECINCT 201,STRAIGHT PARTY,,GREEN PARTY,GRN,5
Walker,PRECINCT 203,STRAIGHT PARTY,,GREEN PARTY,GRN,1
Walker,PRECINCT 204,STRAIGHT PARTY,,GREEN PARTY,GRN,0
Walker,PRECINCT 205,STRAIGHT PARTY,,GREEN PARTY,GRN,2
Walker,PRECINCT 206,STRAIGHT PARTY,,GREEN PARTY,GRN,0
Walker,PRECINCT 301,STRAIGHT PARTY,,GREEN PARTY,GRN,2
Walker,PRECINCT 302,STRAIGHT PARTY,,GREEN PARTY,GRN,0
Walker,PRECINCT 303,STRAIGHT PARTY,,GREEN PARTY,GRN,0
Walker,PRECINCT 304,STRAIGHT PARTY,,GREEN PARTY,GRN,4
Walker,PRECINCT 305,STRAIGHT PARTY,,GREEN PARTY,GRN,0
Walker,PRECINCT 401,STRAIGHT PARTY,,GREEN PARTY,GRN,2
Walker,PRECINCT 402,STRAIGHT PARTY,,GREEN PARTY,GRN,0
Walker,PRECINCT 403,STRAIGHT PARTY,,GREEN PARTY,GRN,1
Walker,PRECINCT 404,STRAIGHT PARTY,,GREEN PARTY,GRN,1
Walker,PRECINCT 101,STRAIGHT PARTY,,OVER VOTES,,1
Walker,PRECINCT 102,STRAIGHT PARTY,,OVER VOTES,,20
Walker,PRECINCT 103,STRAIGHT PARTY,,OVER VOTES,,0
Walker,PRECINCT 104,STRAIGHT PARTY,,OVER VOTES,,0
Walker,PRECINCT 201,STRAIGHT PARTY,,OVER VOTES,,8
Walker,PRECINCT 203,STRAIGHT PARTY,,OVER VOTES,,0
Walker,PRECINCT 204,STRAIGHT PARTY,,OVER VOTES,,0
Walker,PRECINCT 205,STRAIGHT PARTY,,OVER VOTES,,1
Walker,PRECINCT 206,STRAIGHT PARTY,,OVER VOTES,,1
Walker,PRECINCT 301,STRAIGHT PARTY,,OVER VOTES,,7
Walker,PRECINCT 302,STRAIGHT PARTY,,OVER VOTES,,0
Walker,PRECINCT 303,STRAIGHT PARTY,,OVER VOTES,,0
Walker,PRECINCT 304,STRAIGHT PARTY,,OVER VOTES,,3
Walker,PRECINCT 305,STRAIGHT PARTY,,OVER VOTES,,0
Walker,PRECINCT 401,STRAIGHT PARTY,,OVER VOTES,,30
