county,precinct,office,district,candidate,party,votes,early_voting,election_day,provisional,
Mitchell,PRECINCT 1,President,,Mitt Romney,REP,467,312,155,0,
Mitchell,PRECINCT 2,President,,Mitt Romney,REP,154,40,113,1,
Mitchell,PRECINCT 025,President,,Mitt Romney,REP,223,139,84,0,
Mitchell,PRECINCT 3,President,,Mitt Romney,REP,415,270,145,0,
Mitchell,PRECINCT 4,President,,Mitt Romney,REP,270,118,151,1,
Mitchell,PRECINCT 046,President,,Mitt Romney,REP,227,154,73,0,
Mitchell,PRECINCT 1,President,,Barack Obama,DEM,116,71,45,0,
Mitchell,PRECINCT 2,President,,Barack Obama,DEM,19,1,18,0,
Mitchell,PRECINCT 025,President,,Barack Obama,DEM,102,57,45,0,
Mitchell,PRECINCT 3,President,,Barack Obama,DEM,151,78,73,0,
Mitchell,PRECINCT 4,President,,Barack Obama,DEM,89,22,67,0,
Mitchell,PRECINCT 046,President,,Barack Obama,DEM,61,36,23,2,
Mitchell,PRECINCT 1,President,,Gary Johnson,LIB,5,5,0,0,
Mitchell,PRECINCT 2,President,,Gary Johnson,LIB,0,0,0,0,
Mitchell,PRECINCT 025,President,,Gary Johnson,LIB,2,1,1,0,
Mitchell,PRECINCT 3,President,,Gary Johnson,LIB,6,4,2,0,
Mitchell,PRECINCT 4,President,,Gary Johnson,LIB,3,1,2,0,
Mitchell,PRECINCT 046,President,,Gary Johnson,LIB,2,1,1,0,
Mitchell,PRECINCT 1,President,,Jill Stein,GRN,1,1,0,0,
Mitchell,PRECINCT 2,President,,Jill Stein,GRN,0,0,0,0,
Mitchell,PRECINCT 025,President,,Jill Stein,GRN,0,0,0,0,
Mitchell,PRECINCT 3,President,,Jill Stein,GRN,3,2,1,0,
Mitchell,PRECINCT 4,President,,Jill Stein,GRN,0,0,0,0,
Mitchell,PRECINCT 046,President,,Jill Stein,GRN,0,0,0,0,
Mitchell,PRECINCT 1,President,,WRITE-IN,NON,4,2,2,0,
Mitchell,PRECINCT 2,President,,WRITE-IN,NON,1,0,1,0,
Mitchell,PRECINCT 025,President,,WRITE-IN,NON,0,0,0,0,
Mitchell,PRECINCT 3,President,,WRITE-IN,NON,1,1,0,0,
Mitchell,PRECINCT 4,President,,WRITE-IN,NON,1,0,1,0,
Mitchell,PRECINCT 046,President,,WRITE-IN,NON,0,0,0,0,
Mitchell,PRECINCT 1,President,,OVER VOTES,,1,1,0,0,
Mitchell,PRECINCT 2,President,,OVER VOTES,,0,0,0,0,
Mitchell,PRECINCT 025,President,,OVER VOTES,,1,0,1,0,
Mitchell,PRECINCT 3,President,,OVER VOTES,,0,0,0,0,
Mitchell,PRECINCT 4,President,,OVER VOTES,,1,0,1,0,
Mitchell,PRECINCT 046,President,,OVER VOTES,,1,1,0,0,
Mitchell,PRECINCT 1,President,,UNDER VOTES,,3,2,1,0,
Mitchell,PRECINCT 2,President,,UNDER VOTES,,0,0,0,0,
Mitchell,PRECINCT 025,President,,UNDER VOTES,,2,0,2,0,
Mitchell,PRECINCT 3,President,,UNDER VOTES,,5,4,1,0,
Mitchell,PRECINCT 4,President,,UNDER VOTES,,1,0,1,0,
Mitchell,PRECINCT 046,President,,UNDER VOTES,,8,6,2,0,
Mitchell,PRECINCT 1,U.S. Senate,,Ted Cruz,REP,419,282,137,0,0
Mitchell,PRECINCT 2,U.S. Senate,,Ted Cruz,REP,139,35,103,1,0
Mitchell,PRECINCT 025,U.S. Senate,,Ted Cruz,REP,211,131,80,0,0
Mitchell,PRECINCT 3,U.S. Senate,,Ted Cruz,REP,387,254,133,0,0
Mitchell,PRECINCT 4,U.S. Senate,,Ted Cruz,REP,234,106,127,1,0
Mitchell,PRECINCT 046,U.S. Senate,,Ted Cruz,REP,208,141,67,0,0
Mitchell,PRECINCT 1,U.S. Senate,,Paul Sadler,DEM,134,83,51,0,0
Mitchell,PRECINCT 2,U.S. Senate,,Paul Sadler,DEM,23,5,18,0,0
Mitchell,PRECINCT 025,U.S. Senate,,Paul Sadler,DEM,98,59,39,0,0
Mitchell,PRECINCT 3,U.S. Senate,,Paul Sadler,DEM,138,77,61,0,0
Mitchell,PRECINCT 4,U.S. Senate,,Paul Sadler,DEM,103,26,77,0,0
Mitchell,PRECINCT 046,U.S. Senate,,Paul Sadler,DEM,73,48,23,0,2
