county,precinct,office,district,candidate,party,votes,election_day,early_voting,mail,provisional
Kleberg,"0001 PREC 11,12",Voter Registration,,,,2842,,,,
Kleberg,"0001 PREC 11,12",Ballots Cast,,,,1605,626,846,131,2
Kleberg,"0001 PREC 11,12",Straight Party,,REPUBLICAN PARTY,REP,379,104,219,55,1
Kleberg,"0001 PREC 11,12",Straight Party,,DEMOCRATIC PARTY,DEM,272,108,154,10,0
Kleberg,"0001 PREC 11,12",Straight Party,,LIBERTARIAN PARTY,LIB,4,4,0,0,0
Kleberg,"0001 PREC 11,12",Straight Party,,GREEN PARTY,GRN,4,1,2,1,0
Kleberg,"0001 PREC 11,12",President,,Mitt Romney,REP,976,327,545,103,1
Kleberg,"0001 PREC 11,12",President,,Barack Obama,DEM,594,284,288,21,1
Kleberg,"0001 PREC 11,12",President,,Gary Johnson,LIB,11,5,5,1,0
Kleberg,"0001 PREC 11,12",President,,Jill Stein,GRN,3,0,2,1,0
Kleberg,"0001 PREC 11,12",President,,Write-ins,WRI,13,5,3,5,0
Kleberg,"0001 PREC 11,12",US Senate,,Ted Cruz,REP,936,314,526,95,1
Kleberg,"0001 PREC 11,12",US Senate,,Paul Sadler,DEM,573,272,281,20,0
Kleberg,"0001 PREC 11,12",US Senate,,John Jay Myers,LIB,28,10,16,2,0
Kleberg,"0001 PREC 11,12",US Senate,,David B. Collins,GRN,11,5,5,1,0
Kleberg,"0001 PREC 11,12",US HOUSE,34,Jessica Puente Bradshaw,REP,927,308,525,93,1
Kleberg,"0001 PREC 11,12",US HOUSE,34,Filemon Vela,DEM,567,267,285,15,0
Kleberg,"0001 PREC 11,12",US HOUSE,34,Steven (Ziggy) Shanklin,LIB,41,20,17,4,0
Kleberg,"0001 PREC 11,12",Railroad Commissioner,,Christi Craddick,REP,870,283,500,86,1
Kleberg,"0001 PREC 11,12",Railroad Commissioner,,Dale Henry,DEM,571,276,279,16,0
Kleberg,"0001 PREC 11,12",Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,29,10,15,4,0
Kleberg,"0001 PREC 11,12",Railroad Commissioner,,Chris Kennedy,GRN,35,15,18,2,0
Kleberg,"0001 PREC 11,12",Railroad Commissioner,unexpired,Barry Smitherman,REP,916,316,514,85,1
Kleberg,"0001 PREC 11,12",Railroad Commissioner,unexpired,Jaime O. Perez,LIB,318,170,137,10,1
Kleberg,"0001 PREC 11,12",Railroad Commissioner,unexpired,Josh Wendel,GRN,58,31,23,4,0
Kleberg,"0001 PREC 11,12",State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,882,395,451,35,1
Kleberg,"0001 PREC 11,12",State House,43,J.M. Lozano,REP,988,345,552,89,2
Kleberg,"0001 PREC 11,12",State House,43,Yvonne Gonzalez Toureilles,DEM,553,259,276,18,0
Kleberg,"0002 PREC 13,14",Voter Registration,,,,1908,,,,
Kleberg,"0002 PREC 13,14",Ballots Cast,,,,1027,468,508,51,0
Kleberg,"0002 PREC 13,14",Straight Party,,REPUBLICAN PARTY,REP,132,46,75,11,0
Kleberg,"0002 PREC 13,14",Straight Party,,DEMOCRATIC PARTY,DEM,274,131,131,12,0
Kleberg,"0002 PREC 13,14",Straight Party,,LIBERTARIAN PARTY,LIB,9,5,3,1,0
Kleberg,"0002 PREC 13,14",Straight Party,,GREEN PARTY,GRN,1,0,1,0,0
Kleberg,"0002 PREC 13,14",President,,Mitt Romney,REP,405,159,226,20,0
Kleberg,"0002 PREC 13,14",President,,Barack Obama,DEM,602,299,274,29,0
Kleberg,"0002 PREC 13,14",President,,Gary Johnson,LIB,8,2,4,2,0
Kleberg,"0002 PREC 13,14",President,,Jill Stein,GRN,4,3,1,0,0
Kleberg,"0002 PREC 13,14",President,,Write-ins,WRI,3,3,0,0,0
Kleberg,"0002 PREC 13,14",US Senate,,Ted Cruz,REP,428,170,238,20,0
Kleberg,"0002 PREC 13,14",US Senate,,Paul Sadler,DEM,549,268,252,29,0
Kleberg,"0002 PREC 13,14",US Senate,,John Jay Myers,LIB,10,7,2,1,0
Kleberg,"0002 PREC 13,14",US Senate,,David B. Collins,GRN,5,4,1,0,0
Kleberg,"0002 PREC 13,14",US HOUSE,34,Jessica Puente Bradshaw,REP,390,143,228,19,0
Kleberg,"0002 PREC 13,14",US HOUSE,34,Filemon Vela,DEM,582,296,257,29,0
Kleberg,"0002 PREC 13,14",US HOUSE,34,Steven (Ziggy) Shanklin,LIB,16,9,6,1,0
Kleberg,"0002 PREC 13,14",Railroad Commissioner,,Christi Craddick,REP,343,126,201,16,0
Kleberg,"0002 PREC 13,14",Railroad Commissioner,,Dale Henry,DEM,588,287,271,30,0
Kleberg,"0002 PREC 13,14",Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,14,11,2,1,0
Kleberg,"0002 PREC 13,14",Railroad Commissioner,,Chris Kennedy,GRN,22,13,9,0,0
Kleberg,"0002 PREC 13,14",Railroad Commissioner,unexpired,Barry Smitherman,REP,391,159,212,20,0
Kleberg,"0002 PREC 13,14",Railroad Commissioner,unexpired,Jaime O. Perez,LIB,315,163,140,12,0
Kleberg,"0002 PREC 13,14",Railroad Commissioner,unexpired,Josh Wendel,GRN,40,23,15,2,0
Kleberg,"0002 PREC 13,14",State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,747,365,352,30,0
Kleberg,"0002 PREC 13,14",State House,43,J.M. Lozano,REP,477,190,265,22,0
Kleberg,"0002 PREC 13,14",State House,43,Yvonne Gonzalez Toureilles,DEM,525,267,234,24,0
Kleberg,0003 PREC 21,Voter Registration,,,,472,,,,
Kleberg,0003 PREC 21,Ballots Cast,,,,219,90,118,11,0
Kleberg,0003 PREC 21,Straight Party,,REPUBLICAN PARTY,REP,9,6,2,1,0
Kleberg,0003 PREC 21,Straight Party,,DEMOCRATIC PARTY,DEM,86,43,37,6,0
Kleberg,0003 PREC 21,Straight Party,,LIBERTARIAN PARTY,LIB,1,1,0,0,0
Kleberg,0003 PREC 21,Straight Party,,GREEN PARTY,GRN,0,0,0,0,0
Kleberg,0003 PREC 21,President,,Mitt Romney,REP,44,14,27,3,0
Kleberg,0003 PREC 21,President,,Barack Obama,DEM,171,75,88,8,0
Kleberg,0003 PREC 21,President,,Gary Johnson,LIB,1,0,1,0,0
Kleberg,0003 PREC 21,President,,Jill Stein,GRN,0,0,0,0,0
Kleberg,0003 PREC 21,President,,Write-ins,WRI,0,0,0,0,0
Kleberg,0003 PREC 21,US Senate,,Ted Cruz,REP,51,19,30,2,0
Kleberg,0003 PREC 21,US Senate,,Paul Sadler,DEM,150,62,79,9,0
Kleberg,0003 PREC 21,US Senate,,John Jay Myers,LIB,4,2,2,0,0
Kleberg,0003 PREC 21,US Senate,,David B. Collins,GRN,1,1,0,0,0
Kleberg,0003 PREC 21,US HOUSE,34,Jessica Puente Bradshaw,REP,25,10,14,1,0
Kleberg,0003 PREC 21,US HOUSE,34,Filemon Vela,DEM,147,71,66,10,0
Kleberg,0003 PREC 21,US HOUSE,34,Steven (Ziggy) Shanklin,LIB,4,2,2,0,0
Kleberg,0003 PREC 21,Railroad Commissioner,,Christi Craddick,REP,34,11,22,1,0
Kleberg,0003 PREC 21,Railroad Commissioner,,Dale Henry,DEM,160,67,83,10,0
Kleberg,0003 PREC 21,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,8,5,3,0,0
Kleberg,0003 PREC 21,Railroad Commissioner,,Chris Kennedy,GRN,2,0,2,0,0
Kleberg,0003 PREC 21,Railroad Commissioner,unexpired,Barry Smitherman,REP,55,22,32,1,0
Kleberg,0003 PREC 21,Railroad Commissioner,unexpired,Jaime O. Perez,LIB,75,34,37,4,0
Kleberg,0003 PREC 21,Railroad Commissioner,unexpired,Josh Wendel,GRN,4,1,3,0,0
Kleberg,0003 PREC 21,State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,159,77,72,10,0
Kleberg,0003 PREC 21,State House,43,J.M. Lozano,REP,39,21,14,4,0
Kleberg,0003 PREC 21,State House,43,Yvonne Gonzalez Toureilles,DEM,130,62,61,7,0
Kleberg,"0004 PREC 22,23,24",Voter Registration,,,,3256,,,,
Kleberg,"0004 PREC 22,23,24",Ballots Cast,,,,1479,639,789,51,0
Kleberg,"0004 PREC 22,23,24",Straight Party,,REPUBLICAN PARTY,REP,239,84,143,12,0
Kleberg,"0004 PREC 22,23,24",Straight Party,,DEMOCRATIC PARTY,DEM,404,190,201,13,0
Kleberg,"0004 PREC 22,23,24",Straight Party,,LIBERTARIAN PARTY,LIB,12,8,4,0,0
Kleberg,"0004 PREC 22,23,24",Straight Party,,GREEN PARTY,GRN,2,2,0,0,0
Kleberg,"0004 PREC 22,23,24",President,,Mitt Romney,REP,647,235,386,26,0
Kleberg,"0004 PREC 22,23,24",President,,Barack Obama,DEM,798,378,397,23,0
Kleberg,"0004 PREC 22,23,24",President,,Gary Johnson,LIB,16,16,0,0,0
Kleberg,"0004 PREC 22,23,24",President,,Jill Stein,GRN,5,3,2,0,0
Kleberg,"0004 PREC 22,23,24",President,,Write-ins,WRI,6,3,2,1,0
Kleberg,"0004 PREC 22,23,24",US Senate,,Ted Cruz,REP,668,242,400,26,0
Kleberg,"0004 PREC 22,23,24",US Senate,,Paul Sadler,DEM,735,350,363,22,0
Kleberg,"0004 PREC 22,23,24",US Senate,,John Jay Myers,LIB,31,18,13,0,0
Kleberg,"0004 PREC 22,23,24",US Senate,,David B. Collins,GRN,16,11,5,0,0
Kleberg,"0004 PREC 22,23,24",US HOUSE,34,Jessica Puente Bradshaw,REP,647,240,380,27,0
Kleberg,"0004 PREC 22,23,24",US HOUSE,34,Filemon Vela,DEM,758,353,382,23,0
Kleberg,"0004 PREC 22,23,24",US HOUSE,34,Steven (Ziggy) Shanklin,LIB,29,21,8,0,0
Kleberg,"0004 PREC 22,23,24",Railroad Commissioner,,Christi Craddick,REP,563,189,348,26,0
Kleberg,"0004 PREC 22,23,24",Railroad Commissioner,,Dale Henry,DEM,780,372,386,22,0
Kleberg,"0004 PREC 22,23,24",Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,31,22,9,0,0
Kleberg,"0004 PREC 22,23,24",Railroad Commissioner,,Chris Kennedy,GRN,37,24,13,0,0
Kleberg,"0004 PREC 22,23,24",Railroad Commissioner,,Barry Smitherman,REP,620,233,363,24,0
Kleberg,"0004 PREC 22,23,24",Railroad Commissioner,,Jaime O. Perez,LIB,424,227,190,7,0
Kleberg,"0004 PREC 22,23,24",Railroad Commissioner,,Josh Wendel,GRN,80,41,38,1,0
Kleberg,"0004 PREC 22,23,24",State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,1024,473,516,35,0
Kleberg,"0004 PREC 22,23,24",State House,43,J.M. Lozano,REP,700,264,409,27,0
Kleberg,"0004 PREC 22,23,24",State House,43,Yvonne Gonzalez Toureilles,DEM,747,356,369,22,0
Kleberg,0005 PREC 24 SGISD,Voter Registration,,,,150,,,,
Kleberg,0005 PREC 24 SGISD,Ballots Cast,,,,97,45,41,9,2
Kleberg,0005 PREC 24 SGISD,Straight Party,,REPUBLICAN PARTY,REP,17,7,5,5,0
Kleberg,0005 PREC 24 SGISD,Straight Party,,DEMOCRATIC PARTY,DEM,18,10,6,2,0
Kleberg,0005 PREC 24 SGISD,Straight Party,,LIBERTARIAN PARTY,LIB,2,1,1,0,0
Kleberg,0005 PREC 24 SGISD,Straight Party,,GREEN PARTY,GRN,0,0,0,0,0
Kleberg,0005 PREC 24 SGISD,President,,Mitt Romney,REP,46,21,19,6,0
Kleberg,0005 PREC 24 SGISD,President,,Barack Obama,DEM,46,22,21,3,0
Kleberg,0005 PREC 24 SGISD,President,,Gary Johnson,LIB,0,0,0,0,0
Kleberg,0005 PREC 24 SGISD,President,,Jill Stein,GRN,0,0,0,0,0
Kleberg,0005 PREC 24 SGISD,President,,Write-ins,WRI,1,0,1,0,0
Kleberg,0005 PREC 24 SGISD,US Senate,,Ted Cruz,REP,53,24,22,7,0
Kleberg,0005 PREC 24 SGISD,US Senate,,Paul Sadler,DEM,35,18,15,2,0
Kleberg,0005 PREC 24 SGISD,US Senate,,John Jay Myers,LIB,1,0,1,0,0
Kleberg,0005 PREC 24 SGISD,US Senate,,David B. Collins,GRN,0,0,0,0,0
Kleberg,0005 PREC 24 SGISD,US HOUSE,34,Jessica Puente Bradshaw,REP,46,20,19,7,0
Kleberg,0005 PREC 24 SGISD,US HOUSE,34,Filemon Vela,DEM,39,18,19,2,0
Kleberg,0005 PREC 24 SGISD,US HOUSE,34,Steven (Ziggy) Shanklin,LIB,3,2,1,0,0
Kleberg,0005 PREC 24 SGISD,Railroad Commissioner,,Christi Craddick,REP,40,19,14,7,0
Kleberg,0005 PREC 24 SGISD,Railroad Commissioner,,Dale Henry,DEM,42,18,22,2,0
Kleberg,0005 PREC 24 SGISD,Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,1,1,0,0,0
Kleberg,0005 PREC 24 SGISD,Railroad Commissioner,,Chris Kennedy,GRN,3,1,2,0,0
Kleberg,0005 PREC 24 SGISD,Railroad Commissioner,,Barry Smitherman,REP,46,17,22,7,0
Kleberg,0005 PREC 24 SGISD,Railroad Commissioner,,Jaime O. Perez,LIB,23,13,10,0,0
Kleberg,0005 PREC 24 SGISD,Railroad Commissioner,,Josh Wendel,GRN,4,3,1,0,0
Kleberg,0005 PREC 24 SGISD,State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,56,28,26,2,0
Kleberg,0005 PREC 24 SGISD,State House,43,J.M. Lozano,REP,56,23,26,7,0
Kleberg,0005 PREC 24 SGISD,State House,43,Yvonne Gonzalez Toureilles,DEM,34,17,15,2,0
Kleberg,"0006 PREC 31,32",Voter Registration,,,,2432,,,,
Kleberg,"0006 PREC 31,32",Ballots Cast,,,,1325,533,741,50,1
Kleberg,"0006 PREC 31,32",Straight Party,,REPUBLICAN PARTY,REP,270,90,158,22,0
Kleberg,"0006 PREC 31,32",Straight Party,,DEMOCRATIC PARTY,DEM,319,139,173,6,1
Kleberg,"0006 PREC 31,32",Straight Party,,LIBERTARIAN PARTY,LIB,7,1,6,0,0
Kleberg,"0006 PREC 31,32",Straight Party,,GREEN PARTY,GRN,0,0,0,0,0
Kleberg,"0006 PREC 31,32",President,,Mitt Romney,REP,681,229,416,36,0
Kleberg,"0006 PREC 31,32",President,,Barack Obama,DEM,628,294,319,14,1
Kleberg,"0006 PREC 31,32",President,,Gary Johnson,LIB,7,5,2,0,0
Kleberg,"0006 PREC 31,32",President,,Jill Stein,GRN,0,0,0,0,0
Kleberg,"0006 PREC 31,32",President,,Write-ins,WRI,3,1,2,0,0
Kleberg,"0006 PREC 31,32",US Senate,,Ted Cruz,REP,690,240,413,37,0
Kleberg,"0006 PREC 31,32",US Senate,,Paul Sadler,DEM,559,249,297,12,1
Kleberg,"0006 PREC 31,32",US Senate,,John Jay Myers,LIB,21,11,10,0,0
Kleberg,"0006 PREC 31,32",US Senate,,David B. Collins,GRN,7,4,3,0,0
Kleberg,"0006 PREC 31,32",US HOUSE,34,Jessica Puente Bradshaw,REP,672,226,412,34,0
Kleberg,"0006 PREC 31,32",US HOUSE,34,Filemon Vela,DEM,573,256,302,14,1
Kleberg,"0006 PREC 31,32",US HOUSE,34,Steven (Ziggy) Shanklin,LIB,33,21,12,0,0
Kleberg,"0006 PREC 31,32",Railroad Commissioner,,Christi Craddick,REP,615,205,380,30,0
Kleberg,"0006 PREC 31,32",Railroad Commissioner,,Dale Henry,DEM,587,260,311,15,1
Kleberg,"0006 PREC 31,32",Railroad Commissioner,,Vivekananda (Vik) Wall,LIB,29,15,12,2,0
Kleberg,"0006 PREC 31,32",Railroad Commissioner,,Chris Kennedy,GRN,19,11,8,0,0
Kleberg,"0006 PREC 31,32",Railroad Commissioner,,Barry Smitherman,REP,674,226,413,35,0
Kleberg,"0006 PREC 31,32",Railroad Commissioner,,Jaime O. Perez,LIB,305,164,132,9,0
Kleberg,"0006 PREC 31,32",Railroad Commissioner,,Josh Wendel,GRN,39,20,19,0,0
Kleberg,"0006 PREC 31,32",State Senate,27,"Eddie Lucio, Jr. (DEM) .  .",DEM,824,364,438,21,1
Kleberg,"0006 PREC 31,32",State House,43,J.M. Lozano,REP,735,256,447,32,0
Kleberg,"0006 PREC 31,32",State House,43,Yvonne Gonzalez Toureilles,DEM,563,261,287,14,1
Kleberg,"0007 PREC 33,34 RISD",Voter Registration,,,,1217,,,,
Kleberg,"0007 PREC 33,34 RISD",Ballots Cast,,,,792,479,271,42,0
Kleberg,"0007 PREC 33,34 RISD",Straight Party,,REPUBLICAN PARTY,REP,169,86,69,14,0
Kleberg,"0007 PREC 33,34 RISD",Straight Party,,DEMOCRATIC PARTY,DEM,133,89,37,7,0
Kleberg,"0007 PREC 33,34 RISD",Straight Party,,LIBERTARIAN PARTY,LIB,1,1,0,0,0
Kleberg,"0007 PREC 33,34 RISD",Straight Party,,GREEN PARTY,GRN,1,1,0,0,0
Kleberg,"0007 PREC 33,34 RISD",President,,Mitt Romney,REP,475,277,174,24,0
Kleberg,"0007 PREC 33,34 RISD",President,,Barack Obama,DEM,297,186,95,16,0
Kleberg,"0007 PREC 33,34 RISD",President,,Gary Johnson,LIB,4,3,0,1,0
Kleberg,"0007 PREC 33,34 RISD",President,,Jill Stein,GRN,0,0,0,0,0
Kleberg,"0007 PREC 33,34 RISD",President,,Write-ins,WRI,2,1,0,1,0
Kleberg,"0007 PREC 33,34 RISD",US Senate,,Ted Cruz,REP,454,269,161,24,0
Kleberg,"0007 PREC 33,34 RISD",US Senate,,Paul Sadler,DEM,279,169,95,15,0
