county,precinct,office,district,candidate,party,early_voting,election_day,mail,provisional,votes
Wilson,Box 101,Straight Party,,Republican,REP,191,108,10,0,309
Wilson,Box 101,Straight Party,,Democratic,DEM,130,103,4,1,238
Wilson,Box 101,Straight Party,,Libertarian,LIB,2,3,0,0,5
Wilson,Box 101,Straight Party,,Green,GRN,1,0,2,0,3
Wilson,Box 101,President/V President,,Romney/Ryan,REP,488,253,25,0,766
Wilson,Box 101,President/V President,,Obama/Biden,DEM,266,197,4,1,468
Wilson,Box 101,President/V President,,Johsnon/Gray,LIB,5,6,0,0,11
Wilson,Box 101,President/V President,,Stein/Honkala,GRN,2,2,0,0,4
Wilson,Box 101,President/V President,,Write-in 50,NP,1,0,0,0,1
Wilson,Box 101,US Senator,,Ted Cruz,REP,468,251,23,0,742
Wilson,Box 101,US Senator,,Paul Sadler,DEM,260,183,4,1,448
Wilson,Box 101,US Senator,,John Jay Myers,LIB,19,14,2,0,35
Wilson,Box 101,US Senator,,David B. Collins,GRN,6,1,0,0,7
Wilson,Box 101,US Representative D28,,William R. Hayward,REP,405,204,17,0,626
Wilson,Box 101,US Representative D28,,Henry Cuellar,DEM,327,229,12,1,569
Wilson,Box 101,US Representative D28,,Patrick Hisel,LIB,9,10,0,0,19
Wilson,Box 101,US Representative D28,,Michael D. Cary,GRN,5,2,0,0,7
Wilson,Box 101,Railroad Comm,,Christi Craddick,REP,477,235,24,0,736
Wilson,Box 101,Railroad Comm,,Dale Henry,DEM,240,176,5,1,422
Wilson,Box 101,Railroad Comm,,Vivekananda Wall,LIB,15,10,0,0,25
Wilson,Box 101,Railroad Comm,,Chris Kennedy,GRN,13,16,0,0,29
Wilson,Box 101,Railroad Comm-Unexp,,Barry Smitherman,REP,490,251,25,0,766
Wilson,Box 101,Railroad Comm-Unexp,,Jaime O. Perez,LIB,131,95,0,0,226
Wilson,Box 101,Railroad Comm-Unexp,,Josh Wendel,GRN,30,33,0,0,63
Wilson,Box 101,Justice Supreme Court 2,,Don Willett,REP,499,268,25,0,792
Wilson,Box 101,Justice Supreme Court 2,,RS Roberto Koelsch,LIB,132,95,0,0,227
Wilson,Box 101,Justice Supreme Court 4,,John Devine,REP,503,257,25,0,785
Wilson,Box 101,Justice Supreme Court 4,,Tom Oxford,LIB,105,85,0,0,190
Wilson,Box 101,Justice Supreme Court 4,,Charles E. Waterbury,GRN,32,29,0,0,61
Wilson,Box 101,Justice Supreme Court 6,,Nathan Hecht,REP,421,214,24,0,659
Wilson,Box 101,Justice Supreme Court 6,,Michele Petty,DEM,289,192,5,1,487
Wilson,Box 101,Justice Supreme Court 6,,Mark Ash,LIB,16,18,0,0,34
Wilson,Box 101,Justice Supreme Court 6,,Jim Chisholm,GRN,9,8,0,0,17
Wilson,Box 101,"Criminal Appeals Judge, Presiding",,Sharon Keller,REP,469,245,23,0,737
Wilson,Box 101,"Criminal Appeals Judge, Presiding",,Keith Hampton,DEM,245,180,6,1,432
Wilson,Box 101,"Criminal Appeals Judge, Presiding",,Lance Stott,LIB,20,11,0,0,31
Wilson,Box 101,Criminal Appeals Judge 7,,B. Parker Hervey,REP,500,269,24,0,793
Wilson,Box 101,Criminal Appeals Judge 7,,Mark W. Bennett,LIB,139,106,1,0,246
Wilson,Box 101,Criminal Appeals Judge 8,,Elsa Alcala,REP,492,269,24,0,785
Wilson,Box 101,Criminal Appeals Judge 8,,"William Strange, III",LIB,144,101,1,0,246
Wilson,Box 101,State Bd Educ 3,,David M. Williams,REP,451,232,25,0,708
Wilson,Box 101,State Bd Educ 3,,Marisa B. Perez,DEM,289,203,4,1,497
Wilson,Box 101,"State Senator, D21",,Grant Rostig,REP,354,197,22,0,573
Wilson,Box 101,"State Senator, D21",,Judith Zaffirini,DEM,382,230,7,1,620
Wilson,Box 101,"State Senator, D21",,Joseph Morse,LIB,14,15,0,0,29
Wilson,Box 101,"State Representative, D44",,John Kuempel,REP,560,311,24,0,895
Wilson,Box 101,"Justice, 4th Court Appeals 2",,Marialyn Barnard,REP,480,245,23,0,748
Wilson,Box 101,"Justice, 4th Court Appeals 2",,Baldemar Garza,DEM,260,194,6,1,461
Wilson,Box 101,"Justice, 4th Court Appeals 3",,Rebecca Simmons,REP,455,241,22,0,718
Wilson,Box 101,"Justice, 4th Court Appeals 3",,Patricia Alvarez,DEM,285,197,7,1,490
Wilson,Box 101,"Justice, 4th Court Appeals 4",,Steve Hilbig,REP,457,233,21,0,711
Wilson,Box 101,"Justice, 4th Court Appeals 4",,Luz Elena Chapa,DEM,286,207,8,1,502
Wilson,Box 101,"Justice, 4th Court Appeals 5",,Karen Angelini,REP,492,247,24,0,763
Wilson,Box 101,"Justice, 4th Court Appeals 5",,David D. Towler,DEM,248,188,5,1,442
Wilson,Box 101,"Justice, 4th Court Appeals 7",,Phylis J. Speedlin,REP,451,223,22,0,696
Wilson,Box 101,"Justice, 4th Court Appeals 7",,Rebeca C. Martinez,DEM,289,215,7,1,512
Wilson,Box 101,"District Attorney, D81",,RenÈ M. PeÒa,DEM,459,304,15,1,779
Wilson,Box 101,Sheriff,,Chris Burchell,REP,343,177,21,0,541
Wilson,Box 101,Sheriff,,"Joe D. Tackitt, Jr.",DEM,396,272,8,1,677
Wilson,Box 101,County Attorney,,Daynah Fallwell,REP,526,313,23,0,862
Wilson,Box 101,County Tax Assessor-Collector,,Anna D. Gonzales,DEM,494,317,16,1,828
Wilson,Box 101,"County Commissioner, Pct 1",,"Albert Gamez, Jr.",DEM,484,297,15,1,797
Wilson,Box 101,"Constable, Pct 1",,"Martin Rodriguez, Jr",DEM,447,288,13,1,749
Wilson,Box 102,Straight Party,,Republican,REP,59,56,5,1,121
Wilson,Box 102,Straight Party,,Democratic,DEM,258,154,33,0,445
Wilson,Box 102,Straight Party,,Libertarian,LIB,3,7,0,0,10
Wilson,Box 102,Straight Party,,Green,GRN,1,0,0,0,1
Wilson,Box 102,President/V President,,Romney/Ryan,REP,197,125,8,1,331
Wilson,Box 102,President/V President,,Obama/Biden,DEM,406,258,44,0,708
Wilson,Box 102,President/V President,,Johsnon/Gray,LIB,0,1,0,0,1
Wilson,Box 102,President/V President,,Stein/Honkala,GRN,3,1,0,0,4
Wilson,Box 102,President/V President,,Write-in 50,NP,1,0,0,0,1
Wilson,Box 102,US Senator,,Ted Cruz,REP,200,121,10,1,332
Wilson,Box 102,US Senator,,Paul Sadler,DEM,362,234,40,0,636
Wilson,Box 102,US Senator,,John Jay Myers,LIB,9,11,0,0,20
Wilson,Box 102,US Senator,,David B. Collins,GRN,6,3,0,0,9
Wilson,Box 102,US Representative D28,,William R. Hayward,REP,130,79,8,1,218
Wilson,Box 102,US Representative D28,,Henry Cuellar,DEM,450,293,42,0,785
Wilson,Box 102,US Representative D28,,Patrick Hisel,LIB,4,6,0,0,10
Wilson,Box 102,US Representative D28,,Michael D. Cary,GRN,5,0,0,0,5
Wilson,Box 102,Railroad Comm,,Christi Craddick,REP,166,95,7,1,269
Wilson,Box 102,Railroad Comm,,Dale Henry,DEM,380,258,39,0,677
Wilson,Box 102,Railroad Comm,,Vivekananda Wall,LIB,11,7,0,0,18
Wilson,Box 102,Railroad Comm,,Chris Kennedy,GRN,13,6,2,0,21
Wilson,Box 102,Railroad Comm-Unexp,,Barry Smitherman,REP,196,119,7,1,323
Wilson,Box 102,Railroad Comm-Unexp,,Jaime O. Perez,LIB,163,130,9,0,302
Wilson,Box 102,Railroad Comm-Unexp,,Josh Wendel,GRN,16,7,4,0,27
Wilson,Box 102,Justice Supreme Court 2,,Don Willett,REP,211,148,10,1,370
Wilson,Box 102,Justice Supreme Court 2,,RS Roberto Koelsch,LIB,135,101,9,0,245
Wilson,Box 102,Justice Supreme Court 4,,John Devine,REP,197,143,10,1,351
Wilson,Box 102,Justice Supreme Court 4,,Tom Oxford,LIB,126,89,5,0,220
Wilson,Box 102,Justice Supreme Court 4,,Charles E. Waterbury,GRN,32,15,5,0,52
Wilson,Box 102,Justice Supreme Court 6,,Nathan Hecht,REP,149,84,7,1,241
Wilson,Box 102,Justice Supreme Court 6,,Michele Petty,DEM,392,262,41,0,695
Wilson,Box 102,Justice Supreme Court 6,,Mark Ash,LIB,17,12,0,0,29
Wilson,Box 102,Justice Supreme Court 6,,Jim Chisholm,GRN,3,5,0,0,8
Wilson,Box 102,"Criminal Appeals Judge, Presiding",,Sharon Keller,REP,174,96,8,1,279
Wilson,Box 102,"Criminal Appeals Judge, Presiding",,Keith Hampton,DEM,371,257,40,0,668
Wilson,Box 102,"Criminal Appeals Judge, Presiding",,Lance Stott,LIB,20,10,0,0,30
Wilson,Box 102,Criminal Appeals Judge 7,,B. Parker Hervey,REP,226,152,11,1,390
Wilson,Box 102,Criminal Appeals Judge 7,,Mark W. Bennett,LIB,134,99,8,0,241
Wilson,Box 102,Criminal Appeals Judge 8,,Elsa Alcala,REP,235,157,11,1,404
Wilson,Box 102,Criminal Appeals Judge 8,,"William Strange, III",LIB,123,93,8,0,224
Wilson,Box 102,State Bd Educ 3,,David M. Williams,REP,155,92,6,1,254
Wilson,Box 102,State Bd Educ 3,,Marisa B. Perez,DEM,413,271,42,0,726
Wilson,Box 102,"State Senator, D21",,Grant Rostig,REP,109,70,6,1,186
Wilson,Box 102,"State Senator, D21",,Judith Zaffirini,DEM,464,297,42,0,803
Wilson,Box 102,"State Senator, D21",,Joseph Morse,LIB,10,7,0,0,17
Wilson,Box 102,"State Representative, D44",,John Kuempel,REP,282,218,14,1,515
Wilson,Box 102,"Justice, 4th Court Appeals 2",,Marialyn Barnard,REP,162,94,7,1,264
Wilson,Box 102,"Justice, 4th Court Appeals 2",,Baldemar Garza,DEM,408,274,41,0,723
Wilson,Box 102,"Justice, 4th Court Appeals 3",,Rebecca Simmons,REP,160,91,7,1,259
Wilson,Box 102,"Justice, 4th Court Appeals 3",,Patricia Alvarez,DEM,411,276,41,0,728
Wilson,Box 102,"Justice, 4th Court Appeals 4",,Steve Hilbig,REP,153,89,8,1,251
Wilson,Box 102,"Justice, 4th Court Appeals 4",,Luz Elena Chapa,DEM,423,279,40,0,742
Wilson,Box 102,"Justice, 4th Court Appeals 5",,Karen Angelini,REP,176,99,8,1,284
Wilson,Box 102,"Justice, 4th Court Appeals 5",,David D. Towler,DEM,389,268,40,0,697
Wilson,Box 102,"Justice, 4th Court Appeals 7",,Phylis J. Speedlin,REP,140,82,7,1,230
Wilson,Box 102,"Justice, 4th Court Appeals 7",,Rebeca C. Martinez,DEM,433,289,42,0,764
Wilson,Box 102,"District Attorney, D81",,RenÈ M. PeÒa,DEM,471,315,38,0,824
Wilson,Box 102,Sheriff,,Chris Burchell,REP,122,60,5,1,188
Wilson,Box 102,Sheriff,,"Joe D. Tackitt, Jr.",DEM,476,324,45,0,845
Wilson,Box 102,County Attorney,,Daynah Fallwell,REP,269,198,16,1,484
Wilson,Box 102,County Tax Assessor-Collector,,Anna D. Gonzales,DEM,492,325,44,0,861
Wilson,Box 102,"County Commissioner, Pct 1",,"Albert Gamez, Jr.",DEM,492,321,43,0,856
Wilson,Box 102,"Constable, Pct 1",,"Martin Rodriguez, Jr",DEM,458,301,41,0,800
Wilson,Box 103,Straight Party,,Republican,REP,100,82,11,0,193
Wilson,Box 103,Straight Party,,Democratic,DEM,85,125,7,0,217
Wilson,Box 103,Straight Party,,Libertarian,LIB,1,6,0,0,7
Wilson,Box 103,Straight Party,,Green,GRN,0,0,0,0,0
