county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,,,,,
Comal,101,,,,Registered Voters,3907,,,,,,,,
Comal,102,,,,Registered Voters,3434,,,,,,,,
Comal,103,,,,Registered Voters,3260,,,,,,,,
Comal,104,,,,Registered Voters,2054,,,,,,,,
Comal,105,,,,Registered Voters,5300,,,,,,,,
Comal,106,,,,Registered Voters,5774,,,,,,,,
Comal,201,,,,Registered Voters,4123,,,,,,,,
Comal,202,,,,Registered Voters,1082,,,,,,,,
Comal,203,,,,Registered Voters,5451,,,,,,,,
Comal,204,,,,Registered Voters,5227,,,,,,,,
Comal,205,,,,Registered Voters,5098,,,,,,,,
Comal,206,,,,Registered Voters,4577,,,,,,,,
Comal,301,,,,Registered Voters,4543,,,,,,,,
Comal,302,,,,Registered Voters,5204,,,,,,,,
Comal,303,,,,Registered Voters,1047,,,,,,,,
Comal,304,,,,Registered Voters,5589,,,,,,,,
Comal,305,,,,Registered Voters,1908,,,,,,,,
Comal,401,,,,Registered Voters,2164,,,,,,,,
Comal,402,,,,Registered Voters,4360,,,,,,,,
Comal,403,,,,Registered Voters,4341,,,,,,,,
Comal,404,,,,Registered Voters,5532,,,,,,,,
Comal,405,,,,Registered Voters,3631,,,,,,,,
Comal,406,,,,Registered Voters,4783,,,,,,,,
Comal,Total,,,,Registered Voters,92389,,,,,,,,
Comal,101,,,Republican,Straight Party,1205,125,828,252,,,,,
Comal,102,,,Republican,Straight Party,1509,88,1261,160,,,,,
Comal,103,,,Republican,Straight Party,1307,81,963,263,,,,,
Comal,104,,,Republican,Straight Party,769,64,610,95,,,,,
Comal,105,,,Republican,Straight Party,1808,104,1344,360,,,,,
Comal,106,,,Republican,Straight Party,2560,142,2126,292,,,,,
Comal,201,,,Republican,Straight Party,1245,69,870,306,,,,,
Comal,202,,,Republican,Straight Party,336,25,231,80,,,,,
Comal,203,,,Republican,Straight Party,2282,186,1760,336,,,,,
Comal,204,,,Republican,Straight Party,2051,160,1619,272,,,,,
Comal,205,,,Republican,Straight Party,2016,109,1752,155,,,,,
Comal,206,,,Republican,Straight Party,1890,114,1532,244,,,,,
Comal,301,,,Republican,Straight Party,704,35,501,168,,,,,
Comal,302,,,Republican,Straight Party,1321,87,983,251,,,,,
Comal,303,,,Republican,Straight Party,157,6,112,39,,,,,
Comal,304,,,Republican,Straight Party,1254,74,873,307,,,,,
Comal,305,,,Republican,Straight Party,533,13,384,136,,,,,
Comal,401,,,Republican,Straight Party,732,89,470,173,,,,,
Comal,402,,,Republican,Straight Party,1585,128,1171,286,,,,,
Comal,403,,,Republican,Straight Party,1735,143,1259,333,,,,,
Comal,404,,,Republican,Straight Party,2205,142,1677,386,,,,,
Comal,405,,,Republican,Straight Party,1316,79,945,292,,,,,
Comal,406,,,Republican,Straight Party,1630,208,1124,298,,,,,
Comal,Total,,,Republican,Straight Party,32150,2271,24395,5484,,,,,
Comal,101,,,Democratic,Straight Party,369,42,236,91,,,,,
Comal,102,,,Democratic,Straight Party,234,10,188,36,,,,,
Comal,103,,,Democratic,Straight Party,204,19,149,36,,,,,
Comal,104,,,Democratic,Straight Party,172,21,131,20,,,,,
Comal,105,,,Democratic,Straight Party,374,40,270,64,,,,,
Comal,106,,,Democratic,Straight Party,402,28,329,45,,,,,
Comal,201,,,Democratic,Straight Party,411,22,275,114,,,,,
Comal,202,,,Democratic,Straight Party,132,7,92,33,,,,,
Comal,203,,,Democratic,Straight Party,397,34,314,49,,,,,
Comal,204,,,Democratic,Straight Party,409,35,300,74,,,,,
Comal,205,,,Democratic,Straight Party,503,21,418,64,,,,,
Comal,206,,,Democratic,Straight Party,328,22,260,46,,,,,
Comal,301,,,Democratic,Straight Party,631,55,308,268,,,,,
Comal,302,,,Democratic,Straight Party,546,35,383,128,,,,,
Comal,303,,,Democratic,Straight Party,176,14,86,76,,,,,
Comal,304,,,Democratic,Straight Party,614,23,388,203,,,,,
Comal,305,,,Democratic,Straight Party,188,13,132,43,,,,,
Comal,401,,,Democratic,Straight Party,193,28,104,61,,,,,
Comal,402,,,Democratic,Straight Party,358,36,267,55,,,,,
Comal,403,,,Democratic,Straight Party,353,31,244,78,,,,,
Comal,404,,,Democratic,Straight Party,419,30,306,83,,,,,
Comal,405,,,Democratic,Straight Party,285,15,218,52,,,,,
Comal,406,,,Democratic,Straight Party,442,65,294,83,,,,,
Comal,Total,,,Democratic,Straight Party,8140,646,5692,1802,,,,,
Comal,101,,,Libertarian,Straight Party,20,1,9,10,,,,,
Comal,102,,,Libertarian,Straight Party,13,1,10,2,,,,,
Comal,103,,,Libertarian,Straight Party,14,0,9,5,,,,,
Comal,104,,,Libertarian,Straight Party,16,1,12,3,,,,,
Comal,105,,,Libertarian,Straight Party,25,2,18,5,,,,,
Comal,106,,,Libertarian,Straight Party,23,2,13,8,,,,,
Comal,201,,,Libertarian,Straight Party,24,1,12,11,,,,,
Comal,202,,,Libertarian,Straight Party,14,0,10,4,,,,,
Comal,203,,,Libertarian,Straight Party,19,5,10,4,,,,,
Comal,204,,,Libertarian,Straight Party,21,0,14,7,,,,,
Comal,205,,,Libertarian,Straight Party,17,3,13,1,,,,,
Comal,206,,,Libertarian,Straight Party,16,1,9,6,,,,,
Comal,301,,,Libertarian,Straight Party,24,0,13,11,,,,,
Comal,302,,,Libertarian,Straight Party,30,0,13,17,,,,,
Comal,303,,,Libertarian,Straight Party,8,0,3,5,,,,,
Comal,304,,,Libertarian,Straight Party,34,0,18,16,,,,,
Comal,305,,,Libertarian,Straight Party,19,1,12,6,,,,,
Comal,401,,,Libertarian,Straight Party,13,0,7,6,,,,,
Comal,402,,,Libertarian,Straight Party,29,0,15,14,,,,,
Comal,403,,,Libertarian,Straight Party,18,1,13,4,,,,,
