county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day,provisional
Ellis,101,Registered Voters,,,,2887,,,,
Ellis,102,Registered Voters,,,,4081,,,,
Ellis,103,Registered Voters,,,,4057,,,,
Ellis,104,Registered Voters,,,,3271,,,,
Ellis,105,Registered Voters,,,,3296,,,,
Ellis,106,Registered Voters,,,,3033,,,,
Ellis,107,Registered Voters,,,,3139,,,,
Ellis,108,Registered Voters,,,,2748,,,,
Ellis,109,Registered Voters,,,,1990,,,,
Ellis,110,Registered Voters,,,,3890,,,,
Ellis,111,Registered Voters,,,,1688,,,,
Ellis,112,Registered Voters,,,,1639,,,,
Ellis,113,Registered Voters,,,,1756,,,,
Ellis,114,Registered Voters,,,,1892,,,,
Ellis,115,Registered Voters,,,,1704,,,,
Ellis,116,Registered Voters,,,,2090,,,,
Ellis,117,Registered Voters,,,,2736,,,,
Ellis,118,Registered Voters,,,,2866,,,,
Ellis,119,Registered Voters,,,,1453,,,,
Ellis,120,Registered Voters,,,,607,,,,
Ellis,121,Registered Voters,,,,2117,,,,
Ellis,122,Registered Voters,,,,1226,,,,
Ellis,123,Registered Voters,,,,1057,,,,
Ellis,124,Registered Voters,,,,1665,,,,
Ellis,125,Registered Voters,,,,3685,,,,
Ellis,126,Registered Voters,,,,1041,,,,
Ellis,127,Registered Voters,,,,499,,,,
Ellis,128,Registered Voters,,,,229,,,,
Ellis,129,Registered Voters,,,,798,,,,
Ellis,130,Registered Voters,,,,657,,,,
Ellis,131,Registered Voters,,,,1844,,,,
Ellis,132,Registered Voters,,,,590,,,,
Ellis,133,Registered Voters,,,,580,,,,
Ellis,134,Registered Voters,,,,648,,,,
Ellis,135,Registered Voters,,,,3514,,,,
Ellis,136,Registered Voters,,,,488,,,,
Ellis,137,Registered Voters,,,,1159,,,,
Ellis,138,Registered Voters,,,,1831,,,,
Ellis,139,Registered Voters,,,,1036,,,,
Ellis,140,Registered Voters,,,,3822,,,,
Ellis,141,Registered Voters,,,,1922,,,,
Ellis,142,Registered Voters,,,,2121,,,,
Ellis,143,Registered Voters,,,,2785,,,,
Ellis,144,Registered Voters,,,,1872,,,,
Ellis,145,Registered Voters,,,,3468,,,,
Ellis,146,Registered Voters,,,,2722,,,,
Ellis,147,Registered Voters,,,,3900,,,,
Ellis,148,Registered Voters,,,,2700,,,,
Ellis,149,Registered Voters,,,,1418,,,,
Ellis,101,Ballots Cast,,,,1848,54,1410,377,7
Ellis,102,Ballots Cast,,,,2415,81,1797,530,7
Ellis,103,Ballots Cast,,,,2631,58,2103,456,14
Ellis,104,Ballots Cast,,,,2416,56,1928,423,9
Ellis,105,Ballots Cast,,,,2353,67,1916,360,10
Ellis,106,Ballots Cast,,,,2193,56,1796,337,4
Ellis,107,Ballots Cast,,,,2368,87,1865,411,5
Ellis,108,Ballots Cast,,,,1957,55,1520,379,3
Ellis,109,Ballots Cast,,,,1388,64,1061,259,4
Ellis,110,Ballots Cast,,,,2547,95,2022,421,9
Ellis,111,Ballots Cast,,,,1208,57,894,254,3
Ellis,112,Ballots Cast,,,,1054,36,746,268,4
Ellis,113,Ballots Cast,,,,801,44,447,306,4
Ellis,114,Ballots Cast,,,,1139,61,799,275,4
Ellis,115,Ballots Cast,,,,972,37,700,232,3
Ellis,116,Ballots Cast,,,,1245,37,832,374,2
Ellis,117,Ballots Cast,,,,1542,65,1073,400,4
Ellis,118,Ballots Cast,,,,1751,141,1209,389,12
Ellis,119,Ballots Cast,,,,899,32,670,197,0
Ellis,120,Ballots Cast,,,,323,6,239,78,0
Ellis,121,Ballots Cast,,,,1330,53,944,329,4
Ellis,122,Ballots Cast,,,,796,30,601,165,0
Ellis,123,Ballots Cast,,,,394,47,197,150,0
Ellis,124,Ballots Cast,,,,698,49,391,256,2
Ellis,125,Ballots Cast,,,,2169,57,1623,484,5
Ellis,126,Ballots Cast,,,,571,6,400,163,2
Ellis,127,Ballots Cast,,,,271,19,194,56,2
Ellis,128,Ballots Cast,,,,83,1,50,32,0
Ellis,129,Ballots Cast,,,,428,6,243,178,1
Ellis,130,Ballots Cast,,,,368,9,83,276,0
Ellis,131,Ballots Cast,,,,1095,42,450,599,4
Ellis,132,Ballots Cast,,,,357,8,171,176,2
Ellis,133,Ballots Cast,,,,326,7,187,130,2
Ellis,134,Ballots Cast,,,,469,15,353,101,0
Ellis,135,Ballots Cast,,,,2344,72,1448,816,8
Ellis,136,Ballots Cast,,,,381,10,320,51,0
Ellis,137,Ballots Cast,,,,813,28,474,311,0
Ellis,138,Ballots Cast,,,,1076,21,778,276,1
Ellis,139,Ballots Cast,,,,788,29,602,153,4
Ellis,140,Ballots Cast,,,,2555,86,1874,586,9
Ellis,141,Ballots Cast,,,,1323,40,951,328,4
Ellis,142,Ballots Cast,,,,1246,57,907,279,3
Ellis,143,Ballots Cast,,,,1834,54,1470,306,4
Ellis,144,Ballots Cast,,,,1218,39,963,212,4
Ellis,145,Ballots Cast,,,,2003,63,1497,435,8
Ellis,146,Ballots Cast,,,,1693,59,1308,322,4
Ellis,147,Ballots Cast,,,,2409,106,1792,508,3
Ellis,148,Ballots Cast,,,,1473,49,885,536,3
Ellis,149,Ballots Cast,,,,794,32,457,303,2
Ellis,101,Straight Party,,,Republican,907,37,686,180,4
Ellis,102,Straight Party,,,Republican,1199,45,908,242,4
Ellis,103,Straight Party,,,Republican,1316,33,1043,230,10
Ellis,104,Straight Party,,,Republican,1147,27,940,175,5
Ellis,105,Straight Party,,,Republican,1207,36,978,188,5
Ellis,106,Straight Party,,,Republican,1115,31,924,158,2
Ellis,107,Straight Party,,,Republican,1158,59,905,191,3
Ellis,108,Straight Party,,,Republican,931,30,725,175,1
Ellis,109,Straight Party,,,Republican,682,39,527,116,0
Ellis,110,Straight Party,,,Republican,948,39,746,160,3
Ellis,111,Straight Party,,,Republican,610,37,459,111,3
Ellis,112,Straight Party,,,Republican,496,16,354,124,2
Ellis,113,Straight Party,,,Republican,92,3,62,27,0
Ellis,114,Straight Party,,,Republican,523,27,388,105,3
Ellis,115,Straight Party,,,Republican,396,21,302,72,1
Ellis,116,Straight Party,,,Republican,578,22,407,149,0
Ellis,117,Straight Party,,,Republican,687,29,477,178,3
Ellis,118,Straight Party,,,Republican,770,88,530,144,8
Ellis,119,Straight Party,,,Republican,416,16,311,89,0
Ellis,120,Straight Party,,,Republican,157,6,125,26,0
Ellis,121,Straight Party,,,Republican,618,29,428,159,2
Ellis,122,Straight Party,,,Republican,348,16,259,73,0
Ellis,123,Straight Party,,,Republican,42,2,29,11,0
Ellis,124,Straight Party,,,Republican,152,4,96,50,2
Ellis,125,Straight Party,,,Republican,978,30,726,218,4
Ellis,126,Straight Party,,,Republican,221,2,156,61,2
Ellis,127,Straight Party,,,Republican,122,6,91,25,0
Ellis,128,Straight Party,,,Republican,24,0,15,9,0
Ellis,129,Straight Party,,,Republican,194,1,116,76,1
Ellis,130,Straight Party,,,Republican,138,4,45,89,0
Ellis,131,Straight Party,,,Republican,504,22,219,262,1
Ellis,132,Straight Party,,,Republican,196,4,90,101,1
Ellis,133,Straight Party,,,Republican,136,1,72,61,2
Ellis,134,Straight Party,,,Republican,224,8,168,48,0
Ellis,135,Straight Party,,,Republican,1186,45,767,369,5
Ellis,136,Straight Party,,,Republican,177,5,153,19,0
Ellis,137,Straight Party,,,Republican,398,13,231,154,0
Ellis,138,Straight Party,,,Republican,530,13,405,111,1
Ellis,139,Straight Party,,,Republican,365,12,272,78,3
Ellis,140,Straight Party,,,Republican,1146,47,810,286,3
Ellis,141,Straight Party,,,Republican,647,24,478,144,1
Ellis,142,Straight Party,,,Republican,583,30,436,115,2
Ellis,143,Straight Party,,,Republican,856,32,679,143,2
Ellis,144,Straight Party,,,Republican,357,15,282,58,2
Ellis,145,Straight Party,,,Republican,693,29,520,139,5
Ellis,146,Straight Party,,,Republican,756,33,572,149,2
Ellis,147,Straight Party,,,Republican,1108,60,808,238,2
Ellis,148,Straight Party,,,Republican,590,21,348,220,1
Ellis,149,Straight Party,,,Republican,337,15,215,106,1
Ellis,101,Straight Party,,,Democratic,255,7,184,63,1
Ellis,102,Straight Party,,,Democratic,257,10,175,71,1
Ellis,103,Straight Party,,,Democratic,250,9,193,47,1
Ellis,104,Straight Party,,,Democratic,195,5,155,35,0
Ellis,105,Straight Party,,,Democratic,155,3,127,24,1
