county,precinct,office,district,candidate,party,votes,early_ballots,early_votes,election_ballots,election_votes
Wheeler,1,Registered Voters,,,,221,,,,
Wheeler,1,Ballots Cast,,,,171,,76,,95
Wheeler,1,Straight Party,,Republican Party,REP,100,,38,95,62
Wheeler,1,Straight Party,,Democratic Party,DEM,1,76,1,95,0
Wheeler,1,Straight Party,,Libertarian Party,LIB,0,76,0,0,0
Wheeler,1,Straight Party,,Green Party,GRN,1,76,1,95,0
Wheeler,1,Straight Party,,Under Votes,,62,,29,,33
Wheeler,1,Straight Party,,Over Votes,,0,,0,,0
Wheeler,1,President,,Donald J. Trump / Mike Pence,REP,166,76,72,95,94
Wheeler,1,President,,Hillary Clinton / Tim Kaine,DEM,2,76,2,95,0
Wheeler,1,President,,Gary Johnson / William Weld,LIB,0,76,0,95,0
Wheeler,1,President,,Jill Stein / Ajamu Baraka,GRN,0,76,0,95,0
Wheeler,1,President,,Under Votes,,2,,1,,1
Wheeler,1,President,,Over Votes,,0,,0,,0
Wheeler,1,"U.S. House, District 13",13,Mac Thornberry,REP,155,76,70,95,85
Wheeler,1,"U.S. House, District 13",13,Calvin DeWeese,LIB,7,76,2,95,5
Wheeler,1,"U.S. House, District 13",13,"H.F. ""Rusty"" Tomlinson",GRN,3,76,1,95,2
Wheeler,1,"U.S. House, District 13",13,Under Votes,,6,,3,,3
Wheeler,1,"U.S. House, District 13",13,Over Votes,,0,,0,,0
Wheeler,1,Railroad Commissioner,,Wayne Christian,REP,155,76,68,95,87
Wheeler,1,Railroad Commissioner,,Grady Yarbrough,DEM,1,76,1,95,0
Wheeler,1,Railroad Commissioner,,Mark Miller,LIB,9,76,3,95,6
Wheeler,1,Railroad Commissioner,,Martina Salinas,GRN,0,76,0,95,0
Wheeler,1,Railroad Commissioner,,Under Votes,,5,,3,,2
Wheeler,1,Railroad Commissioner,,Over Votes,,0,,0,,0
Wheeler,1,"State Representative, District 68",68,Drew Springer,REP,163,76,70,95,93
Wheeler,1,"State Representative, District 68",68,Under Votes,,7,,5,,2
Wheeler,1,"State Representative, District 68",68,Over Votes,,0,,0,,0
Wheeler,2,Registered Voters,,,,523,,,,
Wheeler,2,Ballots Cast,,,,364,,207,,157
Wheeler,2,Straight Party,,Republican Party,REP,178,207,105,157,73
Wheeler,2,Straight Party,,Democratic Party,DEM,23,207,6,157,17
Wheeler,2,Straight Party,,Libertarian Party,LIB,1,207,0,157,1
Wheeler,2,Straight Party,,Green Party,GRN,1,207,0,157,1
Wheeler,2,Straight Party,,Under Votes,,153,,88,,65
Wheeler,2,Straight Party,,Over Votes,,0,,0,,0
Wheeler,2,President,,Donald J. Trump / Mike Pence,REP,326,207,201,157,125
Wheeler,2,President,,Hillary Clinton / Tim Kaine,DEM,32,207,6,157,26
Wheeler,2,President,,Gary Johnson / William Weld,LIB,1,207,0,157,1
Wheeler,2,President,,Jill Stein / Ajamu Baraka,GRN,3,207,0,157,3
Wheeler,2,President,,Under Votes,,2,,0,,2
Wheeler,2,President,,Over Votes,,0,,0,,0
Wheeler,2,"U.S. House, District 13",13,Mac Thornberry,REP,321,207,189,157,132
Wheeler,2,"U.S. House, District 13",13,Calvin DeWeese,LIB,16,207,8,157,8
Wheeler,2,"U.S. House, District 13",13,"H.F. ""Rusty"" Tomlinson",GRN,4,207,1,157,3
Wheeler,2,"U.S. House, District 13",13,Under Votes,,22,,8,,14
Wheeler,2,"U.S. House, District 13",13,Over Votes,,0,,0,,0
Wheeler,2,Railroad Commissioner,,Wayne Christian,REP,300,207,179,157,121
Wheeler,2,Railroad Commissioner,,Grady Yarbrough,DEM,33,207,10,157,23
Wheeler,2,Railroad Commissioner,,Mark Miller,LIB,10,207,6,157,4
Wheeler,2,Railroad Commissioner,,Martina Salinas,GRN,4,207,0,157,4
Wheeler,2,Railroad Commissioner,,Under Votes,,14,,9,,5
Wheeler,2,Railroad Commissioner,,Over Votes,,0,,0,,0
Wheeler,2,"State Representative, District 68",68,Drew Springer,REP,320,207,186,157,134
Wheeler,2,"State Representative, District 68",68,Under Votes,,39,,16,,23
Wheeler,2,"State Representative, District 68",68,Over Votes,,0,,0,,0
Wheeler,3,Registered Voters,,,,565,,,,
Wheeler,3,Ballots Cast,,,,370,,225,,145
Wheeler,3,Straight Party,,Republican Party,REP,194,225,123,145,71
Wheeler,3,Straight Party,,Democratic Party,DEM,25,225,14,145,11
Wheeler,3,Straight Party,,Libertarian Party,LIB,0,225,0,145,0
Wheeler,3,Straight Party,,Green Party,GRN,1,225,0,145,1
