county,precinct,office,district,party,candidate,votes,election_day,early_voting_roby,early_voting_rotan,early_voting
Fisher,1,Registered Voters - Total,,,,728,,,,
Fisher,1,Ballots Cast,,,,333,181,129,23,152
Fisher,1,President,,DEM,Martin J O'Malley,10,1,9,0,9
Fisher,1,President,,DEM,Bernie Sanders,42,25,17,0,17
Fisher,1,President,,DEM,Keith Judd,4,3,1,0,1
Fisher,1,President,,DEM,"Roque ""Rocky"" De La Fuente",2,2,0,0,0
Fisher,1,President,,DEM,Calvis L Hawes,0,0,0,0,0
Fisher,1,President,,DEM,Willie L Wilson,2,2,0,0,0
Fisher,1,President,,DEM,Hillary Clinton,41,26,23,0,23
Fisher,1,President,,DEM,Star Locke,1,0,1,0,1
Fisher,1,Railroad Commissioner,,DEM,Grady Yarbrough,44,22,22,0,22
Fisher,1,Railroad Commissioner,,DEM,Cody Garrett,49,25,24,0,24
Fisher,1,Railroad Commissioner,,DEM,Lon Burnam,11,7,4,0,4
Fisher,1,"Justice, Supreme Court Place 3",,DEM,Mike Westergren,87,50,,,0
Fisher,1,"Justice, Supreme Court Place 5",,DEM,Dori Contreras Garza,83,50,,,0
Fisher,1,"Justice, Supreme Court Place 9",,DEM,Savannah Robinson,84,49,,,0
Fisher,1,"Judge, Court of Criminal Appeals Pl 2",,DEM,"Lawrence ""Larry"" Meyers",89,52,,,0
Fisher,1,"Judge, Court of Criminal Appeals Pl 5",,DEM,Betsy Johnson,86,51,,,0
Fisher,1,"Judge, Court of Criminal Appeals, Pl 6",,DEM,Robert Burns,86,50,,,0
Fisher,1,Ref 1,,DEM,Yes,78,49,,,0
Fisher,1,Ref 1,,DEM,No,60,26,,,0
Fisher,1,Ref 2,,DEM,Yes,99,60,,,0
Fisher,1,Ref 2,,DEM,No,32,11,,,0
Fisher,1,Ref 3,,DEM,Yes,70,46,,,0
Fisher,1,Ref 3,,DEM,No,58,24,,,0
Fisher,1,Ref 4,,DEM,Yes,90,54,,,0
Fisher,1,Ref 4,,DEM,No,34,11,,,0
Fisher,1,Ref 5,,DEM,Yes,91,53,,,0
Fisher,1,Ref 5,,DEM,No,44,22,,,0
Fisher,1,Ref 6,,DEM,Yes,68,44,,,0
Fisher,1,Ref 6,,DEM,No,62,28,,,0
Fisher,4,Registered Voters - Total,,,,735,,,,
Fisher,4,President,,DEM,Martin J O'Malley,2,1,,,1
Fisher,4,President,,DEM,Bernie Sanders,33,19,,,14
Fisher,4,President,,DEM,Keith Judd,1,0,,,1
Fisher,4,President,,DEM,"Roque ""Rocky"" De La Fuente",5,3,,,2
Fisher,4,President,,DEM,Calvis L Hawes,0,0,,,0
Fisher,4,President,,DEM,Willie L Wilson,4,2,,,2
Fisher,4,President,,DEM,Hillary Clinton,54,24,,,30
Fisher,4,President,,DEM,Star Locke,1,0,,,1
Fisher,4,Railroad Commissioner,,DEM,Grady Yarbrough,34,15,,,19
Fisher,4,Railroad Commissioner,,DEM,Cody Garrett,39,21,,,18
Fisher,4,Railroad Commissioner,,DEM,Lon Burnam,4,2,,,2
Fisher,4,"Justice, Supreme Court Place 3",,DEM,Mike Westergren,53,26,,,27
Fisher,4,"Justice, Supreme Court Place 5",,DEM,Dori Contreras Garza,58,28,,,30
Fisher,4,"Justice, Supreme Court Place 9",,DEM,Savannah Robinson,56,25,,,31
Fisher,4,"Judge, Court of Criminal Appeals Pl 2",,DEM,"Lawrence ""Larry"" Meyers",55,23,,,32
Fisher,4,"Judge, Court of Criminal Appeals Pl 5",,DEM,Betsy Johnson,53,23,,,30
Fisher,4,"Judge, Court of Criminal Appeals, Pl 6",,DEM,Robert Burns,57,25,,,32
Fisher,4,Ref 1,,DEM,Yes,57,28,,,29
Fisher,4,Ref 1,,DEM,No,41,19,,,22
Fisher,4,Ref 2,,DEM,Yes,69,37,,,32
Fisher,4,Ref 2,,DEM,No,16,7,,,9
Fisher,4,Ref 3,,DEM,Yes,56,30,,,26
Fisher,4,Ref 3,,DEM,No,32,17,,,15
Fisher,4,Ref 4,,DEM,Yes,58,33,,,25
Fisher,4,Ref 4,,DEM,No,20,8,,,12
Fisher,4,Ref 5,,DEM,Yes,56,29,,,27
Fisher,4,Ref 5,,DEM,No,30,14,,,16
Fisher,4,Ref 6,,DEM,Yes,50,26,,,24
Fisher,4,Ref 6,,DEM,No,34,16,,,18
Fisher,10,Registered Voters - Total,,,,592,,,,
Fisher,10,President,,DEM,Martin J O'Malley,6,6,,,0
Fisher,10,President,,DEM,Bernie Sanders,30,21,,,9
Fisher,10,President,,DEM,Keith Judd,1,0,,,1
