county,precinct,office,district,candidate,party,votes,early voting,election day
Camp,1,,,Straight Party,REP,372,262,110
Camp,2,,,Straight Party,REP,601,497,104
Camp,3,,,Straight Party,REP,278,222,56
Camp,4,,,Straight Party,REP,435,349,86
Camp,Total,,,Straight Party,REP,1686,,
Camp,1,,,Straight Party,DEM,202,138,74
Camp,2,,,Straight Party,DEM,150,95,55
Camp,3,,,Straight Party,DEM,321,179,142
Camp,4,,,Straight Party,DEM,185,123,62
Camp,Total,,,Straight Party,DEM,858,,
Camp,1,,,Straight Party,LIB,6,4,2
Camp,2,,,Straight Party,LIB,8,2,6
Camp,3,,,Straight Party,LIB,3,2,1
Camp,4,,,Straight Party,LIB,5,2,3
Camp,Total,,,Straight Party,LIB,22,,
Camp,1,,,Straight Party,GRN,1,1,0
Camp,2,,,Straight Party,GRN,4,1,3
Camp,3,,,Straight Party,GRN,2,0,2
Camp,4,,,Straight Party,GRN,0,0,0
Camp,Total,,,Straight Party,GRN,7,,
Camp,1,President,,Donald J. Trump,REP,845,599,246
Camp,2,President,,Donald J. Trump,REP,1025,807,218
Camp,3,President,,Donald J. Trump,REP,479,364,115
Camp,4,President,,Donald J. Trump,REP,852,657,195
Camp,Total,President,,Donald J. Trump,REP,3201,,
Camp,1,President,,Hillary Clinton,DEM,313,202,111
Camp,2,President,,Hillary Clinton,DEM,250,154,96
Camp,3,President,,Hillary Clinton,DEM,425,247,178
Camp,4,President,,Hillary Clinton,DEM,272,181,91
Camp,Total,President,,Hillary Clinton,DEM,1260,,
Camp,1,President,,Gary Johnson,LIB,22,7,15
Camp,2,President,,Gary Johnson,LIB,19,9,110
Camp,3,President,,Gary Johnson,LIB,17,11,6
Camp,4,President,,Gary Johnson,LIB,8,2,6
Camp,Total,President,,Gary Johnson,LIB,66,,
Camp,1,President,,Jill Stein,GRN,3,2,1
Camp,2,President,,Jill Stein,GRN,7,1,6
Camp,3,President,,Jill Stein,GRN,2,1,1
Camp,4,President,,Jill Stein,GRN,3,3,0
Camp,Total,President,,Jill Stein,GRN,15,,
Camp,1,President,,Write-in,,8,3,5
Camp,2,President,,Write-in,,8,2,6
Camp,3,President,,Write-in,,3,2,1
Camp,4,President,,Write-in,,2,1,1
Camp,Total,President,,Write-in,,21,,
Camp,1,U.S House,4,John Ratcliffe,REP,871,609,262
Camp,2,U.S House,4,John Ratcliffe,REP,1060,816,244
Camp,3,U.S House,4,John Ratcliffe,REP,529,392,137
Camp,4,U.S House,4,John Ratcliffe,REP,870,665,205
Camp,Total,U.S House,4,John Ratcliffe,REP,3330,,
Camp,1,U.S House,4,Cody Wommack,LIB,162,90,72
Camp,2,U.S House,4,Cody Wommack,LIB,131,72,59
Camp,3,U.S House,4,Cody Wommack,LIB,157,91,66
Camp,4,U.S House,4,Cody Wommack,LIB,130,75,55
Camp,Total,U.S House,4,Cody Wommack,LIB,580,,
Camp,1,Railroad Commissioner,,Wayne Christian,REP,792,556,236
Camp,2,Railroad Commissioner,,Wayne Christian,REP,975,762,213
Camp,3,Railroad Commissioner,,Wayne Christian,REP,452,348,104
Camp,4,Railroad Commissioner,,Wayne Christian,REP,794,612,182
Camp,Total,Railroad Commissioner,,Wayne Christian,REP,3013,,
Camp,1,Railroad Commissioner,,Grady Yarbrough,DEM,299,189,110
Camp,2,Railroad Commissioner,,Grady Yarbrough,DEM,230,151,79
Camp,3,Railroad Commissioner,,Grady Yarbrough,DEM,414,240,174
Camp,4,Railroad Commissioner,,Grady Yarbrough,DEM,271,184,87
Camp,Total,Railroad Commissioner,,Grady Yarbrough,DEM,1214,,
Camp,1,Railroad Commissioner,,Mark Miller,LIB,37,22,15
Camp,2,Railroad Commissioner,,Mark Miller,LIB,42,25,17
Camp,3,Railroad Commissioner,,Mark Miller,LIB,29,16,13
Camp,4,Railroad Commissioner,,Mark Miller,LIB,35,22,13
Camp,Total,Railroad Commissioner,,Mark Miller,LIB,143,,
Camp,1,Railroad Commissioner,,Martina Salinas,GRN,29,19,10
Camp,2,Railroad Commissioner,,Martina Salinas,GRN,23,7,16
Camp,3,Railroad Commissioner,,Martina Salinas,GRN,5,3,2
Camp,4,Railroad Commissioner,,Martina Salinas,GRN,10,4,6
Camp,Total,Railroad Commissioner,,Martina Salinas,GRN,67,,
Camp,1,State Senate,1,Bryan Hughes,REP,932,631,301
Camp,2,State Senate,1,Bryan Hughes,REP,1080,820,260
Camp,3,State Senate,1,Bryan Hughes,REP,587,427,160
Camp,4,State Senate,1,Bryan Hughes,REP,913,679,234
Camp,Total,State Senate,1,Bryan Hughes,REP,3512,,
Camp,1,State Representative,5,Cole Hefner,REP,942,634,308
Camp,2,State Representative,5,Cole Hefner,REP,1084,825,259
Camp,3,State Representative,5,Cole Hefner,REP,580,421,159
Camp,4,State Representative,5,Cole Hefner,REP,919,681,238
Camp,Total,State Representative,5,Cole Hefner,REP,3525,,
