county,precinct,office,district,party,candidate,votes,absentee,early_votes,election_day
Young,5,,,,Ballots Cast,443,23,370,50
Young,5,,,,Registered Voters,2850,,,
Young,5,,,Republican,Straight Party,292,18,245,29
Young,5,,,Democratic,Straight Party,14,1,13,0
Young,5,,,Libertarian,Straight Party,3,0,2,1
Young,5,,,Green,Straight Party,0,0,0,0
Young,5,,,,Straight Party,309,,,
Young,5,President,,Republican,Donald J. Trump,395,21,330,44
Young,5,President,,Democratic,Hillary Clinton,30,2,25,3
Young,5,President,,Libertarian,Gary Johnson,7,0,5,2
Young,5,President,,Green,Jill Stein,1,0,1,0
Young,5,President,,,Darrell L. Castle,0,,,
Young,5,President,,,Evan McMullin,3,0,3,0
Young,5,President,,,,436,,,
Young,5,U.S. House,19,Republican,Jodey Arrington,399,22,336,41
Young,5,U.S. House,19,Libertarian,Troy Bonar,14,0,12,2
Young,5,U.S. House,19,Green,Mark Lawson,11,0,7,4
Young,5,U.S. House,19,,,424,,,
Young,5,Railroad Commissioner,,Republican,Wayne Christian,396,20,335,41
Young,5,Railroad Commissioner,,Democratic,Grady Yarbrough,23,1,20,2
Young,5,Railroad Commissioner,,Libertarian,Mark Miller,14,2,8,4
Young,5,Railroad Commissioner,,Green,Martina Salinas,2,0,1,1
Young,5,Railroad Commissioner,,,,435,,,
Young,5,State Representative,68,Republican,Drew Springer,405,21,340,44
Young,5,State Representative,68,,,405,,,
Young,6,,,,Ballots Cast,157,13,107,37
Young,6,,,,Registered Voters,216,,,
Young,6,,,Republican,Straight Party,91,4,62,25
Young,6,,,Democratic,Straight Party,4,0,3,1
Young,6,,,Libertarian,Straight Party,1,0,1,0
Young,6,,,Green,Straight Party,0,0,0,0
Young,6,,,,Straight Party,96,,,
Young,6,President,,Republican,Donald J. Trump,135,9,94,32
Young,6,President,,Democratic,Hillary Clinton,11,2,7,2
Young,6,President,,Libertarian,Gary Johnson,6,2,4,0
Young,6,President,,Green,Jill Stein,0,0,0,0
Young,6,President,,,,152,,,
Young,6,U.S. House,19,Republican,Jodey Arrington,144,12,98,34
Young,6,U.S. House,19,Libertarian,Troy Bonar,3,0,3,0
Young,6,U.S. House,19,Green,Mark Lawson,4,0,3,1
Young,6,U.S. House,19,,,151,,,
Young,6,Railroad Commissioner,,Republican,Wayne Christian,140,8,97,35
Young,6,Railroad Commissioner,,Democratic,Grady Yarbrough,10,3,7,0
Young,6,Railroad Commissioner,,Libertarian,Mark Miller,3,1,2,0
Young,6,Railroad Commissioner,,Green,Martina Salinas,1,0,1,0
Young,6,Railroad Commissioner,,,,154,,,
Young,6,State Representative,68,Republican,Drew Springer,146,13,99,34
Young,6,State Representative,68,,,146,,,
Young,7,,,,Ballots Cast,117,7,77,33
Young,7,,,,Registered Voters,154,,,
Young,7,,,Republican,Straight Party,67,1,46,20
Young,7,,,Democratic,Straight Party,6,2,4,0
Young,7,,,Libertarian,Straight Party,0,0,0,0
Young,7,,,Green,Straight Party,0,0,0,0
Young,7,,,,Straight Party,73,,,
Young,7,President,,Republican,Donald J. Trump,101,3,67,31
Young,7,President,,Democratic,Hillary Clinton,11,3,6,2
Young,7,President,,Libertarian,Gary Johnson,3,0,3,0
Young,7,President,,Green,Jill Stein,1,1,0,0
Young,7,President,,,,116,,,
Young,7,U.S. House,19,Republican,Jodey Arrington,99,3,66,30
Young,7,U.S. House,19,Libertarian,Troy Bonar,4,0,3,1
Young,7,U.S. House,19,Green,Mark Lawson,3,1,1,1
Young,7,U.S. House,19,,,106,,,
Young,7,Railroad Commissioner,,Republican,Wayne Christian,99,3,67,29
Young,7,Railroad Commissioner,,Democratic,Grady Yarbrough,10,3,7,0
Young,7,Railroad Commissioner,,Libertarian,Mark Miller,2,0,1,1
Young,7,Railroad Commissioner,,Green,Martina Salinas,2,0,0,2
Young,7,Railroad Commissioner,,,,113,,,
Young,7,State Representative,68,Republican,Drew Springer,102,3,69,30
Young,7,State Representative,68,,,102,,,
Young,10,,,,Ballots Cast,274,24,92,158
Young,10,,,,Registered Voters,444,,,
Young,10,,,Republican,Straight Party,175,15,58,102
Young,10,,,Democratic,Straight Party,16,1,8,7
Young,10,,,Libertarian,Straight Party,3,0,0,3
Young,10,,,Green,Straight Party,1,0,0,1
Young,10,,,,Straight Party,195,,,
Young,10,President,,Republican,Donald J. Trump,235,21,76,138
Young,10,President,,Democratic,Hillary Clinton,27,1,11,15
Young,10,President,,Libertarian,Gary Johnson,7,0,4,3
Young,10,President,,Green,Jill Stein,0,0,0,0
Young,10,President,,,,269,,,
Young,10,U.S. House,19,Republican,Jodey Arrington,233,20,77,136
Young,10,U.S. House,19,Libertarian,Troy Bonar,11,0,3,8
Young,10,U.S. House,19,Green,Mark Lawson,10,2,2,6
Young,10,U.S. House,19,,,254,,,
Young,10,Railroad Commissioner,,Republican,Wayne Christian,231,23,77,131
Young,10,Railroad Commissioner,,Democratic,Grady Yarbrough,25,1,11,13
Young,10,Railroad Commissioner,,Libertarian,Mark Miller,9,0,2,7
Young,10,Railroad Commissioner,,Green,Martina Salinas,3,0,1,2
Young,10,Railroad Commissioner,,,,268,,,
