county,precinct,office,district,party,candidate,votes,1,2,3,4
Lavaca,0001,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2760,0,0,0,0
Lavaca,0008,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,703,0,0,0,0
Lavaca,0016,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,717,0,0,0,0
Lavaca,0019,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,685,0,0,0,0
Lavaca,0023,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1288,0,0,0,0
Lavaca,0029,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2667,0,0,0,0
Lavaca,0030,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2155,0,0,0,0
Lavaca,0031,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1347,0,0,0,0
Lavaca,0032,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,648,0,0,0,0
Lavaca,0001,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1033,212,176,377,268
Lavaca,0008,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,310,32,29,112,137
Lavaca,0016,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,285,28,32,131,94
Lavaca,0019,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,261,68,64,65,64
Lavaca,0023,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,470,38,34,272,126
Lavaca,0029,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,858,85,60,420,293
Lavaca,0030,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,620,53,29,309,229
Lavaca,0031,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,574,123,117,150,184
Lavaca,0032,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,228,25,25,75,103
Lavaca,0001,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,933,184,163,328,258
Lavaca,0008,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,278,26,29,97,126
Lavaca,0016,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,265,26,29,121,89
Lavaca,0019,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,244,59,60,63,62
Lavaca,0023,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,414,29,33,236,116
Lavaca,0029,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,752,62,58,371,261
Lavaca,0030,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,559,46,27,276,210
Lavaca,0031,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,505,105,105,126,169
Lavaca,0032,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,206,23,24,58,101
Lavaca,0001,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,100,28,13,49,10
Lavaca,0008,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,32,6,0,15,11
Lavaca,0016,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,20,2,3,10,5
Lavaca,0019,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,17,9,4,2,2
Lavaca,0023,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,56,9,1,36,10
Lavaca,0029,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,106,23,2,49,32
Lavaca,0030,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,61,7,2,33,19
Lavaca,0031,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,69,18,12,24,15
Lavaca,0032,BALLOTS CAST - DEMOCRATIC PARTY,,DEM,BALLOTS CAST - DEMOCRATIC PARTY,22,2,1,17,2
Lavaca,0001,President,,REP,John R. Kasich,16,4,3,6,3
Lavaca,0008,President,,REP,John R. Kasich,6,0,0,1,5
Lavaca,0016,President,,REP,John R. Kasich,4,0,0,2,2
Lavaca,0019,President,,REP,John R. Kasich,4,0,2,2,0
Lavaca,0023,President,,REP,John R. Kasich,14,0,1,7,6
Lavaca,0029,President,,REP,John R. Kasich,17,3,0,7,7
Lavaca,0030,President,,REP,John R. Kasich,7,3,0,4,0
Lavaca,0031,President,,REP,John R. Kasich,14,1,3,5,5
Lavaca,0032,President,,REP,John R. Kasich,2,0,1,1,0
Lavaca,0001,President,,REP,Marco Rubio,86,19,14,22,31
Lavaca,0008,President,,REP,Marco Rubio,24,2,3,6,13
Lavaca,0016,President,,REP,Marco Rubio,14,0,1,7,6
Lavaca,0019,President,,REP,Marco Rubio,15,6,6,1,2
Lavaca,0023,President,,REP,Marco Rubio,51,1,8,31,11
Lavaca,0029,President,,REP,Marco Rubio,65,11,9,27,18
Lavaca,0030,President,,REP,Marco Rubio,49,10,2,21,16
Lavaca,0031,President,,REP,Marco Rubio,48,9,17,8,14
Lavaca,0032,President,,REP,Marco Rubio,18,5,2,3,8
Lavaca,0001,President,,REP,Mike Huckabee,1,1,0,0,0
Lavaca,0008,President,,REP,Mike Huckabee,0,0,0,0,0
Lavaca,0016,President,,REP,Mike Huckabee,0,0,0,0,0
Lavaca,0019,President,,REP,Mike Huckabee,0,0,0,0,0
Lavaca,0023,President,,REP,Mike Huckabee,0,0,0,0,0
Lavaca,0029,President,,REP,Mike Huckabee,0,0,0,0,0
Lavaca,0030,President,,REP,Mike Huckabee,1,1,0,0,0
Lavaca,0031,President,,REP,Mike Huckabee,4,4,0,0,0
Lavaca,0032,President,,REP,Mike Huckabee,0,0,0,0,0
Lavaca,0001,President,,REP,Jeb Bush,5,2,3,0,0
Lavaca,0008,President,,REP,Jeb Bush,1,0,0,1,0
Lavaca,0016,President,,REP,Jeb Bush,2,0,0,2,0
Lavaca,0019,President,,REP,Jeb Bush,1,0,1,0,0
Lavaca,0023,President,,REP,Jeb Bush,1,1,0,0,0
Lavaca,0029,President,,REP,Jeb Bush,2,0,1,0,1
Lavaca,0030,President,,REP,Jeb Bush,3,0,0,3,0
Lavaca,0031,President,,REP,Jeb Bush,2,1,1,0,0
Lavaca,0032,President,,REP,Jeb Bush,0,0,0,0,0
Lavaca,0001,President,,REP,Elizabeth Gray,0,0,0,0,0
Lavaca,0008,President,,REP,Elizabeth Gray,0,0,0,0,0
Lavaca,0016,President,,REP,Elizabeth Gray,0,0,0,0,0
Lavaca,0019,President,,REP,Elizabeth Gray,0,0,0,0,0
Lavaca,0023,President,,REP,Elizabeth Gray,0,0,0,0,0
Lavaca,0029,President,,REP,Elizabeth Gray,1,0,0,1,0
Lavaca,0030,President,,REP,Elizabeth Gray,0,0,0,0,0
Lavaca,0031,President,,REP,Elizabeth Gray,0,0,0,0,0
Lavaca,0032,President,,REP,Elizabeth Gray,0,0,0,0,0
