county,precinct,office,district,candidate,party,votes,mail,early_voting,election_day,provisional,2A
Van Zandt,1A,Straight Party,,,REP,428,29,296,103,0,0
Van Zandt,1B,Straight Party,,,REP,688,35,278,373,2,0
Van Zandt,1C,Straight Party,,,REP,409,11,186,211,1,0
Van Zandt,1D,Straight Party,,,REP,340,17,145,178,0,0
Van Zandt,1E,Straight Party,,,REP,221,9,100,112,0,0
Van Zandt,2A,Straight Party,,,REP,888,52,653,0,0,183
Van Zandt,2B,Straight Party,,,REP,397,17,216,164,0,0
Van Zandt,2C,Straight Party,,,REP,539,20,229,288,2,0
Van Zandt,2D,Straight Party,,,REP,411,25,239,147,0,0
Van Zandt,3A,Straight Party,,,REP,288,7,221,60,0,0
Van Zandt,3B,Straight Party,,,REP,426,22,200,204,0,0
Van Zandt,3C,Straight Party,,,REP,907,52,434,421,0,0
Van Zandt,3D,Straight Party,,,REP,841,46,417,378,0,0
Van Zandt,4A,Straight Party,,,REP,416,10,325,81,0,0
Van Zandt,4B,Straight Party,,,REP,629,23,255,350,1,0
Van Zandt,4C,Straight Party,,,REP,558,34,213,310,1,0
Van Zandt,4D,Straight Party,,,REP,1058,64,523,470,1,0
Van Zandt,4E,Straight Party,,,REP,361,12,187,162,0,0
Van Zandt,Total,Straight Party,,,REP,9805,,,,,
Van Zandt,1A,Straight Party,,,DEM,58,7,42,9,0,0
Van Zandt,1B,Straight Party,,,DEM,112,14,44,54,0,0
Van Zandt,1C,Straight Party,,,DEM,33,2,18,13,0,0
Van Zandt,1D,Straight Party,,,DEM,46,1,23,22,0,0
Van Zandt,1E,Straight Party,,,DEM,56,1,20,35,0,0
Van Zandt,2A,Straight Party,,,DEM,113,10,82,0,0,21
Van Zandt,2B,Straight Party,,,DEM,48,4,29,15,0,0
Van Zandt,2C,Straight Party,,,DEM,66,4,37,25,0,0
Van Zandt,2D,Straight Party,,,DEM,46,4,32,9,1,0
Van Zandt,3A,Straight Party,,,DEM,48,4,31,13,0,0
Van Zandt,3B,Straight Party,,,DEM,159,6,43,110,0,0
Van Zandt,3C,Straight Party,,,DEM,170,15,66,89,0,0
Van Zandt,3D,Straight Party,,,DEM,74,6,40,28,0,0
Van Zandt,4A,Straight Party,,,DEM,39,3,26,10,0,0
Van Zandt,4B,Straight Party,,,DEM,68,4,22,42,0,0
Van Zandt,4C,Straight Party,,,DEM,73,10,23,40,0,0
Van Zandt,4D,Straight Party,,,DEM,180,21,74,85,0,0
Van Zandt,4E,Straight Party,,,DEM,45,1,23,21,0,0
Van Zandt,Total,Straight Party,,,DEM,1434,,,,,
Van Zandt,1A,Straight Party,,,LIB,2,0,2,0,0,0
Van Zandt,1B,Straight Party,,,LIB,9,2,3,4,0,0
Van Zandt,1C,Straight Party,,,LIB,5,0,4,1,0,0
Van Zandt,1D,Straight Party,,,LIB,8,0,3,5,0,0
Van Zandt,1E,Straight Party,,,LIB,2,0,2,0,0,0
Van Zandt,2A,Straight Party,,,LIB,8,0,4,0,0,4
Van Zandt,2B,Straight Party,,,LIB,3,0,2,1,0,0
Van Zandt,2C,Straight Party,,,LIB,5,0,2,3,0,0
Van Zandt,2D,Straight Party,,,LIB,6,0,3,3,0,0
Van Zandt,3A,Straight Party,,,LIB,4,0,1,3,0,0
Van Zandt,3B,Straight Party,,,LIB,8,0,1,7,0,0
Van Zandt,3C,Straight Party,,,LIB,8,0,3,5,0,0
Van Zandt,3D,Straight Party,,,LIB,9,0,2,7,0,0
Van Zandt,4A,Straight Party,,,LIB,5,0,3,2,0,0
Van Zandt,4B,Straight Party,,,LIB,9,0,3,6,0,0
Van Zandt,4C,Straight Party,,,LIB,9,1,3,5,0,0
Van Zandt,4D,Straight Party,,,LIB,6,0,3,3,0,0
Van Zandt,4E,Straight Party,,,LIB,3,0,1,2,0,0
Van Zandt,Total,Straight Party,,,LIB,109,,,,,
Van Zandt,1A,Straight Party,,,GRN,1,0,0,1,0,0
Van Zandt,1B,Straight Party,,,GRN,4,0,2,2,0,0
Van Zandt,1C,Straight Party,,,GRN,0,0,0,0,0,0
Van Zandt,1D,Straight Party,,,GRN,1,0,0,1,0,0
Van Zandt,1E,Straight Party,,,GRN,0,0,0,0,0,0
Van Zandt,2A,Straight Party,,,GRN,5,0,3,0,0,2
Van Zandt,2B,Straight Party,,,GRN,1,0,1,0,0,0
Van Zandt,2C,Straight Party,,,GRN,1,0,0,1,0,0
Van Zandt,2D,Straight Party,,,GRN,2,1,1,0,0,0
Van Zandt,3A,Straight Party,,,GRN,0,0,0,0,0,0
Van Zandt,3B,Straight Party,,,GRN,1,0,0,1,0,0
Van Zandt,3C,Straight Party,,,GRN,3,0,1,2,0,0
Van Zandt,3D,Straight Party,,,GRN,0,0,0,0,0,0
Van Zandt,4A,Straight Party,,,GRN,0,0,0,0,0,0
Van Zandt,4B,Straight Party,,,GRN,2,0,0,2,0,0
Van Zandt,4C,Straight Party,,,GRN,1,0,0,1,0,0
Van Zandt,4D,Straight Party,,,GRN,4,0,0,4,0,0
Van Zandt,4E,Straight Party,,,GRN,1,0,0,1,0,0
Van Zandt,Total,Straight Party,,,GRN,27,,,,,
Van Zandt,1A,President,,Donald Trump,REP,866,54,592,220,0,0
Van Zandt,1B,President,,Donald Trump,REP,1466,75,592,796,3,0
Van Zandt,1C,President,,Donald Trump,REP,772,23,344,405,0,0
Van Zandt,1D,President,,Donald Trump,REP,715,26,275,414,0,0
Van Zandt,1E,President,,Donald Trump,REP,414,14,186,214,0,0
Van Zandt,2A,President,,Donald Trump,REP,1850,93,1339,0,0,418
Van Zandt,2B,President,,Donald Trump,REP,883,35,455,393,0,0
Van Zandt,2C,President,,Donald Trump,REP,1196,40,537,619,0,0
Van Zandt,2D,President,,Donald Trump,REP,996,44,631,321,0,0
Van Zandt,3A,President,,Donald Trump,REP,538,12,399,127,0,0
Van Zandt,3B,President,,Donald Trump,REP,749,30,356,363,0,0
