county,precinct,office,district,party,candidate,absentee,early_voting,election_day,votes,
Gregg,01,Registered Voters,,,,,,,1541,
Gregg,02,Registered Voters,,,,,,,3482,
Gregg,03,Registered Voters,,,,,,,3311,
Gregg,04,Registered Voters,,,,,,,2980,
Gregg,05,Registered Voters,,,,,,,3442,
Gregg,06,Registered Voters,,,,,,,2264,
Gregg,07,Registered Voters,,,,,,,3196,
Gregg,08,Registered Voters,,,,,,,4055,
Gregg,09,Registered Voters,,,,,,,3948,
Gregg,10,Registered Voters,,,,,,,4598,
Gregg,11,Registered Voters,,,,,,,4256,
Gregg,12,Registered Voters,,,,,,,4351,
Gregg,13,Registered Voters,,,,,,,3127,
Gregg,14,Registered Voters,,,,,,,4272,
Gregg,15,Registered Voters,,,,,,,1473,
Gregg,16,Registered Voters,,,,,,,4000,
Gregg,17,Registered Voters,,,,,,,931,
Gregg,18,Registered Voters,,,,,,,3063,
Gregg,19,Registered Voters,,,,,,,3771,
Gregg,20,Registered Voters,,,,,,,3479,
Gregg,21,Registered Voters,,,,,,,3293,
Gregg,Total,Registered Voters,,,,,,,68833,
Gregg,01,Ballots Cast,,,,,,,1070,
Gregg,02,Ballots Cast,,,,,,,2395,
Gregg,03,Ballots Cast,,,,,,,2152,
Gregg,04,Ballots Cast,,,,,,,2220,
Gregg,05,Ballots Cast,,,,,,,2356,
Gregg,06,Ballots Cast,,,,,,,1577,
Gregg,07,Ballots Cast,,,,,,,2023,
Gregg,08,Ballots Cast,,,,,,,2669,
Gregg,09,Ballots Cast,,,,,,,2770,
Gregg,10,Ballots Cast,,,,,,,2317,
Gregg,11,Ballots Cast,,,,,,,2709,
Gregg,12,Ballots Cast,,,,,,,2880,
Gregg,13,Ballots Cast,,,,,,,1713,
Gregg,14,Ballots Cast,,,,,,,3026,
Gregg,15,Ballots Cast,,,,,,,757,
Gregg,16,Ballots Cast,,,,,,,2530,
Gregg,17,Ballots Cast,,,,,,,454,
Gregg,18,Ballots Cast,,,,,,,2023,
Gregg,19,Ballots Cast,,,,,,,1834,
Gregg,20,Ballots Cast,,,,,,,1448,
Gregg,21,Ballots Cast,,,,,,,1435,
Gregg,Total,Ballots Cast,,,,,,,42358,
Gregg,01,Straight Party,,Republican,,48,391,64,503,
Gregg,02,Straight Party,,Republican,,181,834,133,1148,
Gregg,03,Straight Party,,Republican,,168,722,137,1027,
Gregg,04,Straight Party,,Republican,,89,812,169,1070,
Gregg,05,Straight Party,,Republican,,69,967,164,1200,
Gregg,06,Straight Party,,Republican,,45,634,150,829,
Gregg,07,Straight Party,,Republican,,49,770,193,1012,
Gregg,08,Straight Party,,Republican,,127,967,189,1283,
Gregg,09,Straight Party,,Republican,,143,951,168,1262,
Gregg,10,Straight Party,,Republican,,65,761,176,1002,
Gregg,11,Straight Party,,Republican,,131,1006,180,1317,
Gregg,12,Straight Party,,Republican,,83,1222,245,1550,
Gregg,13,Straight Party,,Republican,,40,605,180,825,
