county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day,provisional
Lamb,Olton Community Cente,Ballots Cast,,,,505,15,87,402,1
Lamb,Lamb County Ag Center,Ballots Cast,,,,257,10,147,100,0
Lamb,Earth Community Center,Ballots Cast,,,,378,19,54,304,1
Lamb,11 - Sudan Community Ce,Ballots Cast,,,,458,19,132,207,0
Lamb,Olton Community Center,Ballots Cast,,,,242,22,54,165,1
Lamb,Lamb County Ag Center,Ballots Cast,,,,167,17,90,60,0
Lamb,8 - Lamb County Ag Center,Ballots Cast,,,,1191,69,756,364,2
Lamb,Lamb County Ag Center,Ballots Cast,,,,460,36,282,140,2
Lamb,Amherst Community Cent,Ballots Cast,,,,246,12,87,147,0
Lamb,Springlake 1st Baptist,Ballots Cast,,,,119,4,35,79,1
Lamb,Total,Ballots Cast,,,,4023,223,1724,1968,8
Lamb,Olton Community Cente,Straight Party,,,REP,247,10,39,197,1
Lamb,Lamb County Ag Center,Straight Party,,,REP,83,2,52,29,0
Lamb,Earth Community Center,Straight Party,,,REP,196,16,19,161,0
Lamb,11 - Sudan Community Ce,Straight Party,,,REP,217,11,64,142,0
Lamb,Olton Community Center,Straight Party,,,REP,135,7,30,98,0
Lamb,Lamb County Ag Center,Straight Party,,,REP,67,8,40,19,0
Lamb,8 - Lamb County Ag Center,Straight Party,,,REP,542,34,344,163,1
Lamb,Lamb County Ag Center,Straight Party,,,REP,209,26,123,60,0
Lamb,Amherst Community Cent,Straight Party,,,REP,133,9,53,71,0
Lamb,Springlake 1st Baptist,Straight Party,,,REP,54,3,17,34,0
Lamb,Total,Straight Party,,,REP,1883,126,781,974,2
Lamb,Olton Community Cente,Straight Party,,,DEM,58,1,15,42,0
Lamb,Lamb County Ag Center,Straight Party,,,DEM,85,4,53,28,0
Lamb,Earth Community Center,Straight Party,,,DEM,35,1,8,26,0
Lamb,11 - Sudan Community Ce,Straight Party,,,DEM,28,0,8,20,0
Lamb,Olton Community Center,Straight Party,,,DEM,31,8,4,19,0
Lamb,Lamb County Ag Center,Straight Party,,,DEM,30,4,16,10,0
Lamb,8 - Lamb County Ag Center,Straight Party,,,DEM,121,11,68,42,0
Lamb,Lamb County Ag Center,Straight Party,,,DEM,59,2,33,23,1
Lamb,Amherst Community Cent,Straight Party,,,DEM,34,0,8,26,0
Lamb,Springlake 1st Baptist,Straight Party,,,DEM,0,0,2,3,0
Lamb,Total,Straight Party,,,DEM,481,31,215,239,1
Lamb,Olton Community Cente,Straight Party,,,LIB,1,0,0,1,0
Lamb,Lamb County Ag Center,Straight Party,,,LIB,3,1,1,1,0
Lamb,Earth Community Center,Straight Party,,,LIB,0,0,0,0,0
Lamb,11 - Sudan Community Ce,Straight Party,,,LIB,2,0,2,0,0
Lamb,Olton Community Center,Straight Party,,,LIB,0,0,0,0,0
Lamb,Lamb County Ag Center,Straight Party,,,LIB,2,0,0,2,0
Lamb,8 - Lamb County Ag Center,Straight Party,,,LIB,7,2,3,2,0
Lamb,Lamb County Ag Center,Straight Party,,,LIB,3,0,2,1,0
Lamb,Amherst Community Cent,Straight Party,,,LIB,1,0,0,1,0
Lamb,Springlake 1st Baptist,Straight Party,,,LIB,0,0,0,0,0
Lamb,Total,Straight Party,,,LIB,19,3,8,8,0
Lamb,Olton Community Cente,Straight Party,,,GRN,1,0,0,1,0
Lamb,Lamb County Ag Center,Straight Party,,,GRN,0,0,0,0,0
Lamb,Earth Community Center,Straight Party,,,GRN,0,0,0,0,0
Lamb,11 - Sudan Community Ce,Straight Party,,,GRN,0,0,0,0,0
Lamb,Olton Community Center,Straight Party,,,GRN,0,0,0,0,0
Lamb,Lamb County Ag Center,Straight Party,,,GRN,0,0,0,0,0
Lamb,8 - Lamb County Ag Center,Straight Party,,,GRN,0,0,0,0,0
Lamb,Lamb County Ag Center,Straight Party,,,GRN,2,0,1,1,0
Lamb,Amherst Community Cent,Straight Party,,,GRN,0,0,0,0,0
Lamb,Springlake 1st Baptist,Straight Party,,,GRN,0,0,0,0,0
Lamb,Total,Straight Party,,,GRN,3,0,1,2,0
