county,precinct,office,district,party,candidate,votes,early_voting,absentee,election_day,provisional
Lamar,1A3B,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2387,0,0,0,0
Lamar,1A5A,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1724,0,0,0,0
Lamar,001C,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,283,0,0,0,0
Lamar,001E,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,668,0,0,0,0
Lamar,001F,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1253,0,0,0,0
Lamar,001H,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,499,0,0,0,0
Lamar,001I,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,323,0,0,0,0
Lamar,2A1A,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1279,0,0,0,0
Lamar,2C3A,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,3298,0,0,0,0
Lamar,002D,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,654,0,0,0,0
Lamar,002E,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,546,0,0,0,0
Lamar,002F,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,189,0,0,0,0
Lamar,002G,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,575,0,0,0,0
Lamar,3C7G,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2842,0,0,0,0
Lamar,003D,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,746,0,0,0,0
Lamar,003E,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1060,0,0,0,0
Lamar,003F,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,442,0,0,0,0
Lamar,003G,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,538,0,0,0,0
Lamar,3H3C,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,797,0,0,0,0
Lamar,003I,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1198,0,0,0,0
Lamar,4A6E,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1343,0,0,0,0
Lamar,004B,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1616,0,0,0,0
Lamar,004D,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1349,0,0,0,0
Lamar,004E,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,936,0,0,0,0
Lamar,004F,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1649,0,0,0,0
Lamar,004G,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1624,0,0,0,0
Lamar,1A3B,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,971,494,76,401,0
Lamar,1A5A,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,368,162,35,169,2
Lamar,001C,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,148,55,11,82,0
Lamar,001E,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,293,71,14,208,0
Lamar,001F,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,552,156,33,363,0
Lamar,001H,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,249,80,13,156,0
Lamar,001I,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,182,56,7,118,1
Lamar,2A1A,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,233,77,19,137,0
Lamar,2C3A,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,659,229,50,380,0
Lamar,002D,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,249,54,12,183,0
Lamar,002E,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,238,82,13,143,0
