county,precinct,office,district,party,candidate,vote
Orange,1,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,166
Orange,2,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,648
Orange,3,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,621
Orange,4,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,211
Orange,5,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,917
Orange,6,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1089
Orange,7,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1151
Orange,8,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1401
Orange,9,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1215
Orange,10,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,456
Orange,11,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,356
Orange,12,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,675
Orange,13,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,772
Orange,14,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1029
Orange,15,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1103
Orange,16,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1497
Orange,17,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1126
Orange,18,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1254
Orange,19,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,965
Orange,20,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,806
Orange,21,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,179
Orange,22,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,738
Orange,23,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1636
Orange,24,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,914
Orange,25,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1033
Orange,26,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1355
Orange,27,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1231
Orange,28,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1906
Orange,29,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,677
Orange,30,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,617
Orange,31,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1461
Orange,32,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1198
Orange,33,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,882
Orange,34,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1009
Orange,1,Straight Party,,REP,Republican Party,79
Orange,2,Straight Party,,REP,Republican Party,145
Orange,3,Straight Party,,REP,Republican Party,73
Orange,4,Straight Party,,REP,Republican Party,0
Orange,5,Straight Party,,REP,Republican Party,252
Orange,6,Straight Party,,REP,Republican Party,547
Orange,7,Straight Party,,REP,Republican Party,452
Orange,8,Straight Party,,REP,Republican Party,695
Orange,9,Straight Party,,REP,Republican Party,601
Orange,10,Straight Party,,REP,Republican Party,220
Orange,11,Straight Party,,REP,Republican Party,160
Orange,12,Straight Party,,REP,Republican Party,330
Orange,13,Straight Party,,REP,Republican Party,287
Orange,14,Straight Party,,REP,Republican Party,397
Orange,15,Straight Party,,REP,Republican Party,558
