county,precinct,office,district,party,candidate,early_votes,election_day,provisional,votes
Bastrop,1001,Registered Voters,,,,,,,2749
Bastrop,1002,Registered Voters,,,,,,,2512
Bastrop,1003,Registered Voters,,,,,,,5487
Bastrop,1004,Registered Voters,,,,,,,2477
Bastrop,2005,Registered Voters,,,,,,,2711
Bastrop,2006,Registered Voters,,,,,,,1354
Bastrop,2007,Registered Voters,,,,,,,1979
Bastrop,2008,Registered Voters,,,,,,,944
Bastrop,2009,Registered Voters,,,,,,,1197
Bastrop,2010,Registered Voters,,,,,,,1273
Bastrop,2011,Registered Voters,,,,,,,2244
Bastrop,3012,Registered Voters,,,,,,,903
Bastrop,3013,Registered Voters,,,,,,,1455
Bastrop,3014,Registered Voters,,,,,,,2397
Bastrop,3015,Registered Voters,,,,,,,2446
Bastrop,3016,Registered Voters,,,,,,,2627
Bastrop,4017,Registered Voters,,,,,,,2493
Bastrop,4018,Registered Voters,,,,,,,597
Bastrop,4019,Registered Voters,,,,,,,2383
Bastrop,4020,Registered Voters,,,,,,,3528
Bastrop,4021,Registered Voters,,,,,,,1257
Bastrop,Total,Registered Voters,,,,,,,45013
Bastrop,1001,Ballots Cast,,,,,,,2012
Bastrop,1002,Ballots Cast,,,,,,,1525
Bastrop,1003,Ballots Cast,,,,,,,3763
Bastrop,1004,Ballots Cast,,,,,,,1296
Bastrop,2005,Ballots Cast,,,,,,,1747
Bastrop,2006,Ballots Cast,,,,,,,916
Bastrop,2007,Ballots Cast,,,,,,,1407
Bastrop,2008,Ballots Cast,,,,,,,683
Bastrop,2009,Ballots Cast,,,,,,,768
Bastrop,2010,Ballots Cast,,,,,,,850
Bastrop,2011,Ballots Cast,,,,,,,1527
Bastrop,3012,Ballots Cast,,,,,,,618
Bastrop,3013,Ballots Cast,,,,,,,1010
Bastrop,3014,Ballots Cast,,,,,,,1357
Bastrop,3015,Ballots Cast,,,,,,,1366
Bastrop,3016,Ballots Cast,,,,,,,1691
Bastrop,4017,Ballots Cast,,,,,,,1474
Bastrop,4018,Ballots Cast,,,,,,,424
Bastrop,4019,Ballots Cast,,,,,,,1559
Bastrop,4020,Ballots Cast,,,,,,,2057
Bastrop,4021,Ballots Cast,,,,,,,838
Bastrop,Total,Ballots Cast,,,,,,,28888
Bastrop,1001,Straight Party,,Republican,,400,101,0,501
Bastrop,1002,Straight Party,,Republican,,220,57,0,277
Bastrop,1003,Straight Party,,Republican,,765,176,2,943
Bastrop,1004,Straight Party,,Republican,,223,111,0,334
Bastrop,2005,Straight Party,,Republican,,316,63,0,379
Bastrop,2006,Straight Party,,Republican,,175,60,0,235
Bastrop,2007,Straight Party,,Republican,,285,111,2,398
Bastrop,2008,Straight Party,,Republican,,163,28,0,191
Bastrop,2009,Straight Party,,Republican,,166,53,0,219
Bastrop,2010,Straight Party,,Republican,,136,99,0,235
Bastrop,2011,Straight Party,,Republican,,283,97,0,380
Bastrop,3012,Straight Party,,Republican,,113,38,0,151
Bastrop,3013,Straight Party,,Republican,,119,83,0,202
Bastrop,3014,Straight Party,,Republican,,234,86,0,320
Bastrop,3015,Straight Party,,Republican,,202,71,1,274
Bastrop,3016,Straight Party,,Republican,,296,68,0,364
Bastrop,4017,Straight Party,,Republican,,244,60,0,304
Bastrop,4018,Straight Party,,Republican,,101,22,0,123
Bastrop,4019,Straight Party,,Republican,,293,95,1,389
Bastrop,4020,Straight Party,,Republican,,362,77,1,440
Bastrop,4021,Straight Party,,Republican,,152,87,1,240
Bastrop,Total,Straight Party,,Republican,,5248,1643,8,6899
Bastrop,1001,Straight Party,,Democratic,,211,55,0,266
Bastrop,1002,Straight Party,,Democratic,,310,71,0,381
Bastrop,1003,Straight Party,,Democratic,,546,110,1,657
Bastrop,1004,Straight Party,,Democratic,,192,97,1,290
Bastrop,2005,Straight Party,,Democratic,,256,71,0,327
Bastrop,2006,Straight Party,,Democratic,,90,38,1,129
Bastrop,2007,Straight Party,,Democratic,,102,49,1,152
Bastrop,2008,Straight Party,,Democratic,,61,10,0,71
Bastrop,2009,Straight Party,,Democratic,,104,18,0,122
Bastrop,2010,Straight Party,,Democratic,,71,27,0,98
Bastrop,2011,Straight Party,,Democratic,,190,54,0,244
Bastrop,3012,Straight Party,,Democratic,,47,16,0,63
Bastrop,3013,Straight Party,,Democratic,,84,59,1,144
Bastrop,3014,Straight Party,,Democratic,,223,89,0,312
Bastrop,3015,Straight Party,,Democratic,,308,111,3,422
Bastrop,3016,Straight Party,,Democratic,,257,94,1,352
Bastrop,4017,Straight Party,,Democratic,,320,104,1,425
Bastrop,4018,Straight Party,,Democratic,,48,13,0,61
Bastrop,4019,Straight Party,,Democratic,,195,74,0,269
Bastrop,4020,Straight Party,,Democratic,,497,155,1,653
Bastrop,4021,Straight Party,,Democratic,,76,46,0,122
Bastrop,Total,Straight Party,,Democratic,,4188,1361,11,5560
Bastrop,1001,Straight Party,,Libertarian,,9,6,0,15
Bastrop,1002,Straight Party,,Libertarian,,2,1,0,3
Bastrop,1003,Straight Party,,Libertarian,,5,6,0,11
Bastrop,1004,Straight Party,,Libertarian,,10,6,0,16
Bastrop,2005,Straight Party,,Libertarian,,4,3,0,7
Bastrop,2006,Straight Party,,Libertarian,,1,2,0,3
Bastrop,2007,Straight Party,,Libertarian,,6,2,0,8
Bastrop,2008,Straight Party,,Libertarian,,1,1,0,2
Bastrop,2009,Straight Party,,Libertarian,,3,0,0,3
Bastrop,2010,Straight Party,,Libertarian,,2,2,0,4
Bastrop,2011,Straight Party,,Libertarian,,7,3,0,10
Bastrop,3012,Straight Party,,Libertarian,,2,1,0,3
Bastrop,3013,Straight Party,,Libertarian,,2,0,0,2
Bastrop,3014,Straight Party,,Libertarian,,9,4,0,13
Bastrop,3015,Straight Party,,Libertarian,,6,6,0,12
Bastrop,3016,Straight Party,,Libertarian,,6,7,0,13
Bastrop,4017,Straight Party,,Libertarian,,6,5,0,11
Bastrop,4018,Straight Party,,Libertarian,,3,0,0,3
Bastrop,4019,Straight Party,,Libertarian,,6,4,0,10
Bastrop,4020,Straight Party,,Libertarian,,10,7,0,17
Bastrop,4021,Straight Party,,Libertarian,,3,2,0,5
Bastrop,Total,Straight Party,,Libertarian,,103,68,0,171
