county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day
Wharton,101,Registered Voters,,,,2413,,,
Wharton,102,Registered Voters,,,,2358,,,
Wharton,103,Registered Voters,,,,1992,,,
Wharton,201,Registered Voters,,,,2681,,,
Wharton,202,Registered Voters,,,,939,,,
Wharton,203,Registered Voters,,,,3186,,,
Wharton,301,Registered Voters,,,,2300,,,
Wharton,302,Registered Voters,,,,2229,,,
Wharton,303,Registered Voters,,,,2068,,,
Wharton,401,Registered Voters,,,,2668,,,
Wharton,402,Registered Voters,,,,1549,,,
Wharton,403,Registered Voters,,,,826,,,
Wharton,Total,Registered Voters,,,,25209,,,
Wharton,101,Ballots Cast,,,,1382,80,982,320
Wharton,102,Ballots Cast,,,,1580,108,1233,239
Wharton,103,Ballots Cast,,,,1186,66,673,447
Wharton,201,Ballots Cast,,,,1764,118,738,908
Wharton,202,Ballots Cast,,,,506,42,320,144
Wharton,203,Ballots Cast,,,,1666,164,1097,405
Wharton,301,Ballots Cast,,,,1577,68,1222,287
Wharton,302,Ballots Cast,,,,1358,69,1040,249
Wharton,303,Ballots Cast,,,,1359,72,931,356
Wharton,401,Ballots Cast,,,,1291,79,848,364
Wharton,402,Ballots Cast,,,,774,38,543,193
Wharton,403,Ballots Cast,,,,428,29,294,105
Wharton,Total,Ballots Cast,,,,,,,
Wharton,101,,,Straight Party,REP,349,25,250,74
Wharton,102,,,Straight Party,REP,396,33,317,46
Wharton,103,,,Straight Party,REP,334,20,192,122
Wharton,201,,,Straight Party,REP,707,41,283,383
Wharton,202,,,Straight Party,REP,66,5,46,15
Wharton,203,,,Straight Party,REP,260,21,167,72
Wharton,301,,,Straight Party,REP,772,35,606,131
Wharton,302,,,Straight Party,REP,578,32,456,90
Wharton,303,,,Straight Party,REP,640,38,443,159
Wharton,401,,,Straight Party,REP,387,27,280,80
Wharton,402,,,Straight Party,REP,275,16,204,55
Wharton,403,,,Straight Party,REP,117,5,83,29
Wharton,Total,,,Straight Party,REP,4881,,,
Wharton,101,,,Straight Party,DEM,310,18,186,106
Wharton,102,,,Straight Party,DEM,197,11,115,71
Wharton,103,,,Straight Party,DEM,178,11,89,78
Wharton,201,,,Straight Party,DEM,138,17,32,89
Wharton,202,,,Straight Party,DEM,263,24,152,87
Wharton,203,,,Straight Party,DEM,738,90,471,177
Wharton,301,,,Straight Party,DEM,92,7,67,18
Wharton,302,,,Straight Party,DEM,192,15,119,58
Wharton,303,,,Straight Party,DEM,71,3,33,35
Wharton,401,,,Straight Party,DEM,406,26,225,155
Wharton,402,,,Straight Party,DEM,130,12,70,48
Wharton,403,,,Straight Party,DEM,103,12,53,38
Wharton,Total,,,Straight Party,DEM,2818,,,
Wharton,101,,,Straight Party,LIB,8,0,3,5
Wharton,102,,,Straight Party,LIB,6,1,2,3
Wharton,103,,,Straight Party,LIB,4,0,2,2
Wharton,201,,,Straight Party,LIB,5,1,0,4
Wharton,202,,,Straight Party,LIB,0,0,0,0
Wharton,203,,,Straight Party,LIB,11,2,5,4
Wharton,301,,,Straight Party,LIB,5,0,2,3
Wharton,302,,,Straight Party,LIB,3,0,2,1
Wharton,303,,,Straight Party,LIB,2,0,2,0
Wharton,401,,,Straight Party,LIB,6,0,3,3
Wharton,402,,,Straight Party,LIB,4,0,2,2
Wharton,403,,,Straight Party,LIB,1,0,0,1
Wharton,Total,,,Straight Party,LIB,55,,,
Wharton,101,,,Straight Party,GRN,3,0,1,2
Wharton,102,,,Straight Party,GRN,1,0,1,0
Wharton,103,,,Straight Party,GRN,1,0,0,1
Wharton,201,,,Straight Party,GRN,2,0,0,2
Wharton,202,,,Straight Party,GRN,0,0,0,0
Wharton,203,,,Straight Party,GRN,7,2,3,2
Wharton,301,,,Straight Party,GRN,0,0,0,0
Wharton,302,,,Straight Party,GRN,1,0,1,0
Wharton,303,,,Straight Party,GRN,2,0,0,2
Wharton,401,,,Straight Party,GRN,2,0,2,0
Wharton,402,,,Straight Party,GRN,1,0,0,1
Wharton,403,,,Straight Party,GRN,1,0,0,1
Wharton,Total,,,Straight Party,GRN,21,,,
