county,precinct,office,district,candidate,party,early_votes,election_day,votes
Coleman,1,,,Straight Party,REP,412,132,544
Coleman,1,,,Straight Party,DEM,27,17,44
Coleman,1,,,Straight Party,LIB,1,2,3
Coleman,1,,,Straight Party,GRN,1,0,1
Coleman,1,President,,Donald J. Trump/Mike Pence,REP,607,201,808
Coleman,1,President,,Hillary Clinton/Tim Kaine,DEM,52,24,76
Coleman,1,President,,Gary Johnson/William Weld,LIB,5,2,7
Coleman,1,President,,Jill Stein/Ajamu Baraka,GRN,3,0,3
Coleman,1,President,,Evan McMullin/Nathan Johnson,,1,0,1
Coleman,1,U.S. House,11,Mike Conaway,REP,612,194,806
Coleman,1,U.S. House,11,Nicholas Landholt,LIB,19,11,30
Coleman,1,Railroad Commissioner,,Wayne Christian,REP,574,185,759
Coleman,1,Railroad Commissioner,,Grady Yarbrough,DEM,57,28,85
Coleman,1,Railroad Commissioner,,Mark Miller,LIB,15,9,24
Coleman,1,Railroad Commissioner,,Martina Salinas,GRN,9,1,10
Coleman,1,"Justice, Supreme Court, Place 3",,Debra Lehrmann,REP,583,185,768
Coleman,1,"Justice, Supreme Court, Place 3",,Mike Westergren,DEM,50,24,74
Coleman,1,"Justice, Supreme Court, Place 3",,Kathie Glass,LIB,10,8,18
Coleman,1,"Justice, Supreme Court, Place 3",,Rodolfo Rivera Munoz,GRN,6,2,8
Coleman,1,"Justice, Supreme Court, Place 5",,Paul Green,REP,584,189,773
Coleman,1,"Justice, Supreme Court, Place 5",,Dori Contreras Garza,DEM,46,22,68
Coleman,1,"Justice, Supreme Court, Place 5",,Tom Oxford,LIB,11,9,20
Coleman,1,"Justice, Supreme Court, Place 5",,Charles E. Waterbury,GRN,5,0,5
Coleman,1,"Justice, Supreme Court, Place 9",,Eva Guzman,REP,577,187,764
Coleman,1,"Justice, Supreme Court, Place 9",,Savannah Robinson,DEM,44,21,65
Coleman,1,"Justice, Supreme Court, Place 9",,Don Fulton,LIB,14,9,23
Coleman,1,"Justice, Supreme Court, Place 9",,Jim Chisholm,GRN,6,2,8
Coleman,1,"Judge, Court of Criminal Appeals, Place 2",,Mary Lou Keel,REP,583,187,770
