county,precinct,office,district,candidate,party,votes,early_voting_ivo,early_voting_paper,election_day,provisional
Williamson,119,Registered Voters,,,,"3,683",,,,
Williamson,122,Registered Voters,,,,"2,605",,,,
Williamson,135,Registered Voters,,,,"3,444",,,,
Williamson,138,Registered Voters,,,,"4,116",,,,
Williamson,140,Registered Voters,,,,"1,968",,,,
Williamson,145,Registered Voters,,,,"3,095",,,,
Williamson,146,Registered Voters,,,,"5,014",,,,
Williamson,147,Registered Voters,,,,"3,432",,,,
Williamson,149,Registered Voters,,,,"2,300",,,,
Williamson,150,Registered Voters,,,,"2,733",,,,
Williamson,151,Registered Voters,,,,"2,682",,,,
Williamson,152,Registered Voters,,,,"2,932",,,,
Williamson,160,Registered Voters,,,,"4,604",,,,
Williamson,162,Registered Voters,,,,"2,990",,,,
Williamson,172,Registered Voters,,,,"2,185",,,,
Williamson,182,Registered Voters,,,,"3,844",,,,
Williamson,185,Registered Voters,,,,"1,660",,,,
Williamson,186,Registered Voters,,,,"2,691",,,,
Williamson,189,Registered Voters,,,,"2,824",,,,
Williamson,190,Registered Voters,,,,"4,714",,,,
Williamson,197,Registered Voters,,,,"2,690",,,,
Williamson,198,Registered Voters,,,,"4,002",,,,
Williamson,201,Registered Voters,,,,"5,820",,,,
Williamson,204,Registered Voters,,,,"5,271",,,,
Williamson,206,Registered Voters,,,,"2,948",,,,
Williamson,207,Registered Voters,,,,"5,027",,,,
Williamson,216,Registered Voters,,,,"2,507",,,,
Williamson,218,Registered Voters,,,,"3,209",,,,
Williamson,253,Registered Voters,,,,"5,819",,,,
Williamson,254,Registered Voters,,,,"3,521",,,,
Williamson,259,Registered Voters,,,,"5,711",,,,
Williamson,264,Registered Voters,,,,"4,392",,,,
Williamson,266,Registered Voters,,,,"4,026",,,,
Williamson,267,Registered Voters,,,,"2,525",,,,
Williamson,273,Registered Voters,,,,"2,560",,,,
Williamson,274,Registered Voters,,,,"4,595",,,,
Williamson,275,Registered Voters,,,,"3,106",,,,
Williamson,277,Registered Voters,,,,"5,050",,,,
Williamson,278,Registered Voters,,,,"5,570",,,,
Williamson,283,Registered Voters,,,,"4,779",,,,
Williamson,287,Registered Voters,,,,"4,976",,,,
Williamson,305,Registered Voters,,,,"2,741",,,,
Williamson,309,Registered Voters,,,,"1,326",,,,
Williamson,310,Registered Voters,,,,"1,749",,,,
Williamson,311,Registered Voters,,,,"1,922",,,,
Williamson,312,Registered Voters,,,,"3,791",,,,
Williamson,314,Registered Voters,,,,"3,381",,,,
Williamson,330,Registered Voters,,,,"4,131",,,,
Williamson,331,Registered Voters,,,,"3,326",,,,
Williamson,332,Registered Voters,,,,"3,553",,,,
Williamson,333,Registered Voters,,,,"3,811",,,,
Williamson,337,Registered Voters,,,,"4,538",,,,
Williamson,339,Registered Voters,,,,"2,688",,,,
Williamson,341,Registered Voters,,,,"2,129",,,,
Williamson,343,Registered Voters,,,,"1,209",,,,
Williamson,344,Registered Voters,,,,"5,047",,,,
Williamson,368,Registered Voters,,,,"2,777",,,,
Williamson,369,Registered Voters,,,,"2,773",,,,
Williamson,370,Registered Voters,,,,"3,502",,,,
Williamson,371,Registered Voters,,,,"4,761",,,,
Williamson,379,Registered Voters,,,,"2,541",,,,
Williamson,381,Registered Voters,,,,"4,660",,,,
Williamson,382,Registered Voters,,,,"3,405",,,,
Williamson,392,Registered Voters,,,,"4,491",,,,
Williamson,394,Registered Voters,,,,"6,027",,,,
Williamson,395,Registered Voters,,,,"2,805",,,,
Williamson,396,Registered Voters,,,,"3,560",,,,
Williamson,402,Registered Voters,,,,"5,064",,,,
Williamson,403,Registered Voters,,,,"2,421",,,,
Williamson,413,Registered Voters,,,,559,,,,
Williamson,415,Registered Voters,,,,"1,794",,,,
Williamson,420,Registered Voters,,,,"4,755",,,,
Williamson,423,Registered Voters,,,,"3,939",,,,
Williamson,424,Registered Voters,,,,"6,763",,,,
Williamson,425,Registered Voters,,,,683,,,,
Williamson,426,Registered Voters,,,,"1,914",,,,
Williamson,427,Registered Voters,,,,"2,631",,,,
Williamson,428,Registered Voters,,,,"2,680",,,,
Williamson,429,Registered Voters,,,,"1,580",,,,
Williamson,434,Registered Voters,,,,"2,889",,,,
Williamson,436,Registered Voters,,,,803,,,,
Williamson,455,Registered Voters,,,,"2,690",,,,
Williamson,456,Registered Voters,,,,"1,873",,,,
Williamson,463,Registered Voters,,,,"5,134",,,,
Williamson,480,Registered Voters,,,,"4,982",,,,
Williamson,484,Registered Voters,,,,"4,709",,,,
Williamson,488,Registered Voters,,,,"5,477",,,,
Williamson,491,Registered Voters,,,,"5,207",,,,
Williamson,Total,Registered Voters,,,,"306,811",,,,
Williamson,119,Ballots Cast,,,,"2,347","1,772",96,475,4
Williamson,122,Ballots Cast,,,,"1,863","1,443",140,274,6
Williamson,135,Ballots Cast,,,,"1,871","1,301",82,482,6
Williamson,138,Ballots Cast,,,,"2,779","2,169",124,479,7
Williamson,140,Ballots Cast,,,,"1,413","1,144",60,205,4
Williamson,145,Ballots Cast,,,,"1,614","1,116",66,427,5
Williamson,146,Ballots Cast,,,,"3,285","2,451",148,675,11
Williamson,147,Ballots Cast,,,,"2,163","1,534",127,495,7
Williamson,149,Ballots Cast,,,,"1,354",995,71,285,3
Williamson,150,Ballots Cast,,,,"1,388",939,80,363,6
Williamson,151,Ballots Cast,,,,"1,749","1,212",100,428,9
Williamson,152,Ballots Cast,,,,"1,536","1,009",67,455,5
Williamson,160,Ballots Cast,,,,"3,064","2,516",94,449,5
Williamson,162,Ballots Cast,,,,"1,807","1,264",99,437,7
Williamson,172,Ballots Cast,,,,"1,615","1,241",95,277,2
Williamson,182,Ballots Cast,,,,"2,887","2,308",101,476,2
Williamson,185,Ballots Cast,,,,"1,127",834,63,225,5
Williamson,186,Ballots Cast,,,,"1,851","1,331",88,422,10
Williamson,189,Ballots Cast,,,,"2,034","1,478",85,467,4
Williamson,190,Ballots Cast,,,,"3,500","2,789",185,521,5
Williamson,197,Ballots Cast,,,,"1,940","1,567",78,290,5
Williamson,198,Ballots Cast,,,,"2,805","2,305",123,371,6
Williamson,201,Ballots Cast,,,,"4,255","3,333",165,746,11
Williamson,204,Ballots Cast,,,,"3,670","2,834",150,678,8
Williamson,206,Ballots Cast,,,,"1,958","1,360",116,480,2
Williamson,207,Ballots Cast,,,,"3,480","2,425",169,881,5
