county,precinct,office,district,candidate,party,early_votes,election_day,votes
Maverick,1A,Registered Voters,,,,0,0,0
Maverick,1B,Registered Voters,,,,0,0,0
Maverick,1C,Registered Voters,,,,0,0,0
Maverick,2A,Registered Voters,,,,0,0,0
Maverick,2B,Registered Voters,,,,0,0,0
Maverick,2C,Registered Voters,,,,0,0,0
Maverick,2D,Registered Voters,,,,0,0,0
Maverick,3A,Registered Voters,,,,0,0,0
Maverick,3B,Registered Voters,,,,0,0,0
Maverick,3C,Registered Voters,,,,0,0,0
Maverick,4A,Registered Voters,,,,0,0,0
Maverick,4B,Registered Voters,,,,0,0,0
Maverick,4C,Registered Voters,,,,0,0,0
Maverick,4D,Registered Voters,,,,0,0,0
Maverick,Total,Registered Voters,,,,0,0,0
Maverick,1A,Ballots Cast,,,,278,109,387
Maverick,1B,Ballots Cast,,,,795,439,1234
Maverick,1C,Ballots Cast,,,,1431,668,2099
Maverick,2A,Ballots Cast,,,,272,115,387
Maverick,2B,Ballots Cast,,,,1066,458,1524
Maverick,2C,Ballots Cast,,,,491,447,938
Maverick,2D,Ballots Cast,,,,36,56,92
Maverick,3A,Ballots Cast,,,,1166,402,1568
Maverick,3B,Ballots Cast,,,,1232,702,1934
Maverick,3C,Ballots Cast,,,,109,232,341
Maverick,4A,Ballots Cast,,,,355,130,485
Maverick,4B,Ballots Cast,,,,996,437,1433
Maverick,4C,Ballots Cast,,,,390,185,575
Maverick,4D,Ballots Cast,,,,645,394,1039
Maverick,Total,Ballots Cast,,,,9262,4774,14036
Maverick,1A,Straight Party,,,REP,16,11,27
Maverick,1B,Straight Party,,,REP,79,73,152
Maverick,1C,Straight Party,,,REP,135,64,199
Maverick,2A,Straight Party,,,REP,13,7,20
Maverick,2B,Straight Party,,,REP,88,46,134
Maverick,2C,Straight Party,,,REP,40,36,76
Maverick,2D,Straight Party,,,REP,9,9,18
Maverick,3A,Straight Party,,,REP,93,47,140
Maverick,3B,Straight Party,,,REP,132,73,205
Maverick,3C,Straight Party,,,REP,39,24,63
Maverick,4A,Straight Party,,,REP,11,10,21
Maverick,4B,Straight Party,,,REP,111,53,164
Maverick,4C,Straight Party,,,REP,31,11,42
Maverick,4D,Straight Party,,,REP,48,39,87
Maverick,Total,Straight Party,,,REP,845,503,1348
Maverick,1A,Straight Party,,,DEM,140,54,194
Maverick,1B,Straight Party,,,DEM,347,159,506
Maverick,1C,Straight Party,,,DEM,701,345,1046
Maverick,2A,Straight Party,,,DEM,146,63,209
Maverick,2B,Straight Party,,,DEM,492,224,716
Maverick,2C,Straight Party,,,DEM,270,245,515
Maverick,2D,Straight Party,,,DEM,13,18,31
Maverick,3A,Straight Party,,,DEM,532,153,685
Maverick,3B,Straight Party,,,DEM,611,301,912
Maverick,3C,Straight Party,,,DEM,22,67,89
Maverick,4A,Straight Party,,,DEM,191,55,246
Maverick,4B,Straight Party,,,DEM,390,191,581
Maverick,4C,Straight Party,,,DEM,178,82,260
Maverick,4D,Straight Party,,,DEM,376,214,590
Maverick,Total,Straight Party,,,DEM,4409,2171,6580
Maverick,1A,Straight Party,,,LIB,2,4,6
Maverick,1B,Straight Party,,,LIB,4,3,7
Maverick,1C,Straight Party,,,LIB,16,14,30
Maverick,2A,Straight Party,,,LIB,4,0,4
Maverick,2B,Straight Party,,,LIB,13,8,21
Maverick,2C,Straight Party,,,LIB,7,11,18
Maverick,2D,Straight Party,,,LIB,0,0,0
Maverick,3A,Straight Party,,,LIB,9,5,14
Maverick,3B,Straight Party,,,LIB,5,9,14
Maverick,3C,Straight Party,,,LIB,0,4,4
Maverick,4A,Straight Party,,,LIB,3,1,4
Maverick,4B,Straight Party,,,LIB,4,1,5
Maverick,4C,Straight Party,,,LIB,6,7,13
Maverick,4D,Straight Party,,,LIB,8,10,18
Maverick,Total,Straight Party,,,LIB,81,77,158
Maverick,1A,Straight Party,,,GRN,2,2,4
Maverick,1B,Straight Party,,,GRN,3,1,4
Maverick,1C,Straight Party,,,GRN,6,4,10
Maverick,2A,Straight Party,,,GRN,3,0,3
Maverick,2B,Straight Party,,,GRN,3,3,6
Maverick,2C,Straight Party,,,GRN,6,9,15
Maverick,2D,Straight Party,,,GRN,0,0,0
Maverick,3A,Straight Party,,,GRN,3,2,5
Maverick,3B,Straight Party,,,GRN,4,5,9
Maverick,3C,Straight Party,,,GRN,0,2,2
Maverick,4A,Straight Party,,,GRN,1,2,3
Maverick,4B,Straight Party,,,GRN,3,4,7
Maverick,4C,Straight Party,,,GRN,1,1,2
Maverick,4D,Straight Party,,,GRN,11,5,16
Maverick,Total,Straight Party,,,GRN,46,40,86
Maverick,1A,Straight Party,,Over Votes,,160,0,160
