county,precinct,office,district,candidate,party,votes,early_voting,election_day
Stonewall,1,Ballots Cast,,,,90,77,167
Stonewall,2,Ballots Cast,,,,100,94,194
Stonewall,3,Ballots Cast,,,,86,73,159
Stonewall,4,Ballots Cast,,,,100,89,189
Stonewall,Total,Ballots Cast,,,,376,333,709
Stonewall,1,Straight Party,,,REP,26,21,47
Stonewall,2,Straight Party,,,REP,20,19,39
Stonewall,3,Straight Party,,,REP,22,15,37
Stonewall,4,Straight Party,,,REP,16,21,37
Stonewall,Total,Straight Party,,,REP,84,76,160
Stonewall,1,Straight Party,,,DEM,4,2,6
Stonewall,2,Straight Party,,,DEM,12,3,15
Stonewall,3,Straight Party,,,DEM,1,2,3
Stonewall,4,Straight Party,,,DEM,6,7,13
Stonewall,Total,Straight Party,,,DEM,23,14,37
Stonewall,1,Straight Party,,,LIB,1,0,1
Stonewall,2,Straight Party,,,LIB,0,0,0
Stonewall,3,Straight Party,,,LIB,0,0,0
Stonewall,4,Straight Party,,,LIB,0,0,0
Stonewall,Total,Straight Party,,,LIB,1,0,1
Stonewall,1,Straight Party,,,GRN,0,0,0
Stonewall,2,Straight Party,,,GRN,0,0,0
Stonewall,3,Straight Party,,,GRN,0,0,0
Stonewall,4,Straight Party,,,GRN,0,0,0
Stonewall,Total,Straight Party,,,GRN,0,0,0
Stonewall,1,President,,Donald Trump,REP,74,71,145
Stonewall,2,President,,Donald Trump,REP,70,79,149
Stonewall,3,President,,Donald Trump,REP,77,55,132
Stonewall,4,President,,Donald Trump,REP,70,59,129
Stonewall,Total,President,,Donald Trump,REP,291,264,555
Stonewall,1,President,,Hillary Clinton,DEM,14,5,19
Stonewall,2,President,,Hillary Clinton,DEM,24,12,36
Stonewall,3,President,,Hillary Clinton,DEM,7,16,23
Stonewall,4,President,,Hillary Clinton,DEM,28,29,57
Stonewall,Total,President,,Hillary Clinton,DEM,73,62,135
Stonewall,1,President,,Gary Johnson,LIB,1,0,1
Stonewall,2,President,,Gary Johnson,LIB,3,2,5
Stonewall,3,President,,Gary Johnson,LIB,2,0,2
Stonewall,4,President,,Gary Johnson,LIB,1,1,2
Stonewall,Total,President,,Gary Johnson,LIB,7,3,10
Stonewall,1,President,,Jill Stein,GRN,0,0,0
Stonewall,2,President,,Jill Stein,GRN,0,1,1
