county,precinct,office,district,party,candidate,votes,absentee,early_voting_paper,early_voting_dre,election_day_paper,election_day_dre
Hill,0002,Registered Voters - Total,,,,1104,,,,,
Hill,0002,Ballots Cast - Total,,REP,,497,21,101,116,168,91
Hill,0002,Ballots Cast - Total,,DEM,,52,2,10,7,20,13
Hill,0002,President,,REP,Ted Cruz,216,10,46,43,77,40
Hill,0002,President,,REP,Jeb Bush,15,2,4,3,5,1
Hill,0002,President,,REP,Donald J. Trump,154,4,28,39,55,28
Hill,0002,President,,REP,Ben Carson,16,1,2,3,4,6
Hill,0002,President,,REP,Rand Paul,0,0,0,0,0,0
Hill,0002,President,,REP,Rick Santorum,1,0,0,1,0,0
Hill,0002,President,,REP,Elizabeth Gray,4,0,0,1,1,2
Hill,0002,President,,REP,Carly Fiorina,0,0,0,0,0,0
Hill,0002,President,,REP,Lindsey Graham,1,0,0,0,0,1
Hill,0002,President,,REP,Marco Rubio,49,2,9,15,13,10
Hill,0002,President,,REP,John R. Kasich,18,1,6,4,7,0
Hill,0002,President,,REP,Mike Huckabee,2,0,1,0,1,0
Hill,0002,President,,REP,Chris Christie,3,0,0,1,0,2
Hill,0002,President,,REP,Uncommitted,13,1,4,4,4,0
Hill,0002,President,,REP,Over Votes,0,0,0,0,0,0
Hill,0002,President,,REP,Under Votes,5,0,1,2,1,1
Hill,0002,U.S. House,25,REP,Roger Williams,360,16,77,80,125,62
Hill,0002,U.S. House,25,REP,Over Votes,0,0,0,0,0,0
Hill,0002,U.S. House,25,REP,Under Votes,137,5,24,36,43,29
Hill,0002,Railroad Commissioner,,REP,Gary Gates,131,7,34,28,45,17
Hill,0002,Railroad Commissioner,,REP,Lance N. Christian,42,0,7,11,15,9
Hill,0002,Railroad Commissioner,,REP,Weston Martinez,29,0,4,5,8,12
Hill,0002,Railroad Commissioner,,REP,Wayne Christian,82,6,17,18,28,13
Hill,0002,Railroad Commissioner,,REP,Ron Hale,40,1,6,11,12,10
Hill,0002,Railroad Commissioner,,REP,Doug Jeffrey,34,0,6,8,13,7
Hill,0002,Railroad Commissioner,,REP,John Greytok,14,1,2,6,5,0
Hill,0002,Railroad Commissioner,,REP,Over Votes,0,0,0,0,0,0
Hill,0002,Railroad Commissioner,,REP,Under Votes,125,6,25,29,42,23
Hill,0002,"Justice, Supreme Court, Place 3",,REP,Michael Massengale,195,7,38,44,67,39
Hill,0002,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,189,11,40,45,60,33
Hill,0002,"Justice, Supreme Court, Place 3",,REP,Over Votes,0,0,0,0,0,0
Hill,0002,"Justice, Supreme Court, Place 3",,REP,Under Votes,113,3,23,27,41,19
Hill,0002,"Justice, Supreme Court, Place 5",,REP,Paul Green,211,5,49,48,71,38
Hill,0002,"Justice, Supreme Court, Place 5",,REP,Rick Green,160,10,26,42,50,32
Hill,0002,"Justice, Supreme Court, Place 5",,REP,Over Votes,0,0,0,0,0,0
Hill,0002,"Justice, Supreme Court, Place 5",,REP,Under Votes,126,6,26,26,47,21
Hill,0002,"Justice, Supreme Court, Place 9",,REP,Joe Pool,189,4,37,47,65,36
Hill,0002,"Justice, Supreme Court, Place 9",,REP,Eva Guzman,199,13,42,41,65,38
Hill,0002,"Justice, Supreme Court, Place 9",,REP,Over Votes,0,0,0,0,0,0
Hill,0002,"Justice, Supreme Court, Place 9",,REP,Under Votes,109,4,22,28,38,17
Hill,0002,"Judge, Court of Criminal Appeals, Place 2",,REP,Chris Oldner,112,1,24,32,36,19
Hill,0002,"Judge, Court of Criminal Appeals, Place 2",,REP,Ray Wheless,103,3,21,17,40,22
Hill,0002,"Judge, Court of Criminal Appeals, Place 2",,REP,Mary Lou Keel,150,12,30,36,44,28
Hill,0002,"Judge, Court of Criminal Appeals, Place 2",,REP,Over Votes,0,0,0,0,0,0
Hill,0002,"Judge, Court of Criminal Appeals, Place 2",,REP,Under Votes,132,5,26,31,48,22
Hill,0002,"Judge, Court of Criminal Appeals, Place 5",,REP,Sid Harle,76,6,16,15,26,13
Hill,0002,"Judge, Court of Criminal Appeals, Place 5",,REP,Brent Webster,63,3,14,10,26,10
Hill,0002,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,120,1,22,31,38,28
Hill,0002,"Judge, Court of Criminal Appeals, Place 5",,REP,Steve Smith,117,6,23,32,34,22
Hill,0002,"Judge, Court of Criminal Appeals, Place 5",,REP,Over Votes,0,0,0,0,0,0
Hill,0002,"Judge, Court of Criminal Appeals, Place 5",,REP,Under Votes,121,5,26,28,44,18
Hill,0002,"Judge, Court of Criminal Appeals, Place 6",,REP,Richard Davis,190,3,36,41,61,49
Hill,0002,"Judge, Court of Criminal Appeals, Place 6",,REP,Michael E. Keasler,163,11,34,43,57,18
Hill,0002,"Judge, Court of Criminal Appeals, Place 6",,REP,Over Votes,0,0,0,0,0,0
Hill,0002,"Judge, Court of Criminal Appeals, Place 6",,REP,Under Votes,144,7,31,32,50,24
Hill,0002,"Member, State Board of Education, District 14",,REP,Sue Melton-Malone,354,18,71,84,113,68
Hill,0002,"Member, State Board of Education, District 14",,REP,Over Votes,0,0,0,0,0,0
Hill,0002,"Member, State Board of Education, District 14",,REP,Under Votes,143,3,30,32,55,23
Hill,0002,State Senator,22,REP,Brian Birdwell,385,19,79,87,126,74
Hill,0002,State Senator,22,REP,Over Votes,0,0,0,0,0,0
Hill,0002,State Senator,22,REP,Under Votes,112,2,22,29,42,17
Hill,0002,State Representative,8,REP,Thomas McNutt,207,11,41,43,78,34
Hill,0002,State Representative,8,REP,Byron Cook,262,10,53,69,80,50
Hill,0002,State Representative,8,REP,Over Votes,0,0,0,0,0,0
Hill,0002,State Representative,8,REP,Under Votes,28,0,7,4,10,7
Hill,0002,"Justice, 10th Court of Appeals District, Place 3",,REP,Al Scoggins,323,14,67,77,100,65
Hill,0002,"Justice, 10th Court of Appeals District, Place 3",,REP,Over Votes,0,0,0,0,0,0
Hill,0002,"Justice, 10th Court of Appeals District, Place 3",,REP,Under Votes,174,7,34,39,68,26
Hill,0002,"District Attorney, 66th Judicial District",,REP,Mark F Pratt,411,16,88,96,137,74
Hill,0002,"District Attorney, 66th Judicial District",,REP,Over Votes,0,0,0,0,0,0
Hill,0002,"District Attorney, 66th Judicial District",,REP,Under Votes,86,5,13,20,31,17
Hill,0002,County Attorney,,REP,R David Holmes,378,16,76,91,120,75
Hill,0002,County Attorney,,REP,Over Votes,0,0,0,0,0,0
Hill,0002,County Attorney,,REP,Under Votes,119,5,25,25,48,16
Hill,0002,Sheriff,,REP,Jimmy Johnson,98,5,23,31,27,12
Hill,0002,Sheriff,,REP,Dedri Hafer,16,0,1,5,2,8
Hill,0002,Sheriff,,REP,Rodney Watson,282,12,62,50,108,50
Hill,0002,Sheriff,,REP,Kyle R Cox,33,0,3,14,7,9
Hill,0002,Sheriff,,REP,Ronnie Myers,54,4,11,12,19,8
Hill,0002,Sheriff,,REP,Over Votes,0,0,0,0,0,0
Hill,0002,Sheriff,,REP,Under Votes,14,0,1,4,5,4
Hill,0002,Tax Assessor-Collector,,REP,Ray Mabry,215,4,40,54,70,47
Hill,0002,Tax Assessor-Collector,,REP,Krissi Hightower,222,15,52,45,77,33
Hill,0002,Tax Assessor-Collector,,REP,Over Votes,0,0,0,0,0,0
Hill,0002,Tax Assessor-Collector,,REP,Under Votes,60,2,9,17,21,11
Hill,0002,"Constable, Precinct No. 2",,REP,Justin Girsh,288,14,62,64,105,43
Hill,0002,"Constable, Precinct No. 2",,REP,Curtis R Jones,118,3,21,30,34,30
Hill,0002,"Constable, Precinct No. 2",,REP,Over Votes,0,0,0,0,0,0
Hill,0002,"Constable, Precinct No. 2",,REP,Under Votes,91,4,18,22,29,18
Hill,0002,County Chairman,,REP,Will Orr,378,17,78,83,126,74
Hill,0002,County Chairman,,REP,Over Votes,0,0,0,0,0,0
Hill,0002,County Chairman,,REP,Under Votes,119,4,23,33,42,17
Hill,0002,President,,DEM,Bernie Sanders,16,0,4,1,6,5
Hill,0002,President,,DEM,Star Locke,0,0,0,0,0,0
Hill,0002,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0,0,0,0
Hill,0002,President,,DEM,Willie L. Wilson,0,0,0,0,0,0
Hill,0002,President,,DEM,Calvis L. Hawes,0,0,0,0,0,0
Hill,0002,President,,DEM,Hillary Clinton,36,2,6,6,14,8
Hill,0002,President,,DEM,Keith Judd,0,0,0,0,0,0
Hill,0002,President,,DEM,Martin J. O'Malley,0,0,0,0,0,0
Hill,0002,President,,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,President,,DEM,Under Votes,0,0,0,0,0,0
Hill,0002,U.S. House,25,DEM,Kathi Thomas,41,2,9,5,15,10
Hill,0002,U.S. House,25,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,U.S. House,25,DEM,Under Votes,11,0,1,2,5,3
Hill,0002,Railroad Commissioner,,DEM,Cody Garrett,11,0,1,2,2,6
Hill,0002,Railroad Commissioner,,DEM,Lon Burnam,19,2,5,1,8,3
Hill,0002,Railroad Commissioner,,DEM,Grady Yarbrough,13,0,2,3,5,3
Hill,0002,Railroad Commissioner,,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,Railroad Commissioner,,DEM,Under Votes,9,0,2,1,5,1
Hill,0002,"Justice, Supreme Court, Place 3",,DEM,Mike Westergren,37,2,7,5,14,9
Hill,0002,"Justice, Supreme Court, Place 3",,DEM,Over Votes,0,0,0,0,0,0
Hill,0002,"Justice, Supreme Court, Place 3",,DEM,Under Votes,15,0,3,2,6,4
Hill,0002,"Justice, Supreme Court, Place 5",,DEM,Dori Contreras Garza,38,2,7,5,14,10
Hill,0002,"Justice, Supreme Court, Place 5",,DEM,Over Votes,0,0,0,0,0,0
