county,precinct,office,district,party,candidate,election_day,early_voting,votes
Baylor,1,,,,Ballots Cast,144,,144
Baylor,2,,,,Ballots Cast,141,,141
Baylor,3,,,,Ballots Cast,111,,111
Baylor,4,,,,Ballots Cast,136,,136
Baylor,Total,,,,Ballots Cast,532,981,1513
Baylor,1,,,Republican,Straight Party,45,,45
Baylor,2,,,Republican,Straight Party,51,,51
Baylor,3,,,Republican,Straight Party,38,,38
Baylor,4,,,Republican,Straight Party,47,,47
Baylor,Total,,,Republican,Straight Party,181,419,600
Baylor,1,,,Democratic,Straight Party,8,,8
Baylor,2,,,Democratic,Straight Party,15,,15
Baylor,3,,,Democratic,Straight Party,18,,18
Baylor,4,,,Democratic,Straight Party,9,,9
Baylor,Total,,,Democratic,Straight Party,50,64,114
Baylor,1,,,Libertarian,Straight Party,1,,1
Baylor,2,,,Libertarian,Straight Party,1,,1
Baylor,3,,,Libertarian,Straight Party,0,,0
Baylor,4,,,Libertarian,Straight Party,3,,3
Baylor,Total,,,Libertarian,Straight Party,5,0,5
Baylor,1,,,Green,Straight Party,0,,0
Baylor,2,,,Green,Straight Party,0,,0
Baylor,3,,,Green,Straight Party,1,,1
Baylor,4,,,Green,Straight Party,0,,0
Baylor,Total,,,Green,Straight Party,1,1,2
Baylor,1,President,,Republican,Donald J. Trump,123,,123
Baylor,2,President,,Republican,Donald J. Trump,106,,106
Baylor,3,President,,Republican,Donald J. Trump,87,,87
Baylor,4,President,,Republican,Donald J. Trump,115,,115
Baylor,Total,President,,Republican,Donald J. Trump,431,836,1267
Baylor,1,President,,Democratic,Hillary Clinton,13,,13
Baylor,2,President,,Democratic,Hillary Clinton,24,,24
Baylor,3,President,,Democratic,Hillary Clinton,19,,19
Baylor,4,President,,Democratic,Hillary Clinton,17,,17
Baylor,Total,President,,Democratic,Hillary Clinton,73,118,191
Baylor,1,President,,Libertarian,Gary Johnson,5,,5
Baylor,2,President,,Libertarian,Gary Johnson,5,,5
Baylor,3,President,,Libertarian,Gary Johnson,3,,3
Baylor,4,President,,Libertarian,Gary Johnson,4,,4
Baylor,Total,President,,Libertarian,Gary Johnson,17,14,31
Baylor,1,President,,Green,Jill Stein,0,,0
Baylor,2,President,,Green,Jill Stein,0,,0
Baylor,3,President,,Green,Jill Stein,1,,1
Baylor,4,President,,Green,Jill Stein,0,,0
Baylor,Total,President,,Green,Jill Stein,1,2,3
Baylor,1,President,,,Evan McMullin,0,,0
Baylor,2,President,,,Evan McMullin,2,,2
Baylor,3,President,,,Evan McMullin,0,,0
Baylor,4,President,,,Evan McMullin,0,,0
Baylor,Total,President,,,Evan McMullin,2,3,5
Baylor,1,President,,,Darrell L. Castle,0,,0
Baylor,2,President,,,Darrell L. Castle,0,,0
Baylor,3,President,,,Darrell L. Castle,1,,1
Baylor,4,President,,,Darrell L. Castle,0,,0
Baylor,Total,President,,,Darrell L. Castle,1,1,2
Baylor,1,U.S. House,13,Republican,Mac Thornberry,122,,122
Baylor,2,U.S. House,13,Republican,Mac Thornberry,109,,109
Baylor,3,U.S. House,13,Republican,Mac Thornberry,90,,90
Baylor,4,U.S. House,13,Republican,Mac Thornberry,114,,114
Baylor,Total,U.S. House,13,Republican,Mac Thornberry,435,853,1288
Baylor,1,U.S. House,13,Libertarian,Calvin DeWeese,7,,7
Baylor,2,U.S. House,13,Libertarian,Calvin DeWeese,9,,9
Baylor,3,U.S. House,13,Libertarian,Calvin DeWeese,5,,5
Baylor,4,U.S. House,13,Libertarian,Calvin DeWeese,11,,11
Baylor,Total,U.S. House,13,Libertarian,Calvin DeWeese,32,31,63
Baylor,1,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",7,,7
Baylor,2,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",4,,4
Baylor,3,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",2,,2
