county,precinct,office,district,party,candidate,early_votes,election_day,votes
Menard,1,Registered Voters,,,,,,352
Menard,1,Straight Party,,REP,Republican Party,48,15,63
Menard,1,Straight Party,,DEM,Democratic Party,19,11,30
Menard,1,Straight Party,,LIB,Libertarian Party,1,0,1
Menard,1,Straight Party,,GRN,Green Party,0,0,0
Menard,1,President and Vice President,,REP,Donald J. Trump / Mike Pence,85,32,117
Menard,1,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,28,20,48
Menard,1,President and Vice President,,LIB,Gary Johnson / William Weld,0,2,2
Menard,1,President and Vice President,,GRN,Jill Stein / Ajamu Baraka,0,0,0
Menard,1,President and Vice President,,,Darrell L Castle / Scott N Bradley,0,0,0
Menard,1,President and Vice President,,,Scott Cobbler / Michael Rodriguez,0,0,0
Menard,1,President and Vice President,,,Cherunda Fox / Roger Kushner,0,0,0
Menard,1,President and Vice President,,,Tom Hoefling / Steve Scholin,0,0,0
Menard,1,President and Vice President,,,Laurence Kotlikoff / Edward Leamer,0,0,0
Menard,1,President and Vice President,,,Jonathan Lee / Jeffrey Erskine,0,0,0
Menard,1,President and Vice President,,,Michael A Maturen / Juan A Munoz,0,0,0
Menard,1,President and Vice President,,,Evan McMullin / Nathan Johnson,0,0,0
Menard,1,President and Vice President,,,Monica Moorehead / Lamont Lilly,0,0,0
Menard,1,President and Vice President,,,Robert Morrow / Todd Sanders,0,0,0
Menard,1,President and Vice President,,,Emidio Soltysik / Angela Walker,0,0,0
Menard,1,President and Vice President,,,Dale Steffes / Paul E Case,0,0,0
Menard,1,President and Vice President,,,Tony Valdivia / Aaron Barriere,0,0,0
Menard,1,United States Representative,11,REP,Mike Conaway,84,36,120
Menard,1,United States Representative,11,LIB,Nicholas Landholt,14,6,20
Menard,1,Railroad Commissioner,,REP,Wayne Christian,78,29,107
Menard,1,Railroad Commissioner,,DEM,Grady Yarbrough,27,15,42
Menard,1,Railroad Commissioner,,LIB,Mark Miller,4,2,6
Menard,1,Railroad Commissioner,,GRN,Martina Salinas,4,2,6
Menard,1,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,79,28,107
Menard,1,"Justice, Supreme Court, Place 3",,DEM,Mike Westergren,26,15,41
Menard,1,"Justice, Supreme Court, Place 3",,LIB,Kathie Glass,3,0,3
Menard,1,"Justice, Supreme Court, Place 3",,GRN,Rodolfo Rivera Munoz,4,5,9
Menard,1,"Justice, Supreme Court, Place 5",,REP,Paul Green,76,30,106
Menard,1,"Justice, Supreme Court, Place 5",,DEM,Dori Contreras Garza,30,15,45
Menard,1,"Justice, Supreme Court, Place 5",,LIB,Tom Oxford,3,1,4
Menard,1,"Justice, Supreme Court, Place 5",,GRN,Charles E. Waterbury,0,1,1
Menard,1,"Justice, Supreme Court, Place 9",,REP,Eva Guzman,75,31,106
Menard,1,"Justice, Supreme Court, Place 9",,DEM,Savannah Robinson,27,15,42
