county,office,district,candidate,party,precinct,early_voting,election_day,votes
Hall,U.S. House,13,Calvin DeWeese,LIB,101,4,8,12
Hall,U.S. House,13,"H.F. ""Rusty"" Tomlinson",ONA,101,2,0,2
Hall,U.S. House,13,Mac Thornberry,REP,101,114,48,162
Hall,U.S. House,13,Calvin DeWeese,LIB,201,2,2,4
Hall,U.S. House,13,Mac Thornberry,REP,201,18,22,40
Hall,U.S. House,13,Calvin DeWeese,LIB,202,5,3,8
Hall,U.S. House,13,"H.F. ""Rusty"" Tomlinson",ONA,202,5,2,7
Hall,U.S. House,13,Mac Thornberry,REP,202,140,48,188
Hall,U.S. House,13,"H.F. ""Rusty"" Tomlinson",ONA,301,0,1,1
Hall,U.S. House,13,Mac Thornberry,REP,301,17,47,64
Hall,U.S. House,13,Calvin DeWeese,LIB,302,0,5,5
Hall,U.S. House,13,"H.F. ""Rusty"" Tomlinson",ONA,302,1,6,7
Hall,U.S. House,13,Mac Thornberry,REP,302,102,51,153
Hall,U.S. House,13,Calvin DeWeese,LIB,401,3,3,6
Hall,U.S. House,13,"H.F. ""Rusty"" Tomlinson",ONA,401,0,3,3
Hall,U.S. House,13,Mac Thornberry,REP,401,29,154,183
Hall,U.S. House,13,Calvin DeWeese,LIB,402,5,2,7
Hall,U.S. House,13,Mac Thornberry,REP,402,66,38,104
Hall,Railroad Commissioner,,Grady Yarbrough,DEM,101,30,22,52
Hall,Railroad Commissioner,,Mark Miller,LIB,101,3,3,6
Hall,Railroad Commissioner,,Martina Salinas,ONA,101,3,2,5
Hall,Railroad Commissioner,,Wayne Christian,REP,101,96,37,133
Hall,Railroad Commissioner,,Grady Yarbrough,DEM,201,8,1,9
Hall,Railroad Commissioner,,Mark Miller,LIB,201,1,3,4
Hall,Railroad Commissioner,,Martina Salinas,ONA,201,0,1,1
Hall,Railroad Commissioner,,Wayne Christian,REP,201,15,18,33
Hall,Railroad Commissioner,,Grady Yarbrough,DEM,202,20,25,45
Hall,Railroad Commissioner,,Mark Miller,LIB,202,8,3,11
Hall,Railroad Commissioner,,Martina Salinas,ONA,202,2,1,3
Hall,Railroad Commissioner,,Wayne Christian,REP,202,125,34,159
Hall,Railroad Commissioner,,Grady Yarbrough,DEM,301,6,5,11
Hall,Railroad Commissioner,,Mark Miller,LIB,301,1,2,3
Hall,Railroad Commissioner,,Wayne Christian,REP,301,14,43,57
Hall,Railroad Commissioner,,Grady Yarbrough,DEM,302,18,15,33
Hall,Railroad Commissioner,,Mark Miller,LIB,302,4,4,8
Hall,Railroad Commissioner,,Martina Salinas,ONA,302,0,1,1
Hall,Railroad Commissioner,,Wayne Christian,REP,302,87,44,131
Hall,Railroad Commissioner,,Grady Yarbrough,DEM,401,2,14,16
Hall,Railroad Commissioner,,Mark Miller,LIB,401,2,3,5
Hall,Railroad Commissioner,,Martina Salinas,ONA,401,0,5,5
Hall,Railroad Commissioner,,Wayne Christian,REP,401,32,141,173
Hall,Railroad Commissioner,,Grady Yarbrough,DEM,402,11,8,19
Hall,Railroad Commissioner,,Mark Miller,LIB,402,1,1,2
Hall,Railroad Commissioner,,Martina Salinas,ONA,402,1,1,2
Hall,Railroad Commissioner,,Wayne Christian,REP,402,58,35,93
Hall,State Representative,68,Drew Springer,REP,101,107,50,157
Hall,State Representative,68,Drew Springer,REP,201,20,21,41
Hall,State Representative,68,Drew Springer,REP,202,140,48,188
Hall,State Representative,68,Drew Springer,REP,301,17,47,64
Hall,State Representative,68,Drew Springer,REP,302,95,53,148
Hall,State Representative,68,Drew Springer,REP,401,30,146,176
Hall,State Representative,68,Drew Springer,REP,402,68,34,102
Hall,President,,Donald J. Trump /Mike Pence,REP,101,110,46,156
Hall,President,,Gary Johnson /William Weld,LIB,101,3,2,5
Hall,President,,Hillary Clinton /Tim Kaine,DEM,101,31,19,50
Hall,President,,Donald J. Trump /Mike Pence,REP,201,23,25,48
Hall,President,,Gary Johnson /William Weld,LIB,201,4,1,5
Hall,President,,Hillary Clinton /Tim Kaine,DEM,201,4,3,7
Hall,President,,Donald J. Trump /Mike Pence,REP,202,139,47,186
Hall,President,,Gary Johnson /William Weld,LIB,202,1,2,3
Hall,President,,Hillary Clinton /Tim Kaine,DEM,202,20,21,41
Hall,President,,Donald J. Trump /Mike Pence,REP,301,14,48,62
Hall,President,,Gary Johnson /William Weld,LIB,301,7,2,9
Hall,President,,Hillary Clinton /Tim Kaine,DEM,301,7,2,9
Hall,President,,Donald J. Trump /Mike Pence,REP,302,95,58,153
Hall,President,,Gary Johnson /William Weld,LIB,302,4,1,5
Hall,President,,Hillary Clinton /Tim Kaine,DEM,302,17,9,26
Hall,President,,Donald J. Trump /Mike Pence,REP,401,31,154,185
Hall,President,,Gary Johnson /William Weld,LIB,401,3,4,7
Hall,President,,Hillary Clinton /Tim Kaine,DEM,401,1,13,14
Hall,President,,Donald J. Trump /Mike Pence,REP,402,65,38,103
Hall,President,,Hillary Clinton /Tim Kaine,DEM,402,9,8,17
