county,precinct,office,district,party,candidate,early_votes,election_day,votes
Hutchinson,11,,,,Registered Voters,,,1894
Hutchinson,11,President,,REP,Donald J. Trump / Mike Pence,730,334,
Hutchinson,11,President,,DEM,Hillary Clinton / Tim Kaine,64,47,
Hutchinson,11,President,,LIB,Gary Johnson / William Weld,10,17,
Hutchinson,11,President,,GRN,Jill Stein / Ajamu Baraka,2,1,
Hutchinson,11,President,,WRITE-IN,Darrell L. Castle / Scott N. Bradley,0,0,
Hutchinson,11,President,,WRITE-IN,Scott Cubbler / Michael Rodriguez,0,0,
Hutchinson,11,President,,WRITE-IN,Cherunda Fox / Roger Kushner,0,0,
Hutchinson,11,President,,WRITE-IN,Tom Hoefling / Steve Schulin,0,0,
Hutchinson,11,President,,WRITE-IN,Laurence Kotlikoff / Edward Leamer,0,0,
Hutchinson,11,President,,WRITE-IN,Jonathan Lee / Jeffrey Erskine,0,0,
Hutchinson,11,President,,WRITE-IN,Michael A. Maturen / Juan A. Munoz,0,0,
Hutchinson,11,President,,WRITE-IN,Evan McMullin / Nathan Johnson,0,5,
Hutchinson,11,President,,WRITE-IN,Monica Moorehead / Lamont Lilly,0,0,
Hutchinson,11,President,,WRITE-IN,Robert Morrow / Todd Sanders,0,0,
Hutchinson,11,President,,WRITE-IN,Emidio Soltysik / Angela Walker,0,0,
Hutchinson,11,President,,WRITE-IN,Dale Steffes / Paul E. Case,0,0,
Hutchinson,11,President,,WRITE-IN,Tony Valdivia / Aaron Barriere,0,0,
Hutchinson,11,U.S. House,13,REP,Mac Thornberry,724,349,
Hutchinson,11,U.S. House,13,LIB,Calvin DeWeese,34,35,
Hutchinson,11,U.S. House,13,GRN,"H.F. ""Rusty"" Tomlinson",14,10,
Hutchinson,11,Railroad Commissioner,,REP,Wayne Christian,688,310,
Hutchinson,11,Railroad Commissioner,,DEM,Grady Yarbrough,69,47,
Hutchinson,11,Railroad Commissioner,,LIB,Mark Miller,26,35,
Hutchinson,11,Railroad Commissioner,,GRN,Martina Salinas,8,9,
Hutchinson,11,State Representative,87,REP,Four Price,741,376,
Hutchinson,14,,,,Registered Voters,,,2059
Hutchinson,14,President,,REP,Donald J. Trump / Mike Pence,781,404,
Hutchinson,14,President,,DEM,Hillary Clinton / Tim Kaine,100,59,
Hutchinson,14,President,,LIB,Gary Johnson / William Weld,18,16,
Hutchinson,14,President,,GRN,Jill Stein / Ajamu Baraka,3,1,
Hutchinson,14,President,,WRITE-IN,Darrell L. Castle / Scott N. Bradley,0,1,
Hutchinson,14,President,,WRITE-IN,Scott Cubbler / Michael Rodriguez,0,0,
Hutchinson,14,President,,WRITE-IN,Cherunda Fox / Roger Kushner,0,0,
Hutchinson,14,President,,WRITE-IN,Tom Hoefling / Steve Schulin,0,0,
Hutchinson,14,President,,WRITE-IN,Laurence Kotlikoff / Edward Leamer,0,0,
Hutchinson,14,President,,WRITE-IN,Jonathan Lee / Jeffrey Erskine,0,0,
Hutchinson,14,President,,WRITE-IN,Michael A. Maturen / Juan A. Munoz,0,0,
Hutchinson,14,President,,WRITE-IN,Evan McMullin / Nathan Johnson,3,4,
Hutchinson,14,President,,WRITE-IN,Monica Moorehead / Lamont Lilly,0,0,
Hutchinson,14,President,,WRITE-IN,Robert Morrow / Todd Sanders,0,0,
Hutchinson,14,President,,WRITE-IN,Emidio Soltysik / Angela Walker,0,0,
Hutchinson,14,President,,WRITE-IN,Dale Steffes / Paul E. Case,0,0,
Hutchinson,14,President,,WRITE-IN,Tony Valdivia / Aaron Barriere,0,0,
Hutchinson,14,U.S. House,13,REP,Mac Thornberry,805,420,
Hutchinson,14,U.S. House,13,LIB,Calvin DeWeese,40,35,
Hutchinson,14,U.S. House,13,GRN,"H.F. ""Rusty"" Tomlinson",11,8,
Hutchinson,14,Railroad Commissioner,,REP,Wayne Christian,751,385,
Hutchinson,14,Railroad Commissioner,,DEM,Grady Yarbrough,90,57,
Hutchinson,14,Railroad Commissioner,,LIB,Mark Miller,38,30,
Hutchinson,14,Railroad Commissioner,,GRN,Martina Salinas,7,7,
Hutchinson,14,State Representative,87,REP,Four Price,822,446,
Hutchinson,21,,,,Registered Voters,,,3375
Hutchinson,21,President,,REP,Donald J. Trump / Mike Pence,"1,428",525,
Hutchinson,21,President,,DEM,Hillary Clinton / Tim Kaine,120,28,
Hutchinson,21,President,,LIB,Gary Johnson / William Weld,37,19,
Hutchinson,21,President,,GRN,Jill Stein / Ajamu Baraka,3,3,
Hutchinson,21,President,,WRITE-IN,Darrell L. Castle / Scott N. Bradley,0,0,
Hutchinson,21,President,,WRITE-IN,Scott Cubbler / Michael Rodriguez,0,0,
Hutchinson,21,President,,WRITE-IN,Cherunda Fox / Roger Kushner,0,0,
Hutchinson,21,President,,WRITE-IN,Tom Hoefling / Steve Schulin,0,0,
Hutchinson,21,President,,WRITE-IN,Laurence Kotlikoff / Edward Leamer,0,0,
Hutchinson,21,President,,WRITE-IN,Jonathan Lee / Jeffrey Erskine,0,0,
Hutchinson,21,President,,WRITE-IN,Michael A. Maturen / Juan A. Munoz,0,0,
Hutchinson,21,President,,WRITE-IN,Evan McMullin / Nathan Johnson,2,1,
