county,precinct,office,district,party,candidate,vote
Morris,101,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,798
Morris,102,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,424
Morris,103,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,737
Morris,202,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1015
Morris,203,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1145
Morris,302,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1114
Morris,303,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1197
Morris,401,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2128
Morris,101,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,346
Morris,102,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,228
Morris,103,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,444
Morris,202,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,692
Morris,203,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,585
Morris,302,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,648
Morris,303,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,765
Morris,401,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,1318
Morris,101,Straight Party,,REP,Republican Party,48
Morris,102,Straight Party,,REP,Republican Party,42
Morris,103,Straight Party,,REP,Republican Party,103
Morris,202,Straight Party,,REP,Republican Party,312
Morris,203,Straight Party,,REP,Republican Party,229
Morris,302,Straight Party,,REP,Republican Party,168
Morris,303,Straight Party,,REP,Republican Party,208
Morris,401,Straight Party,,REP,Republican Party,545
Morris,101,Straight Party,,DEM,Democratic Party,206
Morris,102,Straight Party,,DEM,Democratic Party,115
Morris,103,Straight Party,,DEM,Democratic Party,113
Morris,202,Straight Party,,DEM,Democratic Party,79
Morris,203,Straight Party,,DEM,Democratic Party,127
Morris,302,Straight Party,,DEM,Democratic Party,124
Morris,303,Straight Party,,DEM,Democratic Party,91
Morris,401,Straight Party,,DEM,Democratic Party,189
Morris,101,Straight Party,,LIB,Libertarian Party,1
Morris,102,Straight Party,,LIB,Libertarian Party,2
Morris,103,Straight Party,,LIB,Libertarian Party,2
Morris,202,Straight Party,,LIB,Libertarian Party,3
Morris,203,Straight Party,,LIB,Libertarian Party,4
Morris,302,Straight Party,,LIB,Libertarian Party,5
Morris,303,Straight Party,,LIB,Libertarian Party,4
Morris,401,Straight Party,,LIB,Libertarian Party,5
Morris,101,Straight Party,,GRN,Green Party,1
Morris,102,Straight Party,,GRN,Green Party,0
Morris,103,Straight Party,,GRN,Green Party,1
Morris,202,Straight Party,,GRN,Green Party,1
Morris,203,Straight Party,,GRN,Green Party,1
Morris,302,Straight Party,,GRN,Green Party,2
Morris,303,Straight Party,,GRN,Green Party,2
Morris,401,Straight Party,,GRN,Green Party,3
Morris,101,Straight Party,,,OVER VOTES,0
Morris,102,Straight Party,,,OVER VOTES,0
Morris,103,Straight Party,,,OVER VOTES,0
Morris,202,Straight Party,,,OVER VOTES,0
Morris,203,Straight Party,,,OVER VOTES,0
Morris,302,Straight Party,,,OVER VOTES,0
Morris,303,Straight Party,,,OVER VOTES,1
Morris,401,Straight Party,,,OVER VOTES,1
Morris,101,Straight Party,,,UNDER VOTES,90
Morris,102,Straight Party,,,UNDER VOTES,69
Morris,103,Straight Party,,,UNDER VOTES,225
Morris,202,Straight Party,,,UNDER VOTES,297
Morris,203,Straight Party,,,UNDER VOTES,224
Morris,302,Straight Party,,,UNDER VOTES,349
Morris,303,Straight Party,,,UNDER VOTES,459
Morris,401,Straight Party,,,UNDER VOTES,575
Morris,101,President and Vice President,,REP,Donald J. Trump / Mike Pence,88
Morris,102,President and Vice President,,REP,Donald J. Trump / Mike Pence,81
Morris,103,President and Vice President,,REP,Donald J. Trump / Mike Pence,273
Morris,202,President and Vice President,,REP,Donald J. Trump / Mike Pence,555
Morris,203,President and Vice President,,REP,Donald J. Trump / Mike Pence,409
Morris,302,President and Vice President,,REP,Donald J. Trump / Mike Pence,460
Morris,303,President and Vice President,,REP,Donald J. Trump / Mike Pence,605
Morris,401,President and Vice President,,REP,Donald J. Trump / Mike Pence,972
Morris,101,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,250
Morris,102,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,138
Morris,103,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,155
Morris,202,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,119
Morris,203,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,161
Morris,302,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,169
Morris,303,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,131
Morris,401,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,302
Morris,101,President and Vice President,,LIB,Gary Johnson / William Weld,1
Morris,102,President and Vice President,,LIB,Gary Johnson / William Weld,4
Morris,103,President and Vice President,,LIB,Gary Johnson / William Weld,5
Morris,202,President and Vice President,,LIB,Gary Johnson / William Weld,5
Morris,203,President and Vice President,,LIB,Gary Johnson / William Weld,11
Morris,302,President and Vice President,,LIB,Gary Johnson / William Weld,13
Morris,303,President and Vice President,,LIB,Gary Johnson / William Weld,17
Morris,401,President and Vice President,,LIB,Gary Johnson / William Weld,21
Morris,101,President and Vice President,,GRN,Jill Stein / Ajamu Baraka,2
Morris,102,President and Vice President,,GRN,Jill Stein / Ajamu Baraka,3
Morris,103,President and Vice President,,GRN,Jill Stein / Ajamu Baraka,0
Morris,202,President and Vice President,,GRN,Jill Stein / Ajamu Baraka,1
Morris,203,President and Vice President,,GRN,Jill Stein / Ajamu Baraka,0
Morris,302,President and Vice President,,GRN,Jill Stein / Ajamu Baraka,3
Morris,303,President and Vice President,,GRN,Jill Stein / Ajamu Baraka,5
