county,precinct,office,district,party,candidate,votes,absentee,early,election_day
Harris,1,Registered Voters,,,,2682,,,
Harris,1,Ballots Cast,,,,1925,85,1344,496
Harris,1,Straight Party,,,Republican Party,350,13,245,92
Harris,1,Straight Party,,,Democratic Party,617,35,443,139
Harris,1,Straight Party,,,Libertarian Party,20,0,13,7
Harris,1,Straight Party,,,Green Party,6,0,2,4
Harris,1,Straight Party,,,Over Votes,0,0,0,0
Harris,1,Straight Party,,,Under Votes,932,37,641,254
Harris,1,President,,Republican,Donald J. Trump / Mike Pence,495,18,343,134
Harris,1,President,,Democratic,Hillary Clinton / Tim Kaine,1266,61,904,301
Harris,1,President,,Libertarian,Gary Johnson / William Weld,99,3,60,36
Harris,1,President,,Green,Jill Stein / Ajamu Baraka,23,0,13,10
Harris,1,President,,,Darrell L. Castle / Scott N. Bradley,0,0,0,0
Harris,1,President,,,Scott Cubbler / Michael Rodriguez,0,0,0,0
Harris,1,President,,,Cherunda Fox / Roger Kushner,0,0,0,0
Harris,1,President,,,Tom Hoefling / Steve Schulin,0,0,0,0
Harris,1,President,,,Laurence Kotlikoff / Edward Leamer,2,1,0,1
Harris,1,President,,,Jonathan Lee / Jeffrey Erskine,0,0,0,0
Harris,1,President,,,Michael A. Maturen / Juan A. Munoz,0,0,0,0
Harris,1,President,,,Evan McMullin / Nathan Johnson,6,0,5,1
Harris,1,President,,,Monica Moorehead / Lamont Lilly,0,0,0,0
Harris,1,President,,,Robert Morrow / Todd Sanders,0,0,0,0
Harris,1,President,,,Emidio Soltysik / Angela Walker,0,0,0,0
Harris,1,President,,,Dale Steffes / Paul E. Case,0,0,0,0
Harris,1,President,,,Tony Valdivia / Aaron Barriere,0,0,0,0
Harris,1,President,,,Over Votes,0,0,0,0
Harris,1,President,,,Under Votes,34,2,19,13
Harris,1,U.S. House,18,Republican,Lori Bartley,709,25,487,197
Harris,1,U.S. House,18,Democratic,Sheila Jackson Lee,1045,53,756,236
Harris,1,U.S. House,18,Green,Thomas Kleven,100,5,60,35
Harris,1,U.S. House,18,,Over Votes,0,0,0,0
Harris,1,U.S. House,18,,Under Votes,60,1,31,28
Harris,1,Railroad Commissioner,,Republican,Wayne Christian,610,24,422,164
Harris,1,Railroad Commissioner,,Democratic,Grady Yarbrough,899,43,653,203
Harris,1,Railroad Commissioner,,Libertarian,Mark Miller,230,9,163,58
Harris,1,Railroad Commissioner,,Green,Martina Salinas,98,3,63,32
Harris,1,Railroad Commissioner,,,Over Votes,0,0,0,0
Harris,1,Railroad Commissioner,,,Under Votes,85,3,43,39
Harris,1,State Senate,6,Democratic,Sylvia R. Garcia,1336,59,950,327
Harris,1,State Senate,6,,Over Votes,0,0,0,0
Harris,1,State Senate,6,,Under Votes,576,23,384,169
Harris,1,State Representative,145,Democratic,Carol Alvarado,1324,61,939,324
Harris,1,State Representative,145,,Over Votes,0,0,0,0
Harris,1,State Representative,145,,Under Votes,588,21,395,172
Harris,2,Registered Voters,,,,2099,,,
Harris,2,Ballots Cast,,,,1381,67,944,370
Harris,2,Straight Party,,,Republican Party,300,15,204,81
Harris,2,Straight Party,,,Democratic Party,398,28,294,76
Harris,2,Straight Party,,,Libertarian Party,6,1,2,3
Harris,2,Straight Party,,,Green Party,8,0,4,4
Harris,2,Straight Party,,,Over Votes,1,1,0,0
Harris,2,Straight Party,,,Under Votes,668,22,440,206
Harris,2,President,,Republican,Donald J. Trump / Mike Pence,447,17,286,144
Harris,2,President,,Democratic,Hillary Clinton / Tim Kaine,802,43,586,173
Harris,2,President,,Libertarian,Gary Johnson / William Weld,63,2,37,24
Harris,2,President,,Green,Jill Stein / Ajamu Baraka,17,1,5,11
Harris,2,President,,,Darrell L. Castle / Scott N. Bradley,0,0,0,0
Harris,2,President,,,Scott Cubbler / Michael Rodriguez,0,0,0,0
Harris,2,President,,,Cherunda Fox / Roger Kushner,0,0,0,0
Harris,2,President,,,Tom Hoefling / Steve Schulin,0,0,0,0
Harris,2,President,,,Laurence Kotlikoff / Edward Leamer,0,0,0,0
Harris,2,President,,,Jonathan Lee / Jeffrey Erskine,0,0,0,0
Harris,2,President,,,Michael A. Maturen / Juan A. Munoz,0,0,0,0
Harris,2,President,,,Evan McMullin / Nathan Johnson,8,0,5,3
Harris,2,President,,,Monica Moorehead / Lamont Lilly,0,0,0,0
Harris,2,President,,,Robert Morrow / Todd Sanders,0,0,0,0
Harris,2,President,,,Emidio Soltysik / Angela Walker,0,0,0,0
Harris,2,President,,,Dale Steffes / Paul E. Case,0,0,0,0
Harris,2,President,,,Tony Valdivia / Aaron Barriere,0,0,0,0
Harris,2,President,,,Over Votes,1,1,0,0
Harris,2,President,,,Under Votes,43,3,25,15
Harris,2,U.S. House,18,Republican,Lori Bartley,597,21,381,195
Harris,2,U.S. House,18,Democratic,Sheila Jackson Lee,677,39,503,135
Harris,2,U.S. House,18,Green,Thomas Kleven,63,3,30,30
Harris,2,U.S. House,18,,Over Votes,1,1,0,0
Harris,2,U.S. House,18,,Under Votes,36,3,23,10
Harris,2,Railroad Commissioner,,Republican,Wayne Christian,529,18,352,159
Harris,2,Railroad Commissioner,,Democratic,Grady Yarbrough,582,36,426,120
Harris,2,Railroad Commissioner,,Libertarian,Mark Miller,152,3,94,55
Harris,2,Railroad Commissioner,,Green,Martina Salinas,58,2,39,17
Harris,2,Railroad Commissioner,,,Over Votes,1,1,0,0
Harris,2,Railroad Commissioner,,,Under Votes,55,3,33,19
Harris,2,State Senate,6,Democratic,Sylvia R. Garcia,880,43,622,215
Harris,2,State Senate,6,,Over Votes,0,0,0,0
Harris,2,State Senate,6,,Under Votes,490,20,315,155
Harris,2,State Representative,147,Republican,Matt Murphy,567,18,355,194
Harris,2,State Representative,147,Democratic,Garnet F. Coleman,694,37,513,144
Harris,2,State Representative,147,Green,Brian M. Harrison,38,2,23,13
Harris,2,State Representative,147,,Over Votes,1,1,0,0
Harris,2,State Representative,147,,Under Votes,70,5,46,19
Harris,3,Registered Voters,,,,1625,,,
Harris,3,Ballots Cast,,,,1213,66,811,336
Harris,3,Straight Party,,,Republican Party,199,8,142,49
Harris,3,Straight Party,,,Democratic Party,318,23,225,70
Harris,3,Straight Party,,,Libertarian Party,6,0,6,0
Harris,3,Straight Party,,,Green Party,5,1,3,1
Harris,3,Straight Party,,,Over Votes,0,0,0,0
Harris,3,Straight Party,,,Under Votes,685,34,435,216
Harris,3,President,,Republican,Donald J. Trump / Mike Pence,333,10,233,90
Harris,3,President,,Democratic,Hillary Clinton / Tim Kaine,770,53,519,198
Harris,3,President,,Libertarian,Gary Johnson / William Weld,67,0,40,27
Harris,3,President,,Green,Jill Stein / Ajamu Baraka,15,2,7,6
Harris,3,President,,,Darrell L. Castle / Scott N. Bradley,0,0,0,0
Harris,3,President,,,Scott Cubbler / Michael Rodriguez,0,0,0,0
Harris,3,President,,,Cherunda Fox / Roger Kushner,0,0,0,0
Harris,3,President,,,Tom Hoefling / Steve Schulin,0,0,0,0
Harris,3,President,,,Laurence Kotlikoff / Edward Leamer,0,0,0,0
Harris,3,President,,,Jonathan Lee / Jeffrey Erskine,0,0,0,0
Harris,3,President,,,Michael A. Maturen / Juan A. Munoz,0,0,0,0
Harris,3,President,,,Evan McMullin / Nathan Johnson,8,0,3,5
Harris,3,President,,,Monica Moorehead / Lamont Lilly,0,0,0,0
Harris,3,President,,,Robert Morrow / Todd Sanders,0,0,0,0
Harris,3,President,,,Emidio Soltysik / Angela Walker,0,0,0,0
Harris,3,President,,,Dale Steffes / Paul E. Case,0,0,0,0
Harris,3,President,,,Tony Valdivia / Aaron Barriere,0,0,0,0
Harris,3,President,,,Over Votes,0,0,0,0
Harris,3,President,,,Under Votes,20,1,9,10
Harris,3,U.S. House,18,Republican,Lori Bartley,477,13,314,150
Harris,3,U.S. House,18,Democratic,Sheila Jackson Lee,633,47,442,144
Harris,3,U.S. House,18,Green,Thomas Kleven,71,2,38,31
Harris,3,U.S. House,18,,Over Votes,0,0,0,0
Harris,3,U.S. House,18,,Under Votes,32,4,17,11
Harris,3,Railroad Commissioner,,Republican,Wayne Christian,397,11,262,124
Harris,3,Railroad Commissioner,,Democratic,Grady Yarbrough,536,41,374,121
Harris,3,Railroad Commissioner,,Libertarian,Mark Miller,175,5,114,56
Harris,3,Railroad Commissioner,,Green,Martina Salinas,47,5,27,15
Harris,3,Railroad Commissioner,,,Over Votes,0,0,0,0
Harris,3,Railroad Commissioner,,,Under Votes,56,2,34,20
Harris,3,State Representative,145,Democratic,Carol Alvarado,847,53,563,231
Harris,3,State Representative,145,,Over Votes,0,0,0,0
Harris,3,State Representative,145,,Under Votes,364,11,248,105
Harris,4,Registered Voters,,,,1709,,,
Harris,4,Ballots Cast,,,,1329,105,855,369
Harris,4,Straight Party,,,Republican Party,202,17,138,47
Harris,4,Straight Party,,,Democratic Party,378,33,259,86
Harris,4,Straight Party,,,Libertarian Party,13,0,7,6
Harris,4,Straight Party,,,Green Party,4,0,2,2
Harris,4,Straight Party,,,Over Votes,1,1,0,0
Harris,4,Straight Party,,,Under Votes,731,54,449,228
Harris,4,President,,Republican,Donald J. Trump / Mike Pence,320,28,203,89
Harris,4,President,,Democratic,Hillary Clinton / Tim Kaine,888,74,589,225
Harris,4,President,,Libertarian,Gary Johnson / William Weld,75,0,34,41
Harris,4,President,,Green,Jill Stein / Ajamu Baraka,11,1,7,3
Harris,4,President,,,Darrell L. Castle / Scott N. Bradley,0,0,0,0
Harris,4,President,,,Scott Cubbler / Michael Rodriguez,0,0,0,0
Harris,4,President,,,Cherunda Fox / Roger Kushner,0,0,0,0
Harris,4,President,,,Tom Hoefling / Steve Schulin,0,0,0,0
Harris,4,President,,,Laurence Kotlikoff / Edward Leamer,0,0,0,0
Harris,4,President,,,Jonathan Lee / Jeffrey Erskine,0,0,0,0
Harris,4,President,,,Michael A. Maturen / Juan A. Munoz,0,0,0,0
Harris,4,President,,,Evan McMullin / Nathan Johnson,10,0,7,3
Harris,4,President,,,Monica Moorehead / Lamont Lilly,0,0,0,0
Harris,4,President,,,Robert Morrow / Todd Sanders,0,0,0,0
Harris,4,President,,,Emidio Soltysik / Angela Walker,0,0,0,0
Harris,4,President,,,Dale Steffes / Paul E. Case,0,0,0,0
Harris,4,President,,,Tony Valdivia / Aaron Barriere,0,0,0,0
Harris,4,President,,,Over Votes,0,0,0,0
Harris,4,President,,,Under Votes,25,2,15,8
Harris,4,U.S. House,18,Republican,Lori Bartley,492,35,303,154
Harris,4,U.S. House,18,Democratic,Sheila Jackson Lee,743,66,495,182
Harris,4,U.S. House,18,Green,Thomas Kleven,64,2,39,23
Harris,4,U.S. House,18,,Over Votes,0,0,0,0
Harris,4,U.S. House,18,,Under Votes,29,2,17,10
Harris,4,Railroad Commissioner,,Republican,Wayne Christian,397,32,249,116
