county,precinct,office,district,party,candidate,election_day,early_voting,votes
Donley,101,President,,Republican,Donald J. Trump,43,76,
Donley,101,President,,Democratic,Hillary Clinton,2,10,
Donley,101,President,,Libertarian,Gary Johnson,1,1,
Donley,101,President,,Green,Jill Stein,0,0,
Donley,101,President,,,Evan McMullin,1,1,
Donley,102,President,,Republican,Donald J. Trump,63,96,
Donley,102,President,,Democratic,Hillary Clinton,11,22,
Donley,102,President,,Libertarian,Gary Johnson,2,1,
Donley,102,President,,Green,Jill Stein,1,0,
Donley,102,President,,,Evan McMullin,0,2,
Donley,201,President,,Republican,Donald J. Trump,144,249,
Donley,201,President,,Democratic,Hillary Clinton,23,41,
Donley,201,President,,Libertarian,Gary Johnson,4,9,
Donley,201,President,,Green,Jill Stein,1,0,
Donley,201,President,,,Evan McMullin,0,0,
Donley,301,President,,Republican,Donald J. Trump,36,99,
Donley,301,President,,Democratic,Hillary Clinton,3,5,
Donley,301,President,,Libertarian,Gary Johnson,4,4,
Donley,301,President,,Green,Jill Stein,0,2,
Donley,301,President,,,Evan McMullin,0,0,
Donley,303,President,,Republican,Donald J. Trump,88,79,
Donley,303,President,,Democratic,Hillary Clinton,13,15,
Donley,303,President,,Libertarian,Gary Johnson,1,1,
Donley,303,President,,Green,Jill Stein,0,0,
Donley,303,President,,,Evan McMullin,0,0,
Donley,401,President,,Republican,Donald J. Trump,102,150,
Donley,401,President,,Democratic,Hillary Clinton,23,23,
Donley,401,President,,Libertarian,Gary Johnson,7,5,
Donley,401,President,,Green,Jill Stein,1,0,
Donley,401,President,,,Evan McMullin,0,0,
Donley,101,U.S. House,13,Republican,Mac Thornberry,37,78,
Donley,101,U.S. House,13,Libertarian,Calvin DeWeese,3,7,
Donley,101,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",2,0,
Donley,102,U.S. House,13,Republican,Mac Thornberry,65,97,
Donley,102,U.S. House,13,Libertarian,Calvin DeWeese,8,13,
Donley,102,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",2,3,
Donley,201,U.S. House,13,Republican,Mac Thornberry,157,265,
Donley,201,U.S. House,13,Libertarian,Calvin DeWeese,8,17,
Donley,201,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",6,7,
Donley,301,U.S. House,13,Republican,Mac Thornberry,42,92,
Donley,301,U.S. House,13,Libertarian,Calvin DeWeese,0,8,
Donley,301,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",1,6,
Donley,303,U.S. House,13,Republican,Mac Thornberry,89,78,
Donley,303,U.S. House,13,Libertarian,Calvin DeWeese,3,7,
Donley,303,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",2,5,
Donley,401,U.S. House,13,Republican,Mac Thornberry,111,155,
Donley,401,U.S. House,13,Libertarian,Calvin DeWeese,9,12,
Donley,401,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",6,5,
Donley,101,Railroad Commissioner,,Republican,Wayne Christian,38,73,
Donley,101,Railroad Commissioner,,Democratic,Grady Yarbrough,3,8,
Donley,101,Railroad Commissioner,,Libertarian,Mark Miller,2,4,
Donley,101,Railroad Commissioner,,Green,Martina Salinas,1,0,
Donley,102,Railroad Commissioner,,Republican,Wayne Christian,52,93,
Donley,102,Railroad Commissioner,,Democratic,Grady Yarbrough,11,18,
Donley,102,Railroad Commissioner,,Libertarian,Mark Miller,6,7,
Donley,102,Railroad Commissioner,,Green,Martina Salinas,1,1,
Donley,201,Railroad Commissioner,,Republican,Wayne Christian,145,232,
Donley,201,Railroad Commissioner,,Democratic,Grady Yarbrough,22,38,
Donley,201,Railroad Commissioner,,Libertarian,Mark Miller,2,15,
Donley,201,Railroad Commissioner,,Green,Martina Salinas,1,2,
Donley,301,Railroad Commissioner,,Republican,Wayne Christian,35,94,
Donley,301,Railroad Commissioner,,Democratic,Grady Yarbrough,1,5,
Donley,301,Railroad Commissioner,,Libertarian,Mark Miller,2,6,
Donley,301,Railroad Commissioner,,Green,Martina Salinas,0,0,
Donley,303,Railroad Commissioner,,Republican,Wayne Christian,76,70,
Donley,303,Railroad Commissioner,,Democratic,Grady Yarbrough,11,18,
Donley,303,Railroad Commissioner,,Libertarian,Mark Miller,8,3,
Donley,303,Railroad Commissioner,,Green,Martina Salinas,1,0,
Donley,401,Railroad Commissioner,,Republican,Wayne Christian,95,139,
Donley,401,Railroad Commissioner,,Democratic,Grady Yarbrough,22,27,
Donley,401,Railroad Commissioner,,Libertarian,Mark Miller,4,6,
Donley,401,Railroad Commissioner,,Green,Martina Salinas,6,1,
Donley,101,State Representative,88,Republican,Ken King,42,78,
Donley,102,State Representative,88,Republican,Ken King,64,102,
Donley,201,State Representative,88,Republican,Ken King,158,261,
Donley,301,State Representative,88,Republican,Ken King,39,98,
Donley,303,State Representative,88,Republican,Ken King,82,79,
Donley,401,State Representative,88,Republican,Ken King,116,154,
