county,precinct,office,district,candidate,party,votes,early_voting,election_day,absentee,provisional
Upton,1,Registered Voters,,,,416,,,,
Upton,2,Registered Voters,,,,258,,,,
Upton,3,Registered Voters,,,,502,,,,
Upton,4,Registered Voters,,,,531,,,,
Upton,5,Registered Voters,,,,82,,,,
Upton,6,Registered Voters,,,,255,,,,
Upton,Total,Registered Voters,,,,2044,,,,
Upton,1,Ballots Cast,,,,312,224,74,13,1
Upton,2,Ballots Cast,,,,154,99,51,3,1
Upton,3,Ballots Cast,,,,345,241,75,29,0
Upton,4,Ballots Cast,,,,324,210,99,9,6
Upton,5,Ballots Cast,,,,68,13,54,0,1
Upton,6,Ballots Cast,,,,177,122,43,8,4
Upton,Total,Ballots Cast,,,,1380,909,396,62,13
Upton,1,Straight Party,,,REP,90,63,24,3,0
Upton,2,Straight Party,,,REP,43,35,8,0,0
Upton,3,Straight Party,,,REP,91,75,10,6,0
Upton,4,Straight Party,,,REP,137,95,39,1,2
Upton,5,Straight Party,,,REP,23,4,18,0,1
Upton,6,Straight Party,,,REP,77,55,17,4,1
Upton,Total,Straight Party,,,REP,461,327,116,14,4
Upton,1,Straight Party,,,DEM,16,12,4,0,0
Upton,2,Straight Party,,,DEM,7,2,4,1,0
Upton,3,Straight Party,,,DEM,54,39,11,4,0
Upton,4,Straight Party,,,DEM,21,12,8,1,0
Upton,5,Straight Party,,,DEM,7,3,4,0,0
Upton,6,Straight Party,,,DEM,21,14,6,0,1
Upton,Total,Straight Party,,,DEM,126,82,37,6,1
Upton,1,Straight Party,,,LIB,4,3,1,0,0
Upton,2,Straight Party,,,LIB,1,1,0,0,0
Upton,3,Straight Party,,,LIB,2,1,1,0,0
Upton,4,Straight Party,,,LIB,7,4,3,0,0
Upton,5,Straight Party,,,LIB,0,0,0,0,0
Upton,6,Straight Party,,,LIB,1,1,0,0,0
Upton,Total,Straight Party,,,LIB,15,10,5,0,0
Upton,1,Straight Party,,,GRN,0,0,0,0,0
Upton,2,Straight Party,,,GRN,1,0,1,0,0
Upton,3,Straight Party,,,GRN,1,1,0,0,0
Upton,4,Straight Party,,,GRN,0,0,0,0,0
Upton,5,Straight Party,,,GRN,0,0,0,0,0
Upton,6,Straight Party,,,GRN,0,0,0,0,0
Upton,Total,Straight Party,,,GRN,2,1,1,0,0
Upton,1,Straight Party,,Over Votes,,0,0,0,0,0
Upton,2,Straight Party,,Over Votes,,0,0,0,0,0
Upton,3,Straight Party,,Over Votes,,0,0,0,0,0
Upton,4,Straight Party,,Over Votes,,0,0,0,0,0
Upton,5,Straight Party,,Over Votes,,0,0,0,0,0
Upton,6,Straight Party,,Over Votes,,0,0,0,0,0
Upton,Total,Straight Party,,Over Votes,,0,0,0,0,0
Upton,1,Straight Party,,Under Votes,,191,146,45,0,0
Upton,2,Straight Party,,Under Votes,,99,61,38,0,0
Upton,3,Straight Party,,Under Votes,,178,125,53,0,0
Upton,4,Straight Party,,Under Votes,,148,99,49,0,0
Upton,5,Straight Party,,Under Votes,,38,6,32,0,0
Upton,6,Straight Party,,Under Votes,,72,52,20,0,0
Upton,Total,Straight Party,,Under Votes,,726,489,237,0,0
Upton,1,President,,Donald Trump,REP,246,179,58,8,1
Upton,2,President,,Donald Trump,REP,115,79,35,1,0
Upton,3,President,,Donald Trump,REP,209,160,36,13,0
Upton,4,President,,Donald Trump,REP,255,177,66,6,6
Upton,5,President,,Donald Trump,REP,58,10,46,1,1
Upton,6,President,,Donald Trump,REP,124,92,23,6,3
Upton,Total,President,,Donald Trump,REP,1007,697,264,35,11
Upton,1,President,,Hillary Clinton,DEM,44,29,11,4,0
Upton,2,President,,Hillary Clinton,DEM,25,11,11,2,1
Upton,3,President,,Hillary Clinton,DEM,107,64,31,12,0
Upton,4,President,,Hillary Clinton,DEM,57,31,23,3,0
Upton,5,President,,Hillary Clinton,DEM,11,3,8,0,0
Upton,6,President,,Hillary Clinton,DEM,42,25,15,1,1
Upton,Total,President,,Hillary Clinton,DEM,286,163,99,22,2
Upton,1,President,,Gary Johnson,LIB,15,13,2,0,0
Upton,2,President,,Gary Johnson,LIB,9,6,3,0,0
