county,precinct,office,district,candidate,party,votes,early_votes,election_day
Runnels,1,Straight Party,,Republican Party,REP,73,49,24
Runnels,1,Straight Party,,Democratic Party,DEM,18,13,5
Runnels,1,Straight Party,,Libertarian Party,LIB,1,0,1
Runnels,1,Straight Party,,Green Party,GRN,0,0,0
Runnels,1,President and Vice President,,Donald J. Trump / Mike Pence,REP,111,73,38
Runnels,1,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,36,21,15
Runnels,1,President and Vice President,,Gary Johnson / William Weld,LIB,2,1,1
Runnels,1,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,1,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,1,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,1,U.S. House,11,Mike Conaway,REP,118,77,41
Runnels,1,U.S. House,11,Nicholas Landholt,LIB,13,8,5
Runnels,1,Railroad Commissioner,,Wayne Christian,REP,103,74,29
Runnels,1,Railroad Commissioner,,Grady Yarbrough,DEM,26,16,10
Runnels,1,Railroad Commissioner,,Mark Miller,LIB,3,0,3
Runnels,1,Railroad Commissioner,,Martina Salinas,GRN,7,3,4
Runnels,1,State Senate,28,Charles Perry,REP,116,76,40
Runnels,1,State Representative,72,Drew Darby,REP,120,78,42
Runnels,2,Straight Party,,Republican Party,REP,63,43,20
Runnels,2,Straight Party,,Democratic Party,DEM,15,9,6
Runnels,2,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,2,Straight Party,,Green Party,GRN,0,0,0
Runnels,2,President and Vice President,,Donald J. Trump / Mike Pence,REP,101,64,37
Runnels,2,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,23,14,9
Runnels,2,President and Vice President,,Gary Johnson / William Weld,LIB,2,1,1
Runnels,2,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,2,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,2,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,2,U.S. House,11,Mike Conaway,REP,102,68,34
Runnels,2,U.S. House,11,Nicholas Landholt,LIB,10,7,3
Runnels,2,Railroad Commissioner,,Wayne Christian,REP,91,60,31
Runnels,2,Railroad Commissioner,,Grady Yarbrough,DEM,23,14,9
Runnels,2,Railroad Commissioner,,Mark Miller,LIB,8,4,4
Runnels,2,Railroad Commissioner,,Martina Salinas,GRN,1,1,0
Runnels,2,State Senate,28,Charles Perry,REP,109,72,37
Runnels,2,State Representative,72,Drew Darby,REP,110,72,38
Runnels,3,Straight Party,,Republican Party,REP,237,178,59
Runnels,3,Straight Party,,Democratic Party,DEM,27,20,7
Runnels,3,Straight Party,,Libertarian Party,LIB,4,1,3
Runnels,3,Straight Party,,Green Party,GRN,0,0,0
Runnels,3,President and Vice President,,Donald J. Trump / Mike Pence,REP,395,280,115
Runnels,3,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,47,33,14
Runnels,3,President and Vice President,,Gary Johnson / William Weld,LIB,7,2,5
Runnels,3,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,1,0,1
Runnels,3,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,3,President and Vice President,,EVAN MCMULLIN,,1,1,0
Runnels,3,U.S. House,11,Mike Conaway,REP,404,287,117
Runnels,3,U.S. House,11,Nicholas Landholt,LIB,25,15,10
Runnels,3,Railroad Commissioner,,Wayne Christian,REP,360,260,100
Runnels,3,Railroad Commissioner,,Grady Yarbrough,DEM,56,37,19
Runnels,3,Railroad Commissioner,,Mark Miller,LIB,14,7,7
Runnels,3,Railroad Commissioner,,Martina Salinas,GRN,8,5,3
Runnels,3,State Senate,28,Charles Perry,REP,388,278,110
Runnels,3,State Representative,72,Drew Darby,REP,405,289,116
Runnels,4,Straight Party,,Republican Party,REP,6,5,1
Runnels,4,Straight Party,,Democratic Party,DEM,0,0,0
Runnels,4,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,4,Straight Party,,Green Party,GRN,0,0,0
Runnels,4,President and Vice President,,Donald J. Trump / Mike Pence,REP,16,15,1
Runnels,4,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,0,0,0
Runnels,4,President and Vice President,,Gary Johnson / William Weld,LIB,1,1,0
Runnels,4,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,4,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,4,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,4,U.S. House,11,Mike Conaway,REP,12,11,1
Runnels,4,U.S. House,11,Nicholas Landholt,LIB,1,1,0
Runnels,4,Railroad Commissioner,,Wayne Christian,REP,10,9,1
Runnels,4,Railroad Commissioner,,Grady Yarbrough,DEM,0,0,0
Runnels,4,Railroad Commissioner,,Mark Miller,LIB,2,2,0
Runnels,4,Railroad Commissioner,,Martina Salinas,GRN,1,1,0
Runnels,4,State Senate,28,Charles Perry,REP,9,8,1
Runnels,4,State Representative,72,Drew Darby,REP,9,8,1
Runnels,5,Straight Party,,Republican Party,REP,1,1,0
Runnels,5,Straight Party,,Democratic Party,DEM,0,0,0
Runnels,5,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,5,Straight Party,,Green Party,GRN,0,0,0
Runnels,5,President and Vice President,,Donald J. Trump / Mike Pence,REP,1,1,0
Runnels,5,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,0,0,0
Runnels,5,President and Vice President,,Gary Johnson / William Weld,LIB,0,0,0
Runnels,5,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,5,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,5,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,5,U.S. House,11,Mike Conaway,REP,3,3,0
Runnels,5,U.S. House,11,Nicholas Landholt,LIB,0,0,0
Runnels,5,Railroad Commissioner,,Wayne Christian,REP,1,1,0
Runnels,5,Railroad Commissioner,,Grady Yarbrough,DEM,2,2,0
Runnels,5,Railroad Commissioner,,Mark Miller,LIB,0,0,0
Runnels,5,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Runnels,5,State Senate,28,Charles Perry,REP,3,3,0
Runnels,5,State Representative,72,Drew Darby,REP,3,3,0
Runnels,6,Straight Party,,Republican Party,REP,25,17,8
Runnels,6,Straight Party,,Democratic Party,DEM,7,5,2
Runnels,6,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,6,Straight Party,,Green Party,GRN,0,0,0
Runnels,6,President and Vice President,,Donald J. Trump / Mike Pence,REP,48,37,11
Runnels,6,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,7,6,1
Runnels,6,President and Vice President,,Gary Johnson / William Weld,LIB,1,0,1
Runnels,6,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,1,1,0
Runnels,6,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,6,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,6,U.S. House,11,Mike Conaway,REP,49,36,13
Runnels,6,U.S. House,11,Nicholas Landholt,LIB,5,4,1
Runnels,6,Railroad Commissioner,,Wayne Christian,REP,45,33,12
Runnels,6,Railroad Commissioner,,Grady Yarbrough,DEM,8,7,1
Runnels,6,Railroad Commissioner,,Mark Miller,LIB,1,0,1
Runnels,6,Railroad Commissioner,,Martina Salinas,GRN,1,1,0
Runnels,6,State Senate,28,Charles Perry,REP,45,34,11
Runnels,6,State Representative,72,Drew Darby,REP,44,33,11
Runnels,7,Straight Party,,Republican Party,REP,5,5,0
Runnels,7,Straight Party,,Democratic Party,DEM,4,0,4
Runnels,7,Straight Party,,Libertarian Party,LIB,0,0,0
Runnels,7,Straight Party,,Green Party,GRN,1,0,1
Runnels,7,President and Vice President,,Donald J. Trump / Mike Pence,REP,13,9,4
Runnels,7,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,4,0,4
Runnels,7,President and Vice President,,Gary Johnson / William Weld,LIB,2,0,2
Runnels,7,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Runnels,7,President and Vice President,,DARREL L. CASTLE,,0,0,0
Runnels,7,President and Vice President,,EVAN MCMULLIN,,0,0,0
Runnels,7,U.S. House,11,Mike Conaway,REP,17,9,8
Runnels,7,U.S. House,11,Nicholas Landholt,LIB,2,0,2
Runnels,7,Railroad Commissioner,,Wayne Christian,REP,11,8,3
Runnels,7,Railroad Commissioner,,Grady Yarbrough,DEM,4,0,4
Runnels,7,Railroad Commissioner,,Mark Miller,LIB,1,0,1
Runnels,7,Railroad Commissioner,,Martina Salinas,GRN,1,0,1
Runnels,7,State Senate,28,Charles Perry,REP,16,8,8
Runnels,7,State Representative,72,Drew Darby,REP,17,9,8
Runnels,8,Straight Party,,Republican Party,REP,456,183,273
Runnels,8,Straight Party,,Democratic Party,DEM,60,21,39
Runnels,8,Straight Party,,Libertarian Party,LIB,4,0,4
Runnels,8,Straight Party,,Green Party,GRN,0,0,0
Runnels,8,President and Vice President,,Donald J. Trump / Mike Pence,REP,661,276,385
Runnels,8,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,96,37,59
