county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee
Mitchell,0001,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1122,0,0,0,0
Mitchell,0002,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,286,0,0,0,0
Mitchell,0025,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,748,0,0,0,0
Mitchell,0003,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1086,0,0,0,0
Mitchell,0004,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,691,0,0,0,0
Mitchell,0046,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,486,0,0,0,0
Mitchell,0001,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,367,137,230,0,0
Mitchell,0002,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,116,20,96,0,0
Mitchell,0025,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,168,62,106,0,0
Mitchell,0003,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,388,165,223,0,0
Mitchell,0004,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,211,39,172,0,0
Mitchell,0046,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,170,75,93,0,2
Mitchell,0001,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,329,127,202,0,0
Mitchell,0002,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,110,20,90,0,0
Mitchell,0025,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,140,57,83,0,0
Mitchell,0003,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,353,151,202,0,0
Mitchell,0004,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,179,34,145,0,0
Mitchell,0046,BALLOTS CAST - REPUBLICAN PARTY,,REP,BALLOTS CAST - REPUBLICAN PARTY,149,67,82,0,0
