county,precinct,office,district,candidate,party,votes,early_votes_650,early_votes_ivo,election_day_650,election_day_ivo
Polk,1,Registered Voters,,,,402,,,,
Polk,2,Registered Voters,,,,544,,,,
Polk,3,Registered Voters,,,,1856,,,,
Polk,4,Registered Voters,,,,574,,,,
Polk,5,Registered Voters,,,,722,,,,
Polk,6,Registered Voters,,,,4745,,,,
Polk,7,Registered Voters,,,,743,,,,
Polk,8,Registered Voters,,,,1138,,,,
Polk,9,Registered Voters,,,,817,,,,
Polk,10,Registered Voters,,,,2422,,,,
Polk,11,Registered Voters,,,,385,,,,
Polk,12,Registered Voters,,,,335,,,,
Polk,13,Registered Voters,,,,408,,,,
Polk,14,Registered Voters,,,,1024,,,,
Polk,15,Registered Voters,,,,1155,,,,
Polk,16,Registered Voters,,,,4351,,,,
Polk,17,Registered Voters,,,,1239,,,,
Polk,18,Registered Voters,,,,761,,,,
Polk,19,Registered Voters,,,,5291,,,,
Polk,20,Registered Voters,,,,5333,,,,
Polk,21,Registered Voters,,,,1288,,,,
Polk,Total,Registered Voters,,,,35533,,,,
Polk,1,Ballots Cast,,,,209,88,12,103,6
Polk,2,Ballots Cast,,,,283,16,119,37,111
Polk,3,Ballots Cast,,,,943,60,492,75,316
Polk,4,Ballots Cast,,,,875,62,609,11,193
Polk,5,Ballots Cast,,,,1557,135,1027,14,381
Polk,6,Ballots Cast,,,,2646,144,2020,27,455
Polk,7,Ballots Cast,,,,404,37,274,7,86
Polk,8,Ballots Cast,,,,558,66,253,87,152
Polk,9,Ballots Cast,,,,448,36,227,28,157
Polk,10,Ballots Cast,,,,1196,176,624,86,310
Polk,11,Ballots Cast,,,,207,14,110,40,43
Polk,12,Ballots Cast,,,,109,1,7,52,49
Polk,13,Ballots Cast,,,,268,20,80,27,141
Polk,14,Ballots Cast,,,,539,51,175,155,158
Polk,15,Ballots Cast,,,,608,37,330,16,225
Polk,16,Ballots Cast,,,,2409,257,1555,137,460
Polk,17,Ballots Cast,,,,678,31,466,26,155
Polk,18,Ballots Cast,,,,325,34,156,91,44
Polk,19,Ballots Cast,,,,2497,195,327,97,123
Polk,20,Ballots Cast,,,,2568,1932,375,49,212
Polk,21,Ballots Cast,,,,699,49,464,3,183
Polk,Total,Ballots Cast,,,,20026,3441,9702,1168,3960
Polk,1,Straight Party,,,REP,95,43,4,45,3
Polk,2,Straight Party,,,REP,154,11,68,18,57
Polk,3,Straight Party,,,REP,391,23,220,23,125
Polk,4,Straight Party,,,REP,364,20,262,0,82
Polk,5,Straight Party,,,REP,699,73,458,0,168
Polk,6,Straight Party,,,REP,1412,75,1092,4,241
Polk,7,Straight Party,,,REP,125,12,82,0,31
Polk,8,Straight Party,,,REP,195,21,98,21,55
Polk,9,Straight Party,,,REP,204,20,113,5,66
Polk,10,Straight Party,,,REP,468,65,269,24,110
Polk,11,Straight Party,,,REP,82,4,48,12,18
Polk,12,Straight Party,,,REP,14,0,0,9,5
Polk,13,Straight Party,,,REP,136,6,45,12,73
Polk,14,Straight Party,,,REP,237,23,95,57,62
Polk,15,Straight Party,,,REP,292,18,148,7,119
Polk,16,Straight Party,,,REP,903,94,605,46,158
Polk,17,Straight Party,,,REP,307,9,209,8,81
Polk,18,Straight Party,,,REP,57,8,34,7,8
Polk,19,Straight Party,,,REP,1113,903,142,23,45
Polk,20,Straight Party,,,REP,1214,913,198,8,95
Polk,21,Straight Party,,,REP,255,28,168,0,59
Polk,Total,Straight Party,,,REP,8717,2369,4358,329,1661
Polk,1,Straight Party,,,DEM,9,1,3,5,0
Polk,2,Straight Party,,,DEM,20,0,4,7,9
Polk,3,Straight Party,,,DEM,139,3,59,20,57
Polk,4,Straight Party,,,DEM,96,11,61,1,23
Polk,5,Straight Party,,,DEM,146,8,99,0,39
Polk,6,Straight Party,,,DEM,233,13,187,1,32
Polk,7,Straight Party,,,DEM,42,2,28,0,12
Polk,8,Straight Party,,,DEM,115,20,29,30,36
Polk,9,Straight Party,,,DEM,83,6,23,9,45
Polk,10,Straight Party,,,DEM,294,40,118,25,111
Polk,11,Straight Party,,,DEM,30,4,16,5,5
Polk,12,Straight Party,,,DEM,23,1,0,11,11
Polk,13,Straight Party,,,DEM,8,1,4,0,3
Polk,14,Straight Party,,,DEM,47,3,10,12,22
Polk,15,Straight Party,,,DEM,33,3,20,1,9
Polk,16,Straight Party,,,DEM,141,23,71,11,36
Polk,17,Straight Party,,,DEM,64,2,39,3,20
Polk,18,Straight Party,,,DEM,135,11,53,50,21
Polk,19,Straight Party,,,DEM,307,240,50,8,9
Polk,20,Straight Party,,,DEM,289,240,36,0,13
Polk,21,Straight Party,,,DEM,73,4,33,0,36
Polk,Total,Straight Party,,,DEM,2327,636,943,199,549
Polk,1,Straight Party,,,LIB,1,1,0,0,0
Polk,2,Straight Party,,,LIB,1,0,0,0,1
Polk,3,Straight Party,,,LIB,2,0,1,0,1
Polk,4,Straight Party,,,LIB,5,1,1,0,3
Polk,5,Straight Party,,,LIB,3,0,1,0,2
Polk,6,Straight Party,,,LIB,8,0,5,0,3
Polk,7,Straight Party,,,LIB,1,0,1,0,0
Polk,8,Straight Party,,,LIB,4,0,2,0,2
Polk,9,Straight Party,,,LIB,0,0,0,0,0
Polk,10,Straight Party,,,LIB,2,1,0,1,0
Polk,11,Straight Party,,,LIB,0,0,0,0,0
Polk,12,Straight Party,,,LIB,1,0,0,1,0
Polk,13,Straight Party,,,LIB,3,0,0,0,3
Polk,14,Straight Party,,,LIB,3,0,2,1,0
Polk,15,Straight Party,,,LIB,3,0,3,0,0
Polk,16,Straight Party,,,LIB,7,1,5,0,1
Polk,17,Straight Party,,,LIB,5,0,4,0,1
Polk,18,Straight Party,,,LIB,4,0,0,1,3
Polk,19,Straight Party,,,LIB,12,8,2,1,1
Polk,20,Straight Party,,,LIB,11,7,1,0,3
Polk,21,Straight Party,,,LIB,3,0,2,0,1
Polk,Total,Straight Party,,,LIB,79,19,30,5,25
Polk,1,Straight Party,,,GRN,0,0,0,0,0
Polk,2,Straight Party,,,GRN,0,0,0,0,0
Polk,3,Straight Party,,,GRN,4,0,0,1,3
Polk,4,Straight Party,,,GRN,2,0,2,0,0
Polk,5,Straight Party,,,GRN,3,1,0,0,2
Polk,6,Straight Party,,,GRN,6,0,3,0,3
Polk,7,Straight Party,,,GRN,1,0,1,0,0
Polk,8,Straight Party,,,GRN,1,0,0,0,1
Polk,9,Straight Party,,,GRN,1,0,1,0,0
Polk,10,Straight Party,,,GRN,4,0,2,1,1
Polk,11,Straight Party,,,GRN,0,0,0,0,0
Polk,12,Straight Party,,,GRN,1,0,0,0,1
Polk,13,Straight Party,,,GRN,1,0,1,0,0
Polk,14,Straight Party,,,GRN,3,0,0,2,1
Polk,15,Straight Party,,,GRN,1,1,0,0,0
Polk,16,Straight Party,,,GRN,5,0,3,0,2
Polk,17,Straight Party,,,GRN,0,0,0,0,0
Polk,18,Straight Party,,,GRN,0,0,0,0,0
Polk,19,Straight Party,,,GRN,4,4,0,0,0
Polk,20,Straight Party,,,GRN,3,3,0,0,0
Polk,21,Straight Party,,,GRN,2,0,0,0,2
Polk,Total,Straight Party,,,GRN,42,9,13,4,16
Polk,1,Straight Party,,Over Votes,,0,0,0,0,0
Polk,2,Straight Party,,Over Votes,,0,0,0,0,0
Polk,3,Straight Party,,Over Votes,,0,0,0,0,0
Polk,4,Straight Party,,Over Votes,,0,0,0,0,0
Polk,5,Straight Party,,Over Votes,,0,0,0,0,0
Polk,6,Straight Party,,Over Votes,,0,0,0,0,0
Polk,7,Straight Party,,Over Votes,,0,0,0,0,0
Polk,8,Straight Party,,Over Votes,,0,0,0,0,0
Polk,9,Straight Party,,Over Votes,,0,0,0,0,0
Polk,10,Straight Party,,Over Votes,,0,0,0,0,0
Polk,11,Straight Party,,Over Votes,,0,0,0,0,0
