county,precinct,office,district,party,candidate,votes,early_votes,election_day
Martin,1,President,,REPUBLICAN PARTY,Chris Christie,1,0,1
Martin,1,President,,REPUBLICAN PARTY,Rick Santorum,0,0,0
Martin,1,President,,REPUBLICAN PARTY,Carly Fiorina,0,0,0
Martin,1,President,,REPUBLICAN PARTY,John R. Kasich,3,1,2
Martin,1,President,,REPUBLICAN PARTY,Mike Huckabee,1,1,0
Martin,1,President,,REPUBLICAN PARTY,Lindsey Graham,0,0,0
Martin,1,President,,REPUBLICAN PARTY,Jeb Bush,1,1,0
Martin,1,President,,REPUBLICAN PARTY,Donald J. Trump,44,21,23
Martin,1,President,,REPUBLICAN PARTY,Rand Paul,0,0,0
Martin,1,President,,REPUBLICAN PARTY,Elizabeth Gray,0,0,0
Martin,1,President,,REPUBLICAN PARTY,Marco Rubio,22,3,19
Martin,1,President,,REPUBLICAN PARTY,Ted Cruz,95,31,64
Martin,1,President,,REPUBLICAN PARTY,Ben Carson,8,4,4
Martin,1,President,,REPUBLICAN PARTY,Uncommitted,1,0,1
Martin,1,U.S. House,11,REPUBLICAN PARTY,Mike Conaway,143,46,97
Martin,1,Railroad Commissioner,,REPUBLICAN PARTY,Lance N. Christian,20,9,11
Martin,1,Railroad Commissioner,,REPUBLICAN PARTY,Gary Gates,30,15,15
Martin,1,Railroad Commissioner,,REPUBLICAN PARTY,Ron Hale,26,8,18
Martin,1,Railroad Commissioner,,REPUBLICAN PARTY,Weston Martinez,21,6,15
Martin,1,Railroad Commissioner,,REPUBLICAN PARTY,Wayne Christian,16,9,7
Martin,1,Railroad Commissioner,,REPUBLICAN PARTY,Doug Jeffrey,10,1,9
Martin,1,Railroad Commissioner,,REPUBLICAN PARTY,John Greytok,9,4,5
Martin,1,"Justice, Supreme Court, Place 3",,REPUBLICAN PARTY,Debra Lehrmann,74,33,41
Martin,1,"Justice, Supreme Court, Place 3",,REPUBLICAN PARTY,Michael Massengale,65,19,46
Martin,1,"Justice, Supreme Court, Place 5",,REPUBLICAN PARTY,Rick Green,79,28,51
Martin,1,"Justice, Supreme Court, Place 5",,REPUBLICAN PARTY,Paul Green,50,20,30
Martin,1,"Justice, Supreme Court, Place 9",,REPUBLICAN PARTY,Eva Guzman,66,27,39
Martin,1,"Justice, Supreme Court, Place 9",,REPUBLICAN PARTY,Joe Pool,73,25,48
Martin,1,"Judge, Court of Criminal Appeals, Place 2",,REPUBLICAN PARTY,Chris Oldner,48,15,33
Martin,1,"Judge, Court of Criminal Appeals, Place 2",,REPUBLICAN PARTY,Ray Wheless,26,11,15
Martin,1,"Judge, Court of Criminal Appeals, Place 2",,REPUBLICAN PARTY,Mary Lou Keel,47,17,30
Martin,1,"Judge, Court of Criminal Appeals, Place 5",,REPUBLICAN PARTY,Scott Walker,72,22,50
Martin,1,"Judge, Court of Criminal Appeals, Place 5",,REPUBLICAN PARTY,Brent Webster,17,7,10
Martin,1,"Judge, Court of Criminal Appeals, Place 5",,REPUBLICAN PARTY,Sid Harle,9,2,7
Martin,1,"Judge, Court of Criminal Appeals, Place 5",,REPUBLICAN PARTY,Steve Smith,25,11,14
Martin,1,"Judge, Court of Criminal Appeals, Place 6",,REPUBLICAN PARTY,Michael E. Keasler,73,20,53
Martin,1,"Judge, Court of Criminal Appeals, Place 6",,REPUBLICAN PARTY,Richard Davis,45,20,25
Martin,1,"Member, State Board of Education",15,REPUBLICAN PARTY,Marty Rowley,114,36,78
Martin,1,State Representative,82,REPUBLICAN PARTY,Tom Craddick,125,46,79
Martin,1,"Justice, 11th Court of Appeals District, Place 3",,REPUBLICAN PARTY,John Bailey,122,40,82
Martin,1,"District Attorney, 118th Judicial District",,REPUBLICAN PARTY,Hardy L. Wilkerson,131,45,86
Martin,1,County Attorney,,REPUBLICAN PARTY,James J. Napper,143,52,91
Martin,1,Sheriff,,REPUBLICAN PARTY,"James B. ""Brad"" Ingram",145,54,91
Martin,1,Tax Assessor-Collector,,REPUBLICAN PARTY,Kathy Hull,157,58,99
Martin,1,"County Commissioner, Precinct No. 1",,REPUBLICAN PARTY,Kenny Stewart,147,53,94
Martin,1,County Chairman,,REPUBLICAN PARTY,John F. Campbell,144,53,91
Martin,1,President,,DEMOCRATIC PARTY,Martin J. O'Malley,1,1,0
Martin,1,President,,DEMOCRATIC PARTY,Keith Judd,1,0,1
Martin,1,President,,DEMOCRATIC PARTY,Bernie Sanders,5,1,4
Martin,1,President,,DEMOCRATIC PARTY,Star Locke,0,0,0
Martin,1,President,,DEMOCRATIC PARTY,Willie L. Wilson,0,0,0
Martin,1,President,,DEMOCRATIC PARTY,"Roque ""Rocky"" De La Fuente",0,0,0
Martin,1,President,,DEMOCRATIC PARTY,Calvis L. Hawes,0,0,0
Martin,1,President,,DEMOCRATIC PARTY,Hillary Clinton,9,5,4
Martin,1,Railroad Commissioner,,DEMOCRATIC PARTY,Grady Yarbrough,7,5,2
Martin,1,Railroad Commissioner,,DEMOCRATIC PARTY,Cody Garrett,4,1,3
Martin,1,Railroad Commissioner,,DEMOCRATIC PARTY,Lon Burnam,2,0,2
Martin,1,"Justice, Supreme Court, Place 3",,DEMOCRATIC PARTY,Mike Westergren,14,6,8
Martin,1,"Justice, Supreme Court, Place 5",,DEMOCRATIC PARTY,Dori Contreras Garza,14,6,8
Martin,1,"Justice, Supreme Court, Place 9",,DEMOCRATIC PARTY,Savannah Robinson,13,5,8
Martin,1,"Judge, Court of Criminal Appeals, Place 2",,DEMOCRATIC PARTY,"Lawrence ""Larry"" Meyers",13,5,8
Martin,1,"Judge, Court of Criminal Appeals, Place 5",,DEMOCRATIC PARTY,Betsy Johnson,13,5,8
Martin,1,"Judge, Court of Criminal Appeals, Place 6",,DEMOCRATIC PARTY,Robert Burns,13,5,8
Martin,1,REFERENDA ITEM #1,,DEMOCRATIC PARTY,For,13,5,8
Martin,1,REFERENDA ITEM #1,,DEMOCRATIC PARTY,Against,0,0,0
Martin,1,REFERENDA ITEM #2,,DEMOCRATIC PARTY,For,12,4,8
Martin,1,REFERENDA ITEM #2,,DEMOCRATIC PARTY,Against,1,1,0
Martin,1,REFERENDA ITEM #3,,DEMOCRATIC PARTY,For,10,3,7
Martin,1,REFERENDA ITEM #3,,DEMOCRATIC PARTY,Against,3,2,1
Martin,1,REFERENDA ITEM #4,,DEMOCRATIC PARTY,For,13,5,8
Martin,1,REFERENDA ITEM #4,,DEMOCRATIC PARTY,Against,0,0,0
Martin,1,REFERENDA ITEM #5,,DEMOCRATIC PARTY,For,9,3,6
Martin,1,REFERENDA ITEM #5,,DEMOCRATIC PARTY,Against,3,1,2
Martin,1,REFERENDA ITEM #6,,DEMOCRATIC PARTY,For,12,5,7
Martin,1,REFERENDA ITEM #6,,DEMOCRATIC PARTY,Against,1,0,1
Martin,1,Proposition 1,,REPUBLICAN PARTY,YES,121,44,77
Martin,1,Proposition 1,,REPUBLICAN PARTY,NO,41,15,26
Martin,1,Proposition 2,,REPUBLICAN PARTY,YES,99,33,66
Martin,1,Proposition 2,,REPUBLICAN PARTY,NO,63,26,37
Martin,1,Proposition 3,,REPUBLICAN PARTY,YES,131,45,86
Martin,1,Proposition 3,,REPUBLICAN PARTY,NO,30,12,18
Martin,1,Proposition 4,,REPUBLICAN PARTY,YES,155,54,101
Martin,1,Proposition 4,,REPUBLICAN PARTY,NO,8,4,4
Martin,2,President,,REPUBLICAN PARTY,Chris Christie,0,0,0
Martin,2,President,,REPUBLICAN PARTY,Rick Santorum,0,0,0
Martin,2,President,,REPUBLICAN PARTY,Carly Fiorina,0,0,0
Martin,2,President,,REPUBLICAN PARTY,John R. Kasich,0,0,0
Martin,2,President,,REPUBLICAN PARTY,Mike Huckabee,0,0,0
Martin,2,President,,REPUBLICAN PARTY,Lindsey Graham,0,0,0
Martin,2,President,,REPUBLICAN PARTY,Jeb Bush,2,0,2
Martin,2,President,,REPUBLICAN PARTY,Donald J. Trump,22,9,13
Martin,2,President,,REPUBLICAN PARTY,Rand Paul,0,0,0
Martin,2,President,,REPUBLICAN PARTY,Elizabeth Gray,0,0,0
Martin,2,President,,REPUBLICAN PARTY,Marco Rubio,14,4,10
