County,Precinct,Office,District,Party,Candidate,election_day,early_votes,votes
Bowie,1A/4E,President,,Rep,Donald Trump,23,55,78
Bowie,1B,President,,Rep,Donald Trump,76,103,179
Bowie,2A,President,,Rep,Donald Trump,49,92,141
Bowie,2B/4D/5A,President,,Rep,Donald Trump,80,92,172
Bowie,2C,President,,Rep,Donald Trump,29,62,91
Bowie,3A,President,,Rep,Donald Trump,246,344,590
Bowie,3B,President,,Rep,Donald Trump,80,139,219
Bowie,4B,President,,Rep,Donald Trump,203,467,670
Bowie,4C/4A/2D/5B,President,,Rep,Donald Trump,144,267,411
Bowie,5C,President,,Rep,Donald Trump,863,1470,2333
Bowie,6A,President,,Rep,Donald Trump,401,630,1031
Bowie,6B,President,,Rep,Donald Trump,503,730,1233
Bowie,7,President,,Rep,Donald Trump,653,902,1555
Bowie,8A,President,,Rep,Donald Trump,79,91,170
Bowie,8B,President,,Rep,Donald Trump,674,851,1525
Bowie,8C,President,,Rep,Donald Trump,400,278,678
Bowie,9,President,,Rep,Donald Trump,542,583,1125
Bowie,10,President,,Rep,Donald Trump,344,732,1076
Bowie,11,President,,Rep,Donald Trump,591,895,1486
Bowie,12,President,,Rep,Donald Trump,729,605,1334
Bowie,13/30,President,,Rep,Donald Trump,386,477,863
Bowie,14,President,,Rep,Donald Trump,316,1082,1398
Bowie,15,President,,Rep,Donald Trump,112,184,296
Bowie,16,President,,Rep,Donald Trump,492,325,817
Bowie,17,President,,Rep,Donald Trump,596,396,992
Bowie,18,President,,Rep,Donald Trump,366,930,1296
Bowie,19,President,,Rep,Donald Trump,175,301,476
Bowie,20,President,,Rep,Donald Trump,127,121,248
Bowie,21,President,,Rep,Donald Trump,96,47,143
Bowie,22,President,,Rep,Donald Trump,107,92,199
Bowie,25/24,President,,Rep,Donald Trump,491,475,966
Bowie,27,President,,Rep,Donald Trump,247,163,410
Bowie,28,President,,Rep,Donald Trump,269,231,500
Bowie,29,President,,Rep,Donald Trump,120,92,212
Bowie,Late,President,,Rep,Donald Trump,0,11,11
Bowie,Total,President,,Rep,Donald Trump,10609,14315,24924
Bowie,1A/4E,President,,Dem,Hillary Clinton,221,226,447
Bowie,1B,President,,Dem,Hillary Clinton,151,245,396
Bowie,2A,President,,Dem,Hillary Clinton,163,276,439
Bowie,2B/4D/5A,President,,Dem,Hillary Clinton,83,111,194
Bowie,2C,President,,Dem,Hillary Clinton,196,288,484
Bowie,3A,President,,Dem,Hillary Clinton,102,185,287
Bowie,3B,President,,Dem,Hillary Clinton,112,131,243
Bowie,4B,President,,Dem,Hillary Clinton,106,221,327
Bowie,4C/4A/2D/5B,President,,Dem,Hillary Clinton,150,258,408
Bowie,5C,President,,Dem,Hillary Clinton,183,442,625
Bowie,6A,President,,Dem,Hillary Clinton,98,243,341
Bowie,6B,President,,Dem,Hillary Clinton,123,158,281
Bowie,7,President,,Dem,Hillary Clinton,257,464,721
Bowie,8A,President,,Dem,Hillary Clinton,119,143,262
Bowie,8B,President,,Dem,Hillary Clinton,145,267,412
Bowie,8C,President,,Dem,Hillary Clinton,59,87,146
Bowie,9,President,,Dem,Hillary Clinton,183,280,463
Bowie,10,President,,Dem,Hillary Clinton,76,153,229
Bowie,11,President,,Dem,Hillary Clinton,72,122,194
Bowie,12,President,,Dem,Hillary Clinton,62,105,167
Bowie,13/30,President,,Dem,Hillary Clinton,62,146,208
Bowie,14,President,,Dem,Hillary Clinton,132,357,489
Bowie,15,President,,Dem,Hillary Clinton,17,23,40
Bowie,16,President,,Dem,Hillary Clinton,52,38,90
Bowie,17,President,,Dem,Hillary Clinton,70,73,143
