county,precinct,office,district,party,candidate,votes,early_votes,election_day
LaSalle,1,President,,REP,Carly Fiorina,0,0,0
LaSalle,1,President,,REP,Rick Santorum,0,0,0
LaSalle,1,President,,REP,Elizabeth Gray,0,0,0
LaSalle,1,President,,REP,Ted Cruz,42,12,30
LaSalle,1,President,,REP,Lindsey Graham,0,0,0
LaSalle,1,President,,REP,Mike Huckabee,0,0,0
LaSalle,1,President,,REP,Jeb Bush,1,1,0
LaSalle,1,President,,REP,Chris Christie,0,0,0
LaSalle,1,President,,REP,John R. Kasich,1,0,1
LaSalle,1,President,,REP,Donald J. Trump,32,13,19
LaSalle,1,President,,REP,Marco Rubio,13,1,12
LaSalle,1,President,,REP,Ben Carson,2,1,1
LaSalle,1,President,,REP,Rand Paul,0,0,0
LaSalle,1,President,,REP,Uncommitted,2,1,1
LaSalle,1,U.S. House,23,REP,"William ""Hart"" Peterson",26,7,19
LaSalle,1,U.S. House,23,REP,Will Hurd,54,20,34
LaSalle,1,Railroad Commissioner,,REP,Ron Hale,15,9,6
LaSalle,1,Railroad Commissioner,,REP,Gary Gates,18,4,14
LaSalle,1,Railroad Commissioner,,REP,John Greytok,5,1,4
LaSalle,1,Railroad Commissioner,,REP,Lance N. Christian,6,2,4
LaSalle,1,Railroad Commissioner,,REP,Doug Jeffrey,7,2,5
LaSalle,1,Railroad Commissioner,,REP,Wayne Christian,18,7,11
LaSalle,1,Railroad Commissioner,,REP,Weston Martinez,7,1,6
LaSalle,1,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,46,12,34
LaSalle,1,"Justice, Supreme Court, Place 3",,REP,Michael Massengale,31,13,18
LaSalle,1,"Justice, Supreme Court, Place 5",,REP,Rick Green,46,14,32
LaSalle,1,"Justice, Supreme Court, Place 5",,REP,Paul Green,27,9,18
LaSalle,1,"Justice, Supreme Court, Place 9",,REP,Joe Pool,46,14,32
LaSalle,1,"Justice, Supreme Court, Place 9",,REP,Eva Guzman,32,11,21
LaSalle,1,"Judge, Court of Criminal Appeals, Place 2",,REP,Mary Lou Keel,38,11,27
LaSalle,1,"Judge, Court of Criminal Appeals, Place 2",,REP,Ray Wheless,25,7,18
LaSalle,1,"Judge, Court of Criminal Appeals, Place 2",,REP,Chris Oldner,10,5,5
LaSalle,1,"Judge, Court of Criminal Appeals, Place 5",,REP,Brent Webster,14,3,11
LaSalle,1,"Judge, Court of Criminal Appeals, Place 5",,REP,Sid Harle,6,1,5
