county,precinct,office,district,candidate,party,early voting,election day,votes
Refugio,PCT 1,Early Voting Ballots Cast,,,,,,164
Refugio,PCT 1A,Early Voting Ballots Cast,,,,,,165
Refugio,PCT 2,Early Voting Ballots Cast,,,,,,376
Refugio,PCT 2A,Early Voting Ballots Cast,,,,,,73
Refugio,PCT 2B,Early Voting Ballots Cast,,,,,,100
Refugio,PCT 3,Early Voting Ballots Cast,,,,,,324
Refugio,PCT 3A,Early Voting Ballots Cast,,,,,,308
Refugio,PCT 4,Early Voting Ballots Cast,,,,,,149
Refugio,PCT 4A,Early Voting Ballots Cast,,,,,,49
Refugio,PCT 4B,Early Voting Ballots Cast,,,,,,33
Refugio,Total,Early Voting Ballots Cast,,,,,,1741
Refugio,PCT 1,Election Day Ballots Cast,,,,,,87
Refugio,PCT 1A,Election Day Ballots Cast,,,,,,162
Refugio,PCT 2,Election Day Ballots Cast,,,,,,236
Refugio,PCT 2A,Election Day Ballots Cast,,,,,,57
Refugio,PCT 2B,Election Day Ballots Cast,,,,,,112
Refugio,PCT 3,Election Day Ballots Cast,,,,,,146
Refugio,PCT 3A,Election Day Ballots Cast,,,,,,141
Refugio,PCT 4,Election Day Ballots Cast,,,,,,91
Refugio,PCT 4A,Election Day Ballots Cast,,,,,,179
Refugio,PCT 4B,Election Day Ballots Cast,,,,,,70
Refugio,Total,Election Day Ballots Cast,,,,,,1281
Refugio,PCT 1,Ballots Cast,,,,,,251
Refugio,PCT 1A,Ballots Cast,,,,,,327
Refugio,PCT 2,Ballots Cast,,,,,,612
Refugio,PCT 2A,Ballots Cast,,,,,,130
Refugio,PCT 2B,Ballots Cast,,,,,,212
Refugio,PCT 3,Ballots Cast,,,,,,470
Refugio,PCT 3A,Ballots Cast,,,,,,449
Refugio,PCT 4,Ballots Cast,,,,,,240
Refugio,PCT 4A,Ballots Cast,,,,,,228
Refugio,PCT 4B,Ballots Cast,,,,,,103
Refugio,Total,Ballots Cast,,,,,,3022
Refugio,PCT 1,Straight Party,,,REP,33,18,51
Refugio,PCT 1A,Straight Party,,,REP,29,26,55
Refugio,PCT 2,Straight Party,,,REP,107,67,174
Refugio,PCT 2A,Straight Party,,,REP,28,17,45
Refugio,PCT 2B,Straight Party,,,REP,29,28,57
Refugio,PCT 3,Straight Party,,,REP,121,36,157
Refugio,PCT 3A,Straight Party,,,REP,90,40,130
Refugio,PCT 4,Straight Party,,,REP,14,11,25
Refugio,PCT 4A,Straight Party,,,REP,18,39,57
Refugio,PCT 4B,Straight Party,,,REP,7,31,38
Refugio,Total,Straight Party,,,REP,476,313,789
Refugio,PCT 1,Straight Party,,,DEM,47,38,85
Refugio,PCT 1A,Straight Party,,,DEM,60,64,124
Refugio,PCT 2,Straight Party,,,DEM,36,41,77
Refugio,PCT 2A,Straight Party,,,DEM,4,4,8
Refugio,PCT 2B,Straight Party,,,DEM,10,18,28
Refugio,PCT 3,Straight Party,,,DEM,37,23,60
Refugio,PCT 3A,Straight Party,,,DEM,41,28,69
Refugio,PCT 4,Straight Party,,,DEM,65,49,114
Refugio,PCT 4A,Straight Party,,,DEM,11,50,61
Refugio,PCT 4B,Straight Party,,,DEM,4,3,7
Refugio,Total,Straight Party,,,DEM,315,318,633
Refugio,PCT 1,Straight Party,,,LIB,1,1,2
Refugio,PCT 1A,Straight Party,,,LIB,0,1,1
Refugio,PCT 2,Straight Party,,,LIB,0,2,2
Refugio,PCT 2A,Straight Party,,,LIB,0,0,0
Refugio,PCT 2B,Straight Party,,,LIB,0,0,0
Refugio,PCT 3,Straight Party,,,LIB,2,1,3
Refugio,PCT 3A,Straight Party,,,LIB,1,1,2
Refugio,PCT 4,Straight Party,,,LIB,0,1,1
Refugio,PCT 4A,Straight Party,,,LIB,0,1,1
Refugio,PCT 4B,Straight Party,,,LIB,0,0,0
Refugio,Total,Straight Party,,,LIB,4,8,12
Refugio,PCT 1,Straight Party,,,GRN,0,1,1
Refugio,PCT 1A,Straight Party,,,GRN,0,1,1
Refugio,PCT 2,Straight Party,,,GRN,0,1,1
Refugio,PCT 2A,Straight Party,,,GRN,1,0,1
