county,precinct,office,district,party,candidate,vote
Briscoe,1,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,177
Briscoe,2,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,267
Briscoe,3,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,256
Briscoe,4,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,298
Briscoe,6,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,97
Briscoe,1,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,113
Briscoe,2,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,171
Briscoe,3,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,173
Briscoe,4,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,236
Briscoe,6,BALLOTS CAST - TOTAL,,,BALLOTS CAST - TOTAL,51
Briscoe,1,STRAIGHT PARTY,,REP,REPUBLICAN PARTY,50
Briscoe,2,STRAIGHT PARTY,,REP,REPUBLICAN PARTY,89
Briscoe,3,STRAIGHT PARTY,,REP,REPUBLICAN PARTY,79
Briscoe,4,STRAIGHT PARTY,,REP,REPUBLICAN PARTY,115
Briscoe,6,STRAIGHT PARTY,,REP,REPUBLICAN PARTY,22
Briscoe,1,STRAIGHT PARTY,,DEM,DEMOCRATIC PARTY,16
Briscoe,2,STRAIGHT PARTY,,DEM,DEMOCRATIC PARTY,11
Briscoe,3,STRAIGHT PARTY,,DEM,DEMOCRATIC PARTY,10
Briscoe,4,STRAIGHT PARTY,,DEM,DEMOCRATIC PARTY,19
Briscoe,6,STRAIGHT PARTY,,DEM,DEMOCRATIC PARTY,3
Briscoe,1,STRAIGHT PARTY,,LIB,LIBERTARIAN PARTY,2
Briscoe,2,STRAIGHT PARTY,,LIB,LIBERTARIAN PARTY,0
Briscoe,3,STRAIGHT PARTY,,LIB,LIBERTARIAN PARTY,1
Briscoe,4,STRAIGHT PARTY,,LIB,LIBERTARIAN PARTY,2
Briscoe,6,STRAIGHT PARTY,,LIB,LIBERTARIAN PARTY,0
Briscoe,1,STRAIGHT PARTY,,GRN,GREEN PARTY,0
Briscoe,2,STRAIGHT PARTY,,GRN,GREEN PARTY,0
Briscoe,3,STRAIGHT PARTY,,GRN,GREEN PARTY,0
Briscoe,4,STRAIGHT PARTY,,GRN,GREEN PARTY,0
Briscoe,6,STRAIGHT PARTY,,GRN,GREEN PARTY,0
Briscoe,1,STRAIGHT PARTY,,,OVER VOTES,0
Briscoe,2,STRAIGHT PARTY,,,OVER VOTES,0
Briscoe,3,STRAIGHT PARTY,,,OVER VOTES,0
Briscoe,4,STRAIGHT PARTY,,,OVER VOTES,0
Briscoe,6,STRAIGHT PARTY,,,OVER VOTES,0
Briscoe,1,STRAIGHT PARTY,,,UNDER VOTES,42
Briscoe,2,STRAIGHT PARTY,,,UNDER VOTES,67
Briscoe,3,STRAIGHT PARTY,,,UNDER VOTES,76
Briscoe,4,STRAIGHT PARTY,,,UNDER VOTES,90
Briscoe,6,STRAIGHT PARTY,,,UNDER VOTES,26
Briscoe,1,President and Vice President,,REP,Donald J. Trump / Mike Pence,91
Briscoe,2,President and Vice President,,REP,Donald J. Trump / Mike Pence,149
Briscoe,3,President and Vice President,,REP,Donald J. Trump / Mike Pence,143
Briscoe,4,President and Vice President,,REP,Donald J. Trump / Mike Pence,202
Briscoe,6,President and Vice President,,REP,Donald J. Trump / Mike Pence,40
Briscoe,1,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,17
Briscoe,2,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,16
Briscoe,3,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,21
Briscoe,4,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,28
Briscoe,6,President and Vice President,,DEM,Hillary Clinton / Tim Kaine,9
Briscoe,1,President and Vice President,,LIB,Gary Johnson / William Weld,1
Briscoe,2,President and Vice President,,LIB,Gary Johnson / William Weld,1
Briscoe,3,President and Vice President,,LIB,Gary Johnson / William Weld,6
Briscoe,4,President and Vice President,,LIB,Gary Johnson / William Weld,5
Briscoe,6,President and Vice President,,LIB,Gary Johnson / William Weld,1
Briscoe,1,President and Vice President,,GRN,Jill Stein / Ajamu Baraka,0
Briscoe,2,President and Vice President,,GRN,Jill Stein / Ajamu Baraka,1
