county,precinct,office,district,candidate,party,votes,absentee,ev_paper,ev_ivo,ed_paper,ed_ivo
Hill,2,,,Registered Voters,,1136,,,,,
Hill,3,,,Registered Voters,,1650,,,,,
Hill,4,,,Registered Voters,,2372,,,,,
Hill,5,,,Registered Voters,,554,,,,,
Hill,6,,,Registered Voters,,402,,,,,
Hill,7,,,Registered Voters,,544,,,,,
Hill,8,,,Registered Voters,,347,,,,,
Hill,9,,,Registered Voters,,556,,,,,
Hill,10,,,Registered Voters,,1919,,,,,
Hill,12,,,Registered Voters,,816,,,,,
Hill,13,,,Registered Voters,,2940,,,,,
Hill,14,,,Registered Voters,,1028,,,,,
Hill,15,,,Registered Voters,,449,,,,,
Hill,16,,,Registered Voters,,391,,,,,
Hill,18,,,Registered Voters,,200,,,,,
Hill,19,,,Registered Voters,,404,,,,,
Hill,20,,,Registered Voters,,1008,,,,,
Hill,21,,,Registered Voters,,1893,,,,,
Hill,22,,,Registered Voters,,1667,,,,,
Hill,23,,,Registered Voters,,454,,,,,
Hill,24,,,Registered Voters,,1361,,,,,
Hill,27,,,Registered Voters,,734,,,,,
Hill,Total,,,Registered Voters,,22825,,,,,
Hill,2,,,Ballots Cast,,600,37,178,201,87,97
Hill,3,,,Ballots Cast,,631,47,164,201,85,134
Hill,4,,,Ballots Cast,,1389,103,406,514,180,186
Hill,5,,,Ballots Cast,,359,25,77,101,108,48
Hill,6,,,Ballots Cast,,256,10,58,61,80,47
Hill,7,,,Ballots Cast,,379,12,48,58,161,100
Hill,8,,,Ballots Cast,,220,9,43,53,69,46
Hill,9,,,Ballots Cast,,288,11,72,89,66,50
Hill,10,,,Ballots Cast,,1008,30,172,290,258,258
Hill,12,,,Ballots Cast,,478,26,107,166,83,96
Hill,13,,,Ballots Cast,,1675,131,273,464,296,511
Hill,14,,,Ballots Cast,,664,23,70,156,201,214
Hill,15,,,Ballots Cast,,241,16,19,31,66,109
Hill,16,,,Ballots Cast,,229,4,26,36,132,31
Hill,18,,,Ballots Cast,,109,2,26,14,52,15
Hill,19,,,Ballots Cast,,251,6,45,44,87,69
Hill,20,,,Ballots Cast,,610,20,81,82,330,97
Hill,21,,,Ballots Cast,,1192,111,182,443,160,296
Hill,22,,,Ballots Cast,,1034,104,192,279,253,206
Hill,23,,,Ballots Cast,,308,12,29,36,144,87
Hill,24,,,Ballots Cast,,737,44,70,99,155,369
Hill,27,,,Ballots Cast,,455,20,101,91,174,69
Hill,Total,,,Ballots Cast,,13113,803,2439,3509,3227,3135
Hill,2,,,Straight Party,REP,268,18,71,113,24,42
Hill,3,,,Straight Party,REP,193,18,56,66,17,36
Hill,4,,,Straight Party,REP,606,52,170,240,70,74
Hill,5,,,Straight Party,REP,194,15,50,49,52,28
Hill,6,,,Straight Party,REP,133,4,32,37,30,30
Hill,7,,,Straight Party,REP,164,6,22,22,73,41
Hill,8,,,Straight Party,REP,103,6,19,29,27,22
Hill,9,,,Straight Party,REP,117,6,28,47,18,18
Hill,10,,,Straight Party,REP,493,19,75,152,132,115
Hill,12,,,Straight Party,REP,256,13,56,87,44,56
Hill,13,,,Straight Party,REP,893,68,140,269,149,267
Hill,14,,,Straight Party,REP,385,16,31,90,116,132
Hill,15,,,Straight Party,REP,118,8,9,14,27,60
Hill,16,,,Straight Party,REP,102,0,9,16,59,18
Hill,18,,,Straight Party,REP,66,0,13,6,37,10
Hill,19,,,Straight Party,REP,118,3,19,21,40,35
Hill,20,,,Straight Party,REP,341,17,39,46,183,56
Hill,21,,,Straight Party,REP,643,69,88,241,75,170
Hill,22,,,Straight Party,REP,545,60,100,153,113,119
Hill,23,,,Straight Party,REP,132,3,15,17,64,33
Hill,24,,,Straight Party,REP,352,23,29,44,77,179
Hill,27,,,Straight Party,REP,242,7,57,62,78,38
Hill,Total,,,Straight Party,REP,6464,431,1128,1821,1505,1579
Hill,2,,,Straight Party,DEM,83,3,22,21,14,23
Hill,3,,,Straight Party,DEM,213,17,49,62,33,52
Hill,4,,,Straight Party,DEM,197,21,65,67,19,25
Hill,5,,,Straight Party,DEM,34,5,7,8,8,6
Hill,6,,,Straight Party,DEM,17,2,3,9,2,1
Hill,7,,,Straight Party,DEM,37,3,9,5,14,6
Hill,8,,,Straight Party,DEM,19,0,0,7,4,8
Hill,9,,,Straight Party,DEM,48,2,8,16,10,12
Hill,10,,,Straight Party,DEM,182,1,23,43,46,69
Hill,12,,,Straight Party,DEM,40,6,10,17,3,4
Hill,13,,,Straight Party,DEM,173,23,22,50,33,45
Hill,14,,,Straight Party,DEM,35,3,4,6,15,7
Hill,15,,,Straight Party,DEM,19,4,0,3,4,8
Hill,16,,,Straight Party,DEM,20,1,2,3,12,2
Hill,18,,,Straight Party,DEM,5,0,4,0,0,1
Hill,19,,,Straight Party,DEM,26,0,4,8,6,8
Hill,20,,,Straight Party,DEM,64,1,12,11,27,13
Hill,21,,,Straight Party,DEM,108,12,14,42,17,23
Hill,22,,,Straight Party,DEM,95,9,15,27,20,24
Hill,23,,,Straight Party,DEM,46,1,3,10,15,17
Hill,24,,,Straight Party,DEM,112,10,4,16,21,61
Hill,27,,,Straight Party,DEM,56,8,10,9,18,11
Hill,Total,,,Straight Party,DEM,1629,132,290,440,341,426
Hill,2,,,Straight Party,LIB,6,1,1,3,0,1
Hill,3,,,Straight Party,LIB,11,0,2,4,0,5
Hill,4,,,Straight Party,LIB,6,0,0,3,3,0
Hill,5,,,Straight Party,LIB,2,0,0,2,0,0
Hill,6,,,Straight Party,LIB,1,0,1,0,0,0
Hill,7,,,Straight Party,LIB,2,0,0,1,1,0
Hill,8,,,Straight Party,LIB,0,0,0,0,0,0
Hill,9,,,Straight Party,LIB,4,1,0,2,0,1
Hill,10,,,Straight Party,LIB,6,0,1,2,2,1
Hill,12,,,Straight Party,LIB,1,0,0,1,0,0
Hill,13,,,Straight Party,LIB,12,0,2,1,3,6
Hill,14,,,Straight Party,LIB,7,0,1,0,3,3
Hill,15,,,Straight Party,LIB,3,0,0,2,1,0
Hill,16,,,Straight Party,LIB,2,0,0,0,2,0
Hill,18,,,Straight Party,LIB,0,0,0,0,0,0
Hill,19,,,Straight Party,LIB,2,0,0,0,1,1
Hill,20,,,Straight Party,LIB,1,0,0,1,0,0
Hill,21,,,Straight Party,LIB,7,0,0,3,2,2
Hill,22,,,Straight Party,LIB,4,0,0,0,4,0
Hill,23,,,Straight Party,LIB,1,0,0,0,1,0
Hill,24,,,Straight Party,LIB,4,0,2,0,1,1
Hill,27,,,Straight Party,LIB,5,0,0,0,2,3
Hill,Total,,,Straight Party,LIB,87,2,10,25,26,24
Hill,2,,,Straight Party,GRN,1,0,1,0,0,0
Hill,3,,,Straight Party,GRN,1,0,0,0,0,1
Hill,4,,,Straight Party,GRN,2,0,1,0,0,1
Hill,5,,,Straight Party,GRN,0,0,0,0,0,0
Hill,6,,,Straight Party,GRN,0,0,0,0,0,0
Hill,7,,,Straight Party,GRN,0,0,0,0,0,0
Hill,8,,,Straight Party,GRN,0,0,0,0,0,0
Hill,9,,,Straight Party,GRN,1,0,1,0,0,0
Hill,10,,,Straight Party,GRN,0,0,0,0,0,0
Hill,12,,,Straight Party,GRN,2,0,0,2,0,0
Hill,13,,,Straight Party,GRN,2,0,0,0,1,1
Hill,14,,,Straight Party,GRN,0,0,0,0,0,0
Hill,15,,,Straight Party,GRN,0,0,0,0,0,0
Hill,16,,,Straight Party,GRN,0,0,0,0,0,0
Hill,18,,,Straight Party,GRN,0,0,0,0,0,0
Hill,19,,,Straight Party,GRN,0,0,0,0,0,0
Hill,20,,,Straight Party,GRN,2,0,2,0,0,0
Hill,21,,,Straight Party,GRN,1,0,0,1,0,0
Hill,22,,,Straight Party,GRN,2,0,0,0,0,2
Hill,23,,,Straight Party,GRN,0,0,0,0,0,0
Hill,24,,,Straight Party,GRN,1,0,0,0,0,1
Hill,27,,,Straight Party,GRN,0,0,0,0,0,0
Hill,Total,,,Straight Party,GRN,15,0,5,3,1,6
Hill,2,President,,Donald J. Trump / Mike Pence,REP,437,27,134,160,52,64
Hill,3,President,,Donald J. Trump / Mike Pence,REP,288,21,85,103,28,51
Hill,4,President,,Donald J. Trump / Mike Pence,REP,999,70,291,381,137,120
Hill,5,President,,Donald J. Trump / Mike Pence,REP,303,19,68,83,93,40
Hill,6,President,,Donald J. Trump / Mike Pence,REP,216,5,53,49,65,44
Hill,7,President,,Donald J. Trump / Mike Pence,REP,318,8,37,47,141,85
Hill,8,President,,Donald J. Trump / Mike Pence,REP,178,8,40,40,56,34
Hill,9,President,,Donald J. Trump / Mike Pence,REP,207,7,56,67,43,34
Hill,10,President,,Donald J. Trump / Mike Pence,REP,734,27,135,225,185,162
Hill,12,President,,Donald J. Trump / Mike Pence,REP,388,19,89,134,68,78
Hill,13,President,,Donald J. Trump / Mike Pence,REP,1349,91,233,381,229,415
Hill,14,President,,Donald J. Trump / Mike Pence,REP,588,19,58,139,175,197
Hill,15,President,,Donald J. Trump / Mike Pence,REP,198,10,19,22,57,90
Hill,16,President,,Donald J. Trump / Mike Pence,REP,181,0,22,29,104,26
