county,precinct,office,district,candidate,party,election_day,early_voting,votes
Hardeman,1,President,,Donald Trump,REP,133,187,320
Hardeman,2,President,,Donald Trump,REP,124,143,267
Hardeman,3,President,,Donald Trump,REP,120,170,290
Hardeman,4,President,,Donald Trump,REP,127,203,330
Hardeman,Total,President,,Donald Trump,REP,504,703,1207
Hardeman,1,President,,Hillary Clinton,DEM,37,31,68
Hardeman,2,President,,Hillary Clinton,DEM,11,25,36
Hardeman,3,President,,Hillary Clinton,DEM,33,36,69
Hardeman,4,President,,Hillary Clinton,DEM,29,47,76
Hardeman,Total,President,,Hillary Clinton,DEM,110,139,249
Hardeman,1,President,,Gary Johnson,LIB,9,7,16
Hardeman,2,President,,Gary Johnson,LIB,6,3,9
Hardeman,3,President,,Gary Johnson,LIB,5,6,11
Hardeman,4,President,,Gary Johnson,LIB,2,10,12
Hardeman,Total,President,,Gary Johnson,LIB,22,26,48
Hardeman,1,President,,Jill Stein,GRN,0,0,0
Hardeman,2,President,,Jill Stein,GRN,0,1,1
Hardeman,3,President,,Jill Stein,GRN,5,0,5
Hardeman,4,President,,Jill Stein,GRN,1,0,1
Hardeman,Total,President,,Jill Stein,GRN,6,1,7
Hardeman,1,President,,Write-In,,0,0,0
Hardeman,2,President,,Write-In,,0,0,0
Hardeman,3,President,,Write-In,,2,0,2
Hardeman,4,President,,Write-In,,2,0,2
Hardeman,Total,President,,Write-In,,4,0,4
Hardeman,1,U.S. House,13,Mac Thornberry,REP,150,192,342
Hardeman,2,U.S. House,13,Mac Thornberry,REP,123,142,265
Hardeman,3,U.S. House,13,Mac Thornberry,REP,134,170,304
Hardeman,4,U.S. House,13,Mac Thornberry,REP,140,207,347
Hardeman,Total,U.S. House,13,Mac Thornberry,REP,547,711,1258
Hardeman,1,U.S. House,13,Calvin DeWeese,LIB,13,5,18
Hardeman,2,U.S. House,13,Calvin DeWeese,LIB,7,6,13
Hardeman,3,U.S. House,13,Calvin DeWeese,LIB,12,7,19
Hardeman,4,U.S. House,13,Calvin DeWeese,LIB,7,10,17
Hardeman,Total,U.S. House,13,Calvin DeWeese,LIB,39,28,67
Hardeman,1,U.S. House,13,"H.F.""Rusty"" Tomlinson",GRN,7,2,9
Hardeman,2,U.S. House,13,"H.F.""Rusty"" Tomlinson",GRN,3,5,8
Hardeman,3,U.S. House,13,"H.F.""Rusty"" Tomlinson",GRN,9,7,16
Hardeman,4,U.S. House,13,"H.F.""Rusty"" Tomlinson",GRN,6,2,8
Hardeman,Total,U.S. House,13,"H.F.""Rusty"" Tomlinson",GRN,25,16,41
Hardeman,1,Railroad Commissioner,,Wayne Christian,REP,115,149,264
Hardeman,2,Railroad Commissioner,,Wayne Christian,REP,107,104,211
Hardeman,3,Railroad Commissioner,,Wayne Christian,REP,98,138,236
Hardeman,4,Railroad Commissioner,,Wayne Christian,REP,105,162,267
Hardeman,Total,Railroad Commissioner,,Wayne Christian,REP,425,553,978
Hardeman,1,Railroad Commissioner,,Grady Yarbrough,DEM,31,31,62
Hardeman,2,Railroad Commissioner,,Grady Yarbrough,DEM,14,34,48
Hardeman,3,Railroad Commissioner,,Grady Yarbrough,DEM,30,40,70
Hardeman,4,Railroad Commissioner,,Grady Yarbrough,DEM,33,63,96
Hardeman,Total,Railroad Commissioner,,Grady Yarbrough,DEM,108,168,276
Hardeman,1,Railroad Commissioner,,Mark Miller,LIB,12,6,18
Hardeman,2,Railroad Commissioner,,Mark Miller,LIB,10,10,20
Hardeman,3,Railroad Commissioner,,Mark Miller,LIB,11,9,20
Hardeman,4,Railroad Commissioner,,Mark Miller,LIB,4,4,8
Hardeman,Total,Railroad Commissioner,,Mark Miller,LIB,37,29,66
Hardeman,1,Railroad Commissioner,,Martina Salinas,GRN,5,7,12
Hardeman,2,Railroad Commissioner,,Martina Salinas,GRN,0,0,0
Hardeman,3,Railroad Commissioner,,Martina Salinas,GRN,8,2,10
Hardeman,4,Railroad Commissioner,,Martina Salinas,GRN,4,6,10
Hardeman,Total,Railroad Commissioner,,Martina Salinas,GRN,17,15,32
Hardeman,1,State Senator,28,Charles Perry,REP,150,174,324
Hardeman,2,State Senator,28,Charles Perry,REP,120,131,251
Hardeman,3,State Senator,28,Charles Perry,REP,127,150,277
Hardeman,4,State Senator,28,Charles Perry,REP,138,206,344
Hardeman,Total,State Senator,28,Charles Perry,REP,535,661,1196
Hardeman,1,State Representative,68,Drew Springer,REP,151,166,317
Hardeman,2,State Representative,68,Drew Springer,REP,119,132,251
Hardeman,3,State Representative,68,Drew Springer,REP,123,149,272
Hardeman,4,State Representative,68,Drew Springer,REP,137,204,341
Hardeman,Total,State Representative,68,Drew Springer,REP,530,651,1181
