county,precinct,office,district,party,candidate,votes,early_voting,election_day
Hale,101,Straight Party,,,Over Votes,0,0,0
Hale,101,Straight Party,,,Under Votes,87,65,22
Hale,101,Registered Voters,,,,501,,
Hale,101,Ballots Cast,,,,221,143,78
Hale,101,Straight Party,,REP,REPUBLICAN,84,54,78
Hale,101,Straight Party,,DEM,DEMOCRATIC,44,20,78
Hale,101,Straight Party,,LIB,LIBERTARIAN,5,3,78
Hale,101,Straight Party,,GRN,GREEN,1,1,78
Hale,101,President/Vice President,,REP,DONALD J. TRUMP/MIKE PENCE,147,104,78
Hale,101,President/Vice President,,,Over Votes,0,0,0
Hale,101,President/Vice President,,,Under Votes,7,5,2
Hale,101,President/Vice President,,DEM,HILLARY CLINTON/TIM KAINE,58,31,78
Hale,101,President/Vice President,,LIB,GARY JOHNSON/WILLIAM WELD,9,3,78
Hale,101,President/Vice President,,GRN,JILL STEIN/AJAMU BARAKA,0,0,78
Hale,101,President/Vice President,,"",DARRELL L CASTLE,0,0,78
Hale,101,President/Vice President,,"",SCOTT CUBBLERQ,0,0,78
Hale,101,President/Vice President,,"",MICHAEL A MATUREN,0,0,78
Hale,101,President/Vice President,,"",EVAN MCMULLIN,0,0,78
Hale,101,President/Vice President,,"",EVAN MCMILLAN,0,0,78
Hale,101,President/Vice President,,"",MICHAELAMATURENN,0,0,78
Hale,101,President/Vice President,,"",TONY VALDIVIA,0,0,78
Hale,101,President/Vice President,,"",DARREL CASTLE,0,0,78
Hale,101,President/Vice President,,"",DARREL L CASTLE,0,0,78
Hale,101,President/Vice President,,"",DARRELL CASTLE,0,0,78
Hale,101,President/Vice President,,"",DARRELLLCASTLE,0,0,78
Hale,101,President/Vice President,,"",EVAN MCMULLAN,0,0,78
Hale,101,President/Vice President,,"",EVAN MCMULLEN,0,0,78
Hale,101,President/Vice President,,"",MCMULLEN,0,0,78
Hale,101,President/Vice President,,"",MCMULLIN,0,0,78
Hale,101,President/Vice President,,"",EVAN MC MULLIN,0,0,78
Hale,101,U.S. Representative District 19,,REP,JODEY ARRINGTON,165,112,78
Hale,101,U.S. Representative District 19,,,Over Votes,0,0,0
Hale,101,U.S. Representative District 19,,,Under Votes,33,20,13
Hale,101,U.S. Representative District 19,,LIB,TROY BONAR,15,7,78
Hale,101,U.S. Representative District 19,,GRN,MARK LAWSON,8,4,78
Hale,101,Railroad Commissioner,,REP,WAYNE CHRISTIAN,140,100,78
Hale,101,Railroad Commissioner,,,Over Votes,0,0,0
Hale,101,Railroad Commissioner,,,Under Votes,8,6,2
Hale,101,Railroad Commissioner,,DEM,GRADY YARBROUGH,53,27,78
Hale,101,Railroad Commissioner,,LIB,MARK MILLER,11,5,78
Hale,101,Railroad Commissioner,,GRN,MARTINA SALINAS,9,5,78
Hale,101,"Justice, Supreme Court, Place 3",,REP,DEBRA LEHRMANN,141,99,78
Hale,101,"Justice, Supreme Court, Place 3",,,Over Votes,0,0,0
Hale,101,"Justice, Supreme Court, Place 3",,,Under Votes,8,7,1
Hale,101,"Justice, Supreme Court, Place 3",,DEM,MIKE WESTERGREN,49,27,78
Hale,101,"Justice, Supreme Court, Place 3",,LIB,KATHIE GLASS,12,4,78
Hale,101,"Justice, Supreme Court, Place 3",,GRN,RODOLFO RIVERA MUNOZ,11,6,78
Hale,101,"Justice, Supreme Court, Place 5",,REP,PAUL GREEN,144,101,78
Hale,101,"Justice, Supreme Court, Place 5",,,Over Votes,0,0,0
Hale,101,"Justice, Supreme Court, Place 5",,,Under Votes,8,6,2
Hale,101,"Justice, Supreme Court, Place 5",,DEM,DORI CONTRERAS GARZA,57,29,78
Hale,101,"Justice, Supreme Court, Place 5",,LIB,TOM OXFORD,9,4,78
Hale,101,"Justice, Supreme Court, Place 5",,GRN,CHARLES E. WATERBURY,3,3,78
Hale,101,"Justice, Supreme Court, Place 9",,REP,EVA GUZMAN,145,98,78
Hale,101,"Justice, Supreme Court, Place 9",,,Over Votes,0,0,0
Hale,101,"Justice, Supreme Court, Place 9",,,Under Votes,9,6,3
Hale,101,"Justice, Supreme Court, Place 9",,DEM,SAVANNAH ROBINSON,54,30,78
Hale,101,"Justice, Supreme Court, Place 9",,LIB,DON FULTON,7,4,78
Hale,101,"Justice, Supreme Court, Place 9",,GRN,JIM CHISHOLM,6,5,78
Hale,101,"Judge, Court of Criminal Appeals Place 2",,REP,MARY LOU KEEL,144,100,78
Hale,101,"Judge, Court of Criminal Appeals Place 2",,,Over Votes,0,0,0
Hale,101,"Judge, Court of Criminal Appeals Place 2",,,Under Votes,7,6,1
Hale,101,"Judge, Court of Criminal Appeals Place 2",,DEM,"LAWRENCE ""LARRY"" MEYERS",57,28,78
Hale,101,"Judge, Court of Criminal Appeals Place 2",,LIB,MARK ASH,10,7,78
Hale,101,"Judge, Court of Criminal Appeals Place 2",,GRN,ADAM KING BLACKWELL REPOSA,3,2,78
Hale,101,"Judge, Court of Criminal Appeals Place 5",,REP,SCOTT WALKER,138,96,78
Hale,101,"Judge, Court of Criminal Appeals Place 5",,,Over Votes,0,0,0
Hale,101,"Judge, Court of Criminal Appeals Place 5",,,Under Votes,7,6,1
Hale,101,"Judge, Court of Criminal Appeals Place 5",,DEM,BETSY JOHNSON,57,30,78
Hale,101,"Judge, Court of Criminal Appeals Place 5",,LIB,"WILLIAM BRYAN STRANGE, III",11,8,78
Hale,101,"Judge, Court of Criminal Appeals Place 5",,GRN,JUDITH SANDERS-CASTRO,8,3,78
Hale,101,"Judge, Court of Criminal Appeals Place 6",,REP,MICHAEL E. KEASLER,141,98,78
Hale,101,"Judge, Court of Criminal Appeals Place 6",,,Over Votes,0,0,0
Hale,101,"Judge, Court of Criminal Appeals Place 6",,,Under Votes,11,8,3
Hale,101,"Judge, Court of Criminal Appeals Place 6",,DEM,ROBERT BURNS,59,31,78
Hale,101,"Judge, Court of Criminal Appeals Place 6",,LIB,MARK W. BENNETT,10,6,78
Hale,101,"Member, State Board of Education",15,REP,MARTY ROWLEY,165,107,78
Hale,101,"Member, State Board of Education",15,,Over Votes,0,0,0
Hale,101,"Member, State Board of Education",15,,Under Votes,56,36,20
Hale,101,State Senate,28,REP,CHARLES PERRY,163,107,78
Hale,101,State Senate,28,,Over Votes,0,0,0
Hale,101,State Senate,28,,Under Votes,58,36,22
Hale,101,State Representative,88,REP,KEN KING,164,107,78
Hale,101,State Representative,88,,Over Votes,0,0,0
Hale,101,State Representative,88,,Under Votes,57,36,21
Hale,101,"Justice, 7th Court of Appeals District, Place 4",,REP,JIM CAMPBELL,162,106,78
Hale,101,"Justice, 7th Court of Appeals District, Place 4",,,Over Votes,0,0,0
Hale,101,"Justice, 7th Court of Appeals District, Place 4",,,Under Votes,59,37,22
Hale,101,"District Attorney,  64th Judicial District",,REP,WALLY HATCH,164,107,78
