county,office,district,candidate,incumbent,party,votes,pct
ANDERSON,Railroad Commissioner,,Cody Garrett,False,DEM,11,20.75
ANDERSON,Railroad Commissioner,,Grady Yarbrough,False,DEM,42,79.25
ANDERSON,Railroad Commissioner,,Total,,,53,
ANDREWS,Railroad Commissioner,,Cody Garrett,False,DEM,2,66.67
ANDREWS,Railroad Commissioner,,Grady Yarbrough,False,DEM,1,33.33
ANDREWS,Railroad Commissioner,,Total,,,3,
ANDREWS,"Justice, 8th Court of Appeals District, Place 3  Unexpired Term",,Gina M. Palafox,False,DEM,1,33.33
ANDREWS,"Justice, 8th Court of Appeals District, Place 3  Unexpired Term",,Maria Ramirez,False,DEM,2,66.67
ANDREWS,"Justice, 8th Court of Appeals District, Place 3  Unexpired Term",,Total,,,3,
ANGELINA,Railroad Commissioner,,Cody Garrett,False,DEM,117,47.37
ANGELINA,Railroad Commissioner,,Grady Yarbrough,False,DEM,130,52.63
ANGELINA,Railroad Commissioner,,Total,,,247,
ARANSAS,Railroad Commissioner,,Cody Garrett,False,DEM,12,50.00
ARANSAS,Railroad Commissioner,,Grady Yarbrough,False,DEM,12,50.00
ARANSAS,Railroad Commissioner,,Total,,,24,
ARCHER,Railroad Commissioner,,Cody Garrett,False,DEM,6,54.55
ARCHER,Railroad Commissioner,,Grady Yarbrough,False,DEM,5,45.45
ARCHER,Railroad Commissioner,,Total,,,11,
ARMSTRONG,Railroad Commissioner,,Cody Garrett,False,DEM,1,50.00
ARMSTRONG,Railroad Commissioner,,Grady Yarbrough,False,DEM,1,50.00
ARMSTRONG,Railroad Commissioner,,Total,,,2,
ATASCOSA,Railroad Commissioner,,Cody Garrett,False,DEM,36,41.38
ATASCOSA,Railroad Commissioner,,Grady Yarbrough,False,DEM,51,58.62
ATASCOSA,Railroad Commissioner,,Total,,,87,
AUSTIN,Railroad Commissioner,,Cody Garrett,False,DEM,35,53.85
AUSTIN,Railroad Commissioner,,Grady Yarbrough,False,DEM,30,46.15
AUSTIN,Railroad Commissioner,,Total,,,65,
BAILEY,Railroad Commissioner,,Cody Garrett,False,DEM,3,42.86
BAILEY,Railroad Commissioner,,Grady Yarbrough,False,DEM,4,57.14
BAILEY,Railroad Commissioner,,Total,,,7,
BANDERA,Railroad Commissioner,,Cody Garrett,False,DEM,30,58.82
BANDERA,Railroad Commissioner,,Grady Yarbrough,False,DEM,21,41.18
BANDERA,Railroad Commissioner,,Total,,,51,
BASTROP,Railroad Commissioner,,Cody Garrett,False,DEM,224,51.14
BASTROP,Railroad Commissioner,,Grady Yarbrough,False,DEM,214,48.86
BASTROP,Railroad Commissioner,,Total,,,438,
BAYLOR,Railroad Commissioner,,Cody Garrett,False,DEM,0,0.00
BAYLOR,Railroad Commissioner,,Grady Yarbrough,False,DEM,0,0.00
BAYLOR,Railroad Commissioner,,Total,,,0,
BEE,Railroad Commissioner,,Cody Garrett,False,DEM,50,33.56
BEE,Railroad Commissioner,,Grady Yarbrough,False,DEM,99,66.44
BEE,Railroad Commissioner,,Total,,,149,
BELL,Railroad Commissioner,,Cody Garrett,False,DEM,373,46.11
BELL,Railroad Commissioner,,Grady Yarbrough,False,DEM,436,53.89
BELL,Railroad Commissioner,,Total,,,809,
BEXAR,Railroad Commissioner,,Cody Garrett,False,DEM,6143,40.03
BEXAR,Railroad Commissioner,,Grady Yarbrough,False,DEM,9204,59.97
BEXAR,Railroad Commissioner,,Total,,,15347,
BEXAR,State Representative,120,Barbara GervinHawkins,False,DEM,1983,55.83
BEXAR,State Representative,120,Mario Salas,False,DEM,1569,44.17
BEXAR,State Representative,120,Total,,,3552,
BEXAR,District Judge,408th Judicial District,Angelica Jimenez,False,DEM,9425,56.35
BEXAR,District Judge,408th Judicial District,Gabe Quintanilla,False,DEM,7300,43.65
BEXAR,District Judge,408th Judicial District,Total,,,16725,
BLANCO,Railroad Commissioner,,Cody Garrett,False,DEM,20,68.97
BLANCO,Railroad Commissioner,,Grady Yarbrough,False,DEM,9,31.03
BLANCO,Railroad Commissioner,,Total,,,29,
BORDEN,Railroad Commissioner,,Cody Garrett,False,DEM,0,0.00
BORDEN,Railroad Commissioner,,Grady Yarbrough,False,DEM,0,0.00
BORDEN,Railroad Commissioner,,Total,,,0,
BOSQUE,Railroad Commissioner,,Cody Garrett,False,DEM,31,50.00
