county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee
Wilson,Box 101,President,,REP,Lindsey Graham,0,0,0,0,0
Wilson,Box 101,President,,REP,Ted Cruz,269,83,182,0,4
Wilson,Box 101,President,,REP,Marco Rubio,74,22,52,0,0
Wilson,Box 101,President,,REP,Chris Christie,0,0,0,0,0
Wilson,Box 101,President,,REP,Jeb Bush,1,0,1,0,0
Wilson,Box 101,President,,REP,Rand Paul,3,1,1,0,1
Wilson,Box 101,President,,REP,Rick Santorum,0,0,0,0,0
Wilson,Box 101,President,,REP,Ben Carson,16,6,10,0,0
Wilson,Box 101,President,,REP,John R. Kasich,10,6,4,0,0
Wilson,Box 101,President,,REP,Carly Fiorina,0,0,0,0,0
Wilson,Box 101,President,,REP,Donald J. Trump,141,45,95,0,1
Wilson,Box 101,President,,REP,Mike Huckabee,0,0,0,0,0
Wilson,Box 101,President,,REP,Elizabeth Gray,1,1,0,0,0
Wilson,Box 101,President,,REP,Uncommitted,3,0,3,0,0
Wilson,Box 101,President,,DEM,Martin J. O'Malley,1,0,1,0,0
Wilson,Box 101,President,,DEM,Star Locke,0,0,0,0,0
Wilson,Box 101,President,,DEM,Hillary Clinton,125,35,85,0,5
Wilson,Box 101,President,,DEM,Bernie Sanders,57,19,36,0,2
Wilson,Box 101,President,,DEM,Keith Judd,0,0,0,0,0
Wilson,Box 101,President,,DEM,Willie L. Wilson,0,0,0,0,0
Wilson,Box 101,President,,DEM,Calvis L. Hawes,0,0,0,0,0
Wilson,Box 101,President,,DEM,Roque De La Fuente,0,0,0,0,0
Wilson,Box 101,U.S. House,28,REP,Zeffen Hardin,388,121,263,0,4
Wilson,Box 101,U.S. House,28,DEM,William R. Hayward,19,7,12,0,0
Wilson,Box 101,U.S. House,28,DEM,Henry Cuellar,149,42,100,0,7
Wilson,Box 101,Railroad Commissioner,,REP,Weston Martinez,87,25,62,0,0
Wilson,Box 101,Railroad Commissioner,,REP,John Greytok,21,7,14,0,0
Wilson,Box 101,Railroad Commissioner,,REP,Wayne Christian,104,30,71,0,3
Wilson,Box 101,Railroad Commissioner,,REP,Ron Hale,75,27,46,0,2
Wilson,Box 101,Railroad Commissioner,,REP,Doug Jeffrey,40,9,31,0,0
Wilson,Box 101,Railroad Commissioner,,REP,Gary  Gates,82,32,50,0,0
Wilson,Box 101,Railroad Commissioner,,REP,Lance N. Christian,34,14,19,0,1
Wilson,Box 101,Railroad Commissioner,,DEM,Grady Yarbrough,59,21,35,0,3
