county,precinct,office,district,party,candidate,votes,,,,,,,
Terry,101,,,Republican,Straight Party,105,,,,,,,
Terry,102,,,Republican,Straight Party,414,,,,,,,
Terry,201,,,Republican,Straight Party,156,,,,,,,
Terry,202,,,Republican,Straight Party,122,,,,,,,
Terry,301,,,Republican,Straight Party,185,,,,,,,
Terry,401,,,Republican,Straight Party,256,,,,,,,
Terry,402,,,Republican,Straight Party,60,,,,,,,
Terry,Total,,,Republican,Straight Party,1298,,,,,,,
Terry,101,,,Democratic,Straight Party,20,,,,,,,
Terry,102,,,Democratic,Straight Party,67,,,,,,,
Terry,201,,,Democratic,Straight Party,60,,,,,,,
Terry,202,,,Democratic,Straight Party,34,,,,,,,
Terry,301,,,Democratic,Straight Party,150,,,,,,,
Terry,401,,,Democratic,Straight Party,90,,,,,,,
Terry,402,,,Democratic,Straight Party,6,,,,,,,
Terry,Total,,,Democratic,Straight Party,427,,,,,,,
Terry,101,,,Libertarian,Straight Party,0,,,,,,,
Terry,102,,,Libertarian,Straight Party,6,,,,,,,
Terry,201,,,Libertarian,Straight Party,5,,,,,,,
Terry,202,,,Libertarian,Straight Party,1,,,,,,,
Terry,301,,,Libertarian,Straight Party,11,,,,,,,
Terry,401,,,Libertarian,Straight Party,6,,,,,,,
Terry,402,,,Libertarian,Straight Party,2,,,,,,,
Terry,Total,,,Libertarian,Straight Party,31,,,,,,,
Terry,101,,,Green,Straight Party,1,,,,,,,
Terry,102,,,Green,Straight Party,1,,,,,,,
Terry,201,,,Green,Straight Party,2,,,,,,,
Terry,202,,,Green,Straight Party,1,,,,,,,
Terry,301,,,Green,Straight Party,5,,,,,,,
Terry,401,,,Green,Straight Party,4,,,,,,,
Terry,402,,,Green,Straight Party,0,,,,,,,
Terry,Total,,,Green,Straight Party,14,,,,,,,
Terry,101,President,,Republican,Donald J. Trump,212,,,,,,,
Terry,102,President,,Republican,Donald J. Trump,783,,,,,,,
Terry,201,President,,Republican,Donald J. Trump,268,,,,,,,
Terry,202,President,,Republican,Donald J. Trump,245,,,,,,,
Terry,301,President,,Republican,Donald J. Trump,370,,,,,,,
Terry,401,President,,Republican,Donald J. Trump,453,,,,,,,
Terry,402,President,,Republican,Donald J. Trump,128,,,,,,,
Terry,Total,President,,Republican,Donald J. Trump,2459,,,,,,,
Terry,101,President,,Democratic,Hillary Clinton,39,,,,,,,
Terry,102,President,,Democratic,Hillary Clinton,140,,,,,,,
Terry,201,President,,Democratic,Hillary Clinton,116,,,,,,,
Terry,202,President,,Democratic,Hillary Clinton,57,,,,,,,
Terry,301,President,,Democratic,Hillary Clinton,239,,,,,,,
Terry,401,President,,Democratic,Hillary Clinton,152,,,,,,,
Terry,402,President,,Democratic,Hillary Clinton,10,,,,,,,
Terry,Total,President,,Democratic,Hillary Clinton,753,,,,,,,
Terry,101,President,,Libertarian,Gary Johnson,4,,,,,,,
Terry,102,President,,Libertarian,Gary Johnson,26,,,,,,,
Terry,201,President,,Libertarian,Gary Johnson,13,,,,,,,
Terry,202,President,,Libertarian,Gary Johnson,8,,,,,,,
Terry,301,President,,Libertarian,Gary Johnson,30,,,,,,,
Terry,401,President,,Libertarian,Gary Johnson,27,,,,,,,
Terry,402,President,,Libertarian,Gary Johnson,4,,,,,,,
Terry,Total,President,,Libertarian,Gary Johnson,112,,,,,,,
Terry,101,President,,Green,Jill Stein,1,,,,,,,
Terry,102,President,,Green,Jill Stein,4,,,,,,,
Terry,201,President,,Green,Jill Stein,1,,,,,,,
Terry,202,President,,Green,Jill Stein,2,,,,,,,
Terry,301,President,,Green,Jill Stein,7,,,,,,,
Terry,401,President,,Green,Jill Stein,5,,,,,,,
Terry,402,President,,Green,Jill Stein,1,,,,,,,
Terry,Total,President,,Green,Jill Stein,21,,,,,,,
Terry,101,President,,,Michael A. Maturen,0,,,,,,,
Terry,102,President,,,Michael A. Maturen,2,,,,,,,
Terry,201,President,,,Michael A. Maturen,0,,,,,,,
Terry,202,President,,,Michael A. Maturen,1,,,,,,,
Terry,301,President,,,Michael A. Maturen,5,,,,,,,
Terry,401,President,,,Michael A. Maturen,1,,,,,,,
Terry,402,President,,,Michael A. Maturen,1,,,,,,,
Terry,Total,President,,,Michael A. Maturen,10,,,,,,,
Terry,101,U.S. House,19,Republican,Jodey Arrington,220,,,,,,,
Terry,102,U.S. House,19,Republican,Jodey Arrington,851,,,,,,,
Terry,201,U.S. House,19,Republican,Jodey Arrington,300,,,,,,,
Terry,202,U.S. House,19,Republican,Jodey Arrington,253,,,,,,,
Terry,301,U.S. House,19,Republican,Jodey Arrington,419,,,,,,,
Terry,401,U.S. House,19,Republican,Jodey Arrington,495,,,,,,,
Terry,402,U.S. House,19,Republican,Jodey Arrington,129,,,,,,,
Terry,Total,U.S. House,19,Republican,Jodey Arrington,2667,,,,,,,
Terry,101,U.S. House,19,Libertarian,Troy Bonar,13,,,,,,,
Terry,102,U.S. House,19,Libertarian,Troy Bonar,40,,,,,,,
Terry,201,U.S. House,19,Libertarian,Troy Bonar,27,,,,,,,
Terry,202,U.S. House,19,Libertarian,Troy Bonar,20,,,,,,,
Terry,301,U.S. House,19,Libertarian,Troy Bonar,77,,,,,,,
Terry,401,U.S. House,19,Libertarian,Troy Bonar,43,,,,,,,
Terry,402,U.S. House,19,Libertarian,Troy Bonar,7,,,,,,,
Terry,Total,U.S. House,19,Libertarian,Troy Bonar,227,,,,,,,
Terry,101,U.S. House,19,Green,Mark Lawson,12,,,,,,,
Terry,102,U.S. House,19,Green,Mark Lawson,18,,,,,,,
Terry,201,U.S. House,19,Green,Mark Lawson,20,,,,,,,
Terry,202,U.S. House,19,Green,Mark Lawson,12,,,,,,,
Terry,301,U.S. House,19,Green,Mark Lawson,34,,,,,,,
Terry,401,U.S. House,19,Green,Mark Lawson,25,,,,,,,
Terry,402,U.S. House,19,Green,Mark Lawson,4,,,,,,,
Terry,Total,U.S. House,19,Green,Mark Lawson,125,,,,,,,
Terry,101,Railroad Commissioner,,Republican,Wayne Christian,194,,,,,,,
Terry,102,Railroad Commissioner,,Republican,Wayne Christian,732,,,,,,,
Terry,201,Railroad Commissioner,,Republican,Wayne Christian,247,,,,,,,
Terry,202,Railroad Commissioner,,Republican,Wayne Christian,209,,,,,,,
Terry,301,Railroad Commissioner,,Republican,Wayne Christian,323,,,,,,,
Terry,401,Railroad Commissioner,,Republican,Wayne Christian,412,,,,,,,
Terry,402,Railroad Commissioner,,Republican,Wayne Christian,117,,,,,,,
Terry,Total,Railroad Commissioner,,Republican,Wayne Christian,2234,,,,,,,
Terry,101,Railroad Commissioner,,Democratic,Grady Yarbrough,38,,,,,,,
Terry,102,Railroad Commissioner,,Democratic,Grady Yarbrough,148,,,,,,,
Terry,201,Railroad Commissioner,,Democratic,Grady Yarbrough,90,,,,,,,
Terry,202,Railroad Commissioner,,Democratic,Grady Yarbrough,65,,,,,,,
Terry,301,Railroad Commissioner,,Democratic,Grady Yarbrough,205,,,,,,,
Terry,401,Railroad Commissioner,,Democratic,Grady Yarbrough,161,,,,,,,
Terry,402,Railroad Commissioner,,Democratic,Grady Yarbrough,17,,,,,,,
Terry,Total,Railroad Commissioner,,Democratic,Grady Yarbrough,724,,,,,,,
Terry,101,Railroad Commissioner,,Libertarian,Mark Miller,9,,,,,,,
Terry,102,Railroad Commissioner,,Libertarian,Mark Miller,27,,,,,,,
Terry,201,Railroad Commissioner,,Libertarian,Mark Miller,16,,,,,,,
Terry,202,Railroad Commissioner,,Libertarian,Mark Miller,9,,,,,,,
Terry,301,Railroad Commissioner,,Libertarian,Mark Miller,31,,,,,,,
Terry,401,Railroad Commissioner,,Libertarian,Mark Miller,22,,,,,,,
Terry,402,Railroad Commissioner,,Libertarian,Mark Miller,7,,,,,,,
Terry,Total,Railroad Commissioner,,Libertarian,Mark Miller,121,,,,,,,
Terry,101,Railroad Commissioner,,Green,Martina Salinas,9,,,,,,,
Terry,102,Railroad Commissioner,,Green,Martina Salinas,20,,,,,,,
Terry,201,Railroad Commissioner,,Green,Martina Salinas,28,,,,,,,
Terry,202,Railroad Commissioner,,Green,Martina Salinas,10,,,,,,,
Terry,301,Railroad Commissioner,,Green,Martina Salinas,61,,,,,,,
Terry,401,Railroad Commissioner,,Green,Martina Salinas,26,,,,,,,
Terry,402,Railroad Commissioner,,Green,Martina Salinas,1,,,,,,,
Terry,Total,Railroad Commissioner,,Green,Martina Salinas,155,,,,,,,
Terry,101,State Senate,28,Republican,Charles Perry,228,,,,,,,
Terry,102,State Senate,28,Republican,Charles Perry,826,,,,,,,
Terry,201,State Senate,28,Republican,Charles Perry,306,,,,,,,
Terry,202,State Senate,28,Republican,Charles Perry,252,,,,,,,
Terry,301,State Senate,28,Republican,Charles Perry,459,,,,,,,
Terry,401,State Senate,28,Republican,Charles Perry,511,,,,,,,
Terry,402,State Senate,28,Republican,Charles Perry,127,,,,,,,
Terry,Total,State Senate,28,Republican,Charles Perry,2709,,,,,,,
Terry,101,State Representative,83,Republican,Dustin Burrows,223,,,,,,,
Terry,102,State Representative,83,Republican,Dustin Burrows,809,,,,,,,
Terry,201,State Representative,83,Republican,Dustin Burrows,296,,,,,,,
Terry,202,State Representative,83,Republican,Dustin Burrows,247,,,,,,,
Terry,301,State Representative,83,Republican,Dustin Burrows,442,,,,,,,
Terry,401,State Representative,83,Republican,Dustin Burrows,503,,,,,,,
Terry,402,State Representative,83,Republican,Dustin Burrows,128,,,,,,,
Terry,Total,State Representative,83,Republican,Dustin Burrows,2648,,,,,,,
