county,precinct,office,district,party,candidate,votes,early_votes,election_day
Lubbock,2,President,,REP,Uncommitted,5,2,3
Lubbock,2,U.S. House,19,REP,Greg Garrett,33,19,14
Lubbock,2,U.S. House,19,REP,John C. Key,1,1,0
Lubbock,2,U.S. House,19,REP,Jason Corley,0,0,0
Lubbock,2,U.S. House,19,REP,DeRenda Warren,4,1,3
Lubbock,2,U.S. House,19,REP,Glen Robertson,119,73,46
Lubbock,2,U.S. House,19,REP,Don Parrish,1,0,1
Lubbock,2,U.S. House,19,REP,Michael Bob Starr,49,32,17
Lubbock,2,U.S. House,19,REP,Jodey Arrington,57,37,20
Lubbock,2,U.S. House,19,REP,Donald R. May,25,12,13
Lubbock,2,Railroad Commissioner,,REP,Ron Hale,46,27,19
Lubbock,2,Railroad Commissioner,,REP,John Greytok,15,9,6
Lubbock,2,Railroad Commissioner,,REP,Wayne Christian,48,27,21
Lubbock,2,Railroad Commissioner,,REP,Lance N. Christian,27,22,5
Lubbock,2,Railroad Commissioner,,REP,Doug Jeffrey,11,8,3
Lubbock,2,Railroad Commissioner,,REP,Weston Martinez,38,21,17
Lubbock,2,Railroad Commissioner,,REP,Gary Gates,54,31,23
Lubbock,2,"Justice, Supreme Court, Place 3",,REP,Debra Lehrmann,133,90,43
Lubbock,2,"Justice, Supreme Court, Place 3",,REP,Michael Massengale,123,66,57
Lubbock,2,"Justice, Supreme Court, Place 5",,REP,Paul Green,132,81,51
Lubbock,2,"Justice, Supreme Court, Place 5",,REP,Rick Green,89,52,37
Lubbock,2,"Justice, Supreme Court, Place 9",,REP,Eva Guzman,141,86,55
Lubbock,2,"Justice, Supreme Court, Place 9",,REP,Joe Pool,101,58,43
Lubbock,2,"Judge, Court of Criminal Appeals, Place 2",,REP,Chris Oldner,74,46,28
Lubbock,2,"Judge, Court of Criminal Appeals, Place 2",,REP,Ray Wheless,71,39,32
Lubbock,2,"Judge, Court of Criminal Appeals, Place 2",,REP,Mary Lou Keel,86,52,34
Lubbock,2,"Judge, Court of Criminal Appeals, Place 5",,REP,Scott Walker,105,60,45
Lubbock,2,"Judge, Court of Criminal Appeals, Place 5",,REP,Steve Smith,40,23,17
Lubbock,2,"Judge, Court of Criminal Appeals, Place 5",,REP,Brent Webster,30,18,12
Lubbock,2,"Judge, Court of Criminal Appeals, Place 5",,REP,Sid Harle,44,30,14
Lubbock,2,"Judge, Court of Criminal Appeals, Place 6",,REP,Michael E. Keasler,142,86,56
Lubbock,2,"Judge, Court of Criminal Appeals, Place 6",,REP,Richard Davis,72,43,29
Lubbock,2,"Member, State Board of Education",15,REP,Marty Rowley,208,128,80
Lubbock,2,State Senate,28,REP,Charles Perry,239,145,94
Lubbock,2,State Representative,83,REP,Dustin Burrows,207,127,80
Lubbock,2,"Justice, 7th Court of Appeals District, Place 4",,REP,Jim Campbell,207,123,84
Lubbock,2,"District Judge, 72nd Judicial District",,REP,Ruben G. Reyes,212,127,85
Lubbock,2,"District Judge, 99th Judicial District",,REP,William C. (Bill) Sowder,236,140,96
Lubbock,2,"District Judge, 140th Judicial District",,REP,Jim Bob Darnell,230,141,89
Lubbock,2,Sheriff,,REP,Kelly S. Rowe,239,144,95
Lubbock,2,County Tax Assessor-Collector,,REP,Ronnie Keister,229,142,87
Lubbock,2,"County Treasurer, Unexpired Term",,REP,Chris Winn,219,128,91
Lubbock,2,"County Commissioner, Precinct 3",,REP,Frank Gutierrez,217,131,86
Lubbock,2,County Party Chair,,REP,Steve Evans,197,117,80
Lubbock,2,Republican Proposition #1,,REP,Yes,171,102,69
Lubbock,2,Republican Proposition #1,,REP,No,88,55,33
Lubbock,2,Republican Proposition #2,,REP,Yes,168,101,67
Lubbock,2,Republican Proposition #2,,REP,No,98,60,38
Lubbock,2,Republican Proposition #3,,REP,Yes,206,124,82
Lubbock,2,Republican Proposition #3,,REP,No,54,36,18
Lubbock,2,Republican Proposition #4,,REP,Yes,246,149,97
Lubbock,2,Republican Proposition #4,,REP,No,17,10,7
Lubbock,3,President,,REP,Rick Santorum,0,0,0
Lubbock,3,President,,REP,Carly Fiorina,1,0,1
Lubbock,3,President,,REP,John R. Kasich,6,3,3
