county,precinct,office,district,party,candidate,election_day,early_voting,votes
Sabine,1,President,,Republican,Donald J. Trump,264,811,1075
Sabine,1,President,,Democratic,Hillary Clinton,39,96,135
Sabine,1,President,,Libertarian,Gary Johnson,3,7,10
Sabine,1,President,,Green,Jill Stein,0,3,3
Sabine,2,President,,Republican,Donald J. Trump,216,597,813
Sabine,2,President,,Democratic,Hillary Clinton,28,81,109
Sabine,2,President,,Libertarian,Gary Johnson,1,3,4
Sabine,2,President,,Green,Jill Stein,1,0,1
Sabine,3,President,,Republican,Donald J. Trump,99,88,187
Sabine,3,President,,Democratic,Hillary Clinton,50,38,88
Sabine,3,President,,Libertarian,Gary Johnson,0,0,0
Sabine,3,President,,Green,Jill Stein,0,1,1
Sabine,4,President,,Republican,Donald J. Trump,102,46,148
Sabine,4,President,,Democratic,Hillary Clinton,12,4,16
Sabine,4,President,,Libertarian,Gary Johnson,0,0,0
Sabine,4,President,,Green,Jill Stein,0,1,1
Sabine,5,President,,Republican,Donald J. Trump,298,336,634
Sabine,5,President,,Democratic,Hillary Clinton,21,35,56
Sabine,5,President,,Libertarian,Gary Johnson,4,3,7
Sabine,5,President,,Green,Jill Stein,0,0,0
Sabine,6,President,,Republican,Donald J. Trump,311,606,917
Sabine,6,President,,Democratic,Hillary Clinton,48,80,128
Sabine,6,President,,Libertarian,Gary Johnson,3,2,5
Sabine,6,President,,Green,Jill Stein,1,2,3
Sabine,7,President,,Republican,Donald J. Trump,10,39,49
Sabine,7,President,,Democratic,Hillary Clinton,40,21,61
Sabine,7,President,,Libertarian,Gary Johnson,0,0,0
Sabine,7,President,,Green,Jill Stein,0,0,0
Sabine,8,President,,Republican,Donald J. Trump,97,72,169
Sabine,8,President,,Democratic,Hillary Clinton,14,7,21
Sabine,8,President,,Libertarian,Gary Johnson,0,1,1
Sabine,8,President,,Green,Jill Stein,0,0,0
Sabine,1,U.S. House,1,Republican,Louie Gohmert,258,768,1026
Sabine,1,U.S. House,1,Democratic,Shirley J. McKellar,37,96,133
Sabine,1,U.S. House,1,Libertarian,Phil Gray,3,10,13
Sabine,1,U.S. House,1,,Renee Culler,0,1,1
Sabine,2,U.S. House,1,Republican,Louie Gohmert,220,587,807
Sabine,2,U.S. House,1,Democratic,Shirley J. McKellar,24,80,104
Sabine,2,U.S. House,1,Libertarian,Phil Gray,4,7,11
Sabine,2,U.S. House,1,,Renee Culler,0,0,0
Sabine,3,U.S. House,1,Republican,Louie Gohmert,95,83,178
Sabine,3,U.S. House,1,Democratic,Shirley J. McKellar,53,41,94
Sabine,3,U.S. House,1,Libertarian,Phil Gray,0,2,2
Sabine,3,U.S. House,1,,Renee Culler,0,0,0
Sabine,4,U.S. House,1,Republican,Louie Gohmert,96,40,136
Sabine,4,U.S. House,1,Democratic,Shirley J. McKellar,12,6,18
Sabine,4,U.S. House,1,Libertarian,Phil Gray,3,1,4
Sabine,4,U.S. House,1,,Renee Culler,0,0,0
Sabine,5,U.S. House,1,Republican,Louie Gohmert,269,326,595
Sabine,5,U.S. House,1,Democratic,Shirley J. McKellar,24,36,60
Sabine,5,U.S. House,1,Libertarian,Phil Gray,14,6,20
Sabine,5,U.S. House,1,,Renee Culler,0,1,1
Sabine,6,U.S. House,1,Republican,Louie Gohmert,313,603,916
Sabine,6,U.S. House,1,Democratic,Shirley J. McKellar,39,85,124
Sabine,6,U.S. House,1,Libertarian,Phil Gray,9,1,10
Sabine,6,U.S. House,1,,Renee Culler,1,0,1
Sabine,7,U.S. House,1,Republican,Louie Gohmert,8,38,46
Sabine,7,U.S. House,1,Democratic,Shirley J. McKellar,34,20,54
Sabine,7,U.S. House,1,Libertarian,Phil Gray,0,0,0
Sabine,7,U.S. House,1,,Renee Culler,0,0,0
Sabine,8,U.S. House,1,Republican,Louie Gohmert,90,72,162
Sabine,8,U.S. House,1,Democratic,Shirley J. McKellar,13,6,19
Sabine,8,U.S. House,1,Libertarian,Phil Gray,1,1,2
Sabine,8,U.S. House,1,,Renee Culler,0,0,0
Sabine,1,Railroad Commissioner,,Republican,Wayne Christian,255,759,1014
Sabine,1,Railroad Commissioner,,Democratic,Grady Yarbrough,34,88,122
Sabine,1,Railroad Commissioner,,Libertarian,Mark Miller,10,15,25
Sabine,1,Railroad Commissioner,,Green,Martina Salinas,1,7,8
Sabine,2,Railroad Commissioner,,Republican,Wayne Christian,212,575,787
Sabine,2,Railroad Commissioner,,Democratic,Grady Yarbrough,28,83,111
Sabine,2,Railroad Commissioner,,Libertarian,Mark Miller,6,10,16
Sabine,2,Railroad Commissioner,,Green,Martina Salinas,3,2,5
Sabine,3,Railroad Commissioner,,Republican,Wayne Christian,95,81,176
Sabine,3,Railroad Commissioner,,Democratic,Grady Yarbrough,46,41,87
Sabine,3,Railroad Commissioner,,Libertarian,Mark Miller,4,2,6
Sabine,3,Railroad Commissioner,,Green,Martina Salinas,1,3,4
Sabine,4,Railroad Commissioner,,Republican,Wayne Christian,87,40,127
Sabine,4,Railroad Commissioner,,Democratic,Grady Yarbrough,16,5,21
Sabine,4,Railroad Commissioner,,Libertarian,Mark Miller,7,2,9
Sabine,4,Railroad Commissioner,,Green,Martina Salinas,0,1,1
Sabine,5,Railroad Commissioner,,Republican,Wayne Christian,281,323,604
Sabine,5,Railroad Commissioner,,Democratic,Grady Yarbrough,18,37,55
Sabine,5,Railroad Commissioner,,Libertarian,Mark Miller,9,7,16
Sabine,5,Railroad Commissioner,,Green,Martina Salinas,1,0,1
Sabine,6,Railroad Commissioner,,Republican,Wayne Christian,307,594,901
Sabine,6,Railroad Commissioner,,Democratic,Grady Yarbrough,43,75,118
Sabine,6,Railroad Commissioner,,Libertarian,Mark Miller,7,11,18
Sabine,6,Railroad Commissioner,,Green,Martina Salinas,2,6,8
Sabine,7,Railroad Commissioner,,Republican,Wayne Christian,10,38,48
