county,precinct,office,district,candidate,party,votes,early_votes,election_votes
Zapata,1,Registered Voters,,,,1792,,
Zapata,1,Ballots Cast,,,,783,403,380
Zapata,1,Straight Party,,Republican Party,REP,113,59,54
Zapata,1,Straight Party,,Democratic Party,DEM,285,149,136
Zapata,1,Straight Party,,Libertarian Party,LIB,4,2,2
Zapata,1,Straight Party,,Green Party,GRN,3,0,3
Zapata,1,Straight Party,,Under Votes,,378,193,185
Zapata,1,Straight Party,,Over Votes,,0,0,0
Zapata,1,President and Vice President,,Donald J. Trump / Mike Pence,REP,240,125,115
Zapata,1,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,520,268,252
Zapata,1,President and Vice President,,Gary Johnson / William Weld,LIB,9,4,5
Zapata,1,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,6,1,5
Zapata,2,President and Vice President,,Under Votes,,8,5,3
Zapata,3,President and Vice President,,Over Votes,,0,0,0
Zapata,1,U.S. House,28,Zeffen Hardin,REP,125,68,57
Zapata,1,U.S. House,28,Henry Cuellar,DEM,622,318,304
Zapata,1,U.S. House,28,Michael D. Cary,GRN,12,5,7
Zapata,1,U.S. House,28,Under Votes,,24,12,12
Zapata,1,U.S. House,28,Over Votes,,0,0,0
Zapata,1,Railroad Commissioner,,Wayne Christian,REP,174,89,85
Zapata,1,Railroad Commissioner,,Grady Yarbrough,DEM,396,213,183
Zapata,1,Railroad Commissioner,,Mark Miller,LIB,24,10,14
Zapata,1,Railroad Commissioner,,Martina Salinas,GRN,112,49,63
Zapata,1,Railroad Commissioner,,Under Votes,,77,42,35
Zapata,1,Railroad Commissioner,,Over Votes,,0,0,0
Zapata,1,State Senate,21,Judith Zaffirini,DEM,599,308,291
Zapata,1,State Senate,21,Under Votes,,184,95,89
Zapata,1,State Senate,21,Over Votes,,0,0,0
Zapata,1,State Representative,80,Tracy O. King,DEM,596,310,286
Zapata,1,State Representative,80,Under Votes,,187,93,94
Zapata,1,State Representative,80,Over Votes,,0,0,0
Zapata,1A,Registered Voters,,,,119,,
Zapata,1A,Ballots Cast,,,,60,22,38
Zapata,1A,Straight Party,,Republican Party,REP,9,3,6
Zapata,1A,Straight Party,,Democratic Party,DEM,33,10,23
Zapata,1A,Straight Party,,Libertarian Party,LIB,0,0,0
Zapata,1A,Straight Party,,Green Party,GRN,0,0,0
Zapata,1A,Straight Party,,Under Votes,,18,9,9
Zapata,1A,Straight Party,,Over Votes,,0,0,0
Zapata,1A,President and Vice President,,Donald J. Trump / Mike Pence,REP,20,9,11
Zapata,1A,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,39,13,26
Zapata,1A,President and Vice President,,Gary Johnson / William Weld,LIB,0,0,0
Zapata,1A,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Zapata,1A,President and Vice President,,Under Votes,,1,0,1
Zapata,1A,President and Vice President,,Over Votes,,0,0,0
Zapata,1A,U.S. House,28,Zeffen Hardin,REP,9,3,6
Zapata,1A,U.S. House,28,Henry Cuellar,DEM,49,19,30
Zapata,1A,U.S. House,28,Michael D. Cary,GRN,0,0,0
Zapata,1A,U.S. House,28,Under Votes,,2,0,2
Zapata,1A,U.S. House,28,Over Votes,,0,0,0
Zapata,1A,Railroad Commissioner,,Wayne Christian,REP,12,5,7
Zapata,1A,Railroad Commissioner,,Grady Yarbrough,DEM,39,14,25
Zapata,1A,Railroad Commissioner,,Mark Miller,LIB,2,0,2
Zapata,1A,Railroad Commissioner,,Martina Salinas,GRN,5,3,2
Zapata,1A,Railroad Commissioner,,Under Votes,,2,0,2
Zapata,1A,Railroad Commissioner,,Over Votes,,0,0,0
Zapata,1A,State Senate,21,Judith Zaffirini,DEM,51,19,32
Zapata,1A,State Senate,21,Under Votes,,9,3,6
Zapata,1A,State Senate,21,Over Votes,,0,0,0
Zapata,1A,State Representative,80,Tracy O. King,DEM,51,18,33
Zapata,1A,State Representative,80,Under Votes,,9,4,5
Zapata,1A,State Representative,80,Over Votes,,0,0,0
Zapata,1B,Registered Voters,,,,166,,
Zapata,1B,Ballots Cast,,,,65,18,47
Zapata,1B,Straight Party,,Republican Party,REP,3,2,1
Zapata,1B,Straight Party,,Democratic Party,DEM,29,9,20
Zapata,1B,Straight Party,,Libertarian Party,LIB,0,0,0
Zapata,1B,Straight Party,,Green Party,GRN,0,0,0
Zapata,1B,Straight Party,,Under Votes,,33,7,26
Zapata,1B,Straight Party,,Over Votes,,0,0,0
Zapata,1B,President and Vice President,,Donald J. Trump / Mike Pence,REP,14,7,7
Zapata,1B,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,50,11,39
Zapata,1B,President and Vice President,,Gary Johnson / William Weld,LIB,0,0,0
Zapata,1B,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,0,0,0
Zapata,1B,President and Vice President,,Under Votes,,1,0,1
Zapata,1B,President and Vice President,,Over Votes,,0,0,0
Zapata,1B,U.S. House,28,Zeffen Hardin,REP,8,5,3
Zapata,1B,U.S. House,28,Henry Cuellar,DEM,55,13,42
Zapata,1B,U.S. House,28,Michael D. Cary,GRN,1,0,1
Zapata,1B,U.S. House,28,Under Votes,,1,0,1
Zapata,1B,U.S. House,28,Over Votes,,0,0,0
Zapata,1B,Railroad Commissioner,,Wayne Christian,REP,7,5,2
Zapata,1B,Railroad Commissioner,,Grady Yarbrough,DEM,41,9,32
Zapata,1B,Railroad Commissioner,,Mark Miller,LIB,1,0,1
Zapata,1B,Railroad Commissioner,,Martina Salinas,GRN,7,2,5
Zapata,1B,Railroad Commissioner,,Under Votes,,9,2,7
Zapata,1B,Railroad Commissioner,,Over Votes,,0,0,0
Zapata,1B,State Senate,21,Judith Zaffirini,DEM,49,14,35
Zapata,1B,State Senate,21,Under Votes,,16,4,12
Zapata,1B,State Senate,21,Over Votes,,0,0,0
Zapata,1B,State Representative,80,Tracy O. King,DEM,47,13,34
Zapata,1B,State Representative,80,Under Votes,,18,5,13
Zapata,1B,State Representative,80,Over Votes,,0,0,0
Zapata,2,Registered Voters,,,,1227,,
Zapata,2,Ballots Cast,,,,508,199,309
Zapata,2,Straight Party,,Republican Party,REP,58,26,32
Zapata,2,Straight Party,,Democratic Party,DEM,231,102,129
Zapata,2,Straight Party,,Libertarian Party,LIB,3,2,1
Zapata,2,Straight Party,,Green Party,GRN,1,0,1
Zapata,2,Straight Party,,Under Votes,,215,69,146
Zapata,2,Straight Party,,Over Votes,,0,0,0
Zapata,2,President and Vice President,,Donald J. Trump / Mike Pence,REP,152,52,100
Zapata,2,President and Vice President,,Hillary Clinton / Tim Kaine,DEM,339,140,199
Zapata,2,President and Vice President,,Gary Johnson / William Weld,LIB,6,3,3
Zapata,2,President and Vice President,,Jill Stein / Ajamu Baraka,GRN,3,1,2
Zapata,2,President and Vice President,,Under Votes,,7,3,4
Zapata,2,President and Vice President,,Over Votes,,1,0,1
Zapata,2,U.S. House,28,Zeffen Hardin,REP,70,33,37
Zapata,2,U.S. House,28,Henry Cuellar,DEM,415,161,254
Zapata,2,U.S. House,28,Michael D. Cary,GRN,5,1,4
Zapata,2,U.S. House,28,Under Votes,,17,4,13
Zapata,2,U.S. House,28,Over Votes,,1,0,1
Zapata,2,Railroad Commissioner,,Wayne Christian,REP,97,42,55
Zapata,2,Railroad Commissioner,,Grady Yarbrough,DEM,275,118,157
Zapata,2,Railroad Commissioner,,Mark Miller,LIB,22,6,16
Zapata,2,Railroad Commissioner,,Martina Salinas,GRN,54,16,38
Zapata,2,Railroad Commissioner,,Under Votes,,60,17,43
Zapata,2,Railroad Commissioner,,Over Votes,,0,0,0
Zapata,2,State Senate,21,Judith Zaffirini,DEM,387,157,230
Zapata,2,State Senate,21,Under Votes,,121,42,79
Zapata,2,State Senate,21,Over Votes,,0,0,0
Zapata,2,State Representative,80,Tracy O. King,DEM,384,151,233
Zapata,2,State Representative,80,Under Votes,,124,48,76
Zapata,2,State Representative,80,Over Votes,,0,0,0
Zapata,2A,Registered Voters,,,,588,,
Zapata,2A,Ballots Cast,,,,244,65,179
Zapata,2A,Straight Party,,Republican Party,REP,28,8,20
