county,precinct,office,district,party,candidate,early_votes,election_day,votes
Motley,1,President,,Republican,Donald Trump/Mike Pence,128,43,
Motley,1,President,,Democratic,Hillary Clinton/Tim Kaine,6,0,
Motley,1,President,,Libertarian,Gary Johnson/ William Weld,2,0,
Motley,1,President,,Green,Jill Stein/ Ajamu Baraka,0,0,
Motley,1,President,,,Ted Cruz,,,
Motley,2,President,,Republican,Donald Trump/Mike Pence,19,40,
Motley,2,President,,Democratic,Hillary Clinton/Tim Kaine,2,3,
Motley,2,President,,Libertarian,Gary Johnson/ William Weld,0,0,
Motley,2,President,,Green,Jill Stein/ Ajamu Baraka,0,0,
Motley,2,President,,,Ted Cruz,,,
Motley,3,President,,Republican,Donald Trump/Mike Pence,8,7,
Motley,3,President,,Democratic,Hillary Clinton/Tim Kaine,1,0,
Motley,3,President,,Libertarian,Gary Johnson/ William Weld,0,,
Motley,3,President,,Green,Jill Stein/ Ajamu Baraka,0,0,
Motley,3,President,,,Ted Cruz,,2,
Motley,4,President,,Republican,Donald Trump/Mike Pence,64,69,
Motley,4,President,,Democratic,Hillary Clinton/Tim Kaine,8,4,
Motley,4,President,,Libertarian,Gary Johnson/ William Weld,0,2,
Motley,4,President,,Green,Jill Stein/ Ajamu Baraka,0,0,
Motley,4,President,,,Ted Cruz,,,
Motley,5,President,,Republican,Donald Trump/Mike Pence,56,40,
Motley,5,President,,Democratic,Hillary Clinton/Tim Kaine,3,1,
Motley,5,President,,Libertarian,Gary Johnson/ William Weld,3,0,
Motley,5,President,,Green,Jill Stein/ Ajamu Baraka,0,0,
Motley,5,President,,,Ted Cruz,,,
Motley,6,President,,Republican,Donald Trump/Mike Pence,53,39,
Motley,6,President,,Democratic,Hillary Clinton/Tim Kaine,10,2,
Motley,6,President,,Libertarian,Gary Johnson/ William Weld,0,2,
Motley,6,President,,Green,Jill Stein/ Ajamu Baraka,0,0,
Motley,6,President,,,Ted Cruz,,,
Motley,1,U.S. House,13,Republican,Mac Thornberry,120,41,
Motley,1,U.S. House,13,Libertarian,Calvin DeWeese,8,1,
Motley,1,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",3,0,
Motley,2,U.S. House,13,Republican,Mac Thornberry,20,36,
Motley,2,U.S. House,13,Libertarian,Calvin DeWeese,1,0,
Motley,2,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",0,1,
Motley,3,U.S. House,13,Republican,Mac Thornberry,7,7,
Motley,3,U.S. House,13,Libertarian,Calvin DeWeese,0,1,
Motley,3,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",1,0,
Motley,4,U.S. House,13,Republican,Mac Thornberry,61,70,
Motley,4,U.S. House,13,Libertarian,Calvin DeWeese,2,1,
Motley,4,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",0,0,
Motley,5,U.S. House,13,Republican,Mac Thornberry,57,41,
Motley,5,U.S. House,13,Libertarian,Calvin DeWeese,4,0,
Motley,5,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",0,0,
Motley,6,U.S. House,13,Republican,Mac Thornberry,56,41,
Motley,6,U.S. House,13,Libertarian,Calvin DeWeese,1,1,
Motley,6,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",4,0,
Motley,1,Railroad Commissioner,,Republican,Wayne Christian,118,37,
Motley,1,Railroad Commissioner,,Democratic,Grady Yarbrough,6,0,
Motley,1,Railroad Commissioner,,Libertarian,Mark Miller,5,0,
Motley,1,Railroad Commissioner,,Green,Martina Salinas,1,1,
Motley,2,Railroad Commissioner,,Republican,Wayne Christian,15,38,
Motley,2,Railroad Commissioner,,Democratic,Grady Yarbrough,3,3,
Motley,2,Railroad Commissioner,,Libertarian,Mark Miller,0,0,
Motley,2,Railroad Commissioner,,Green,Martina Salinas,1,0,
Motley,3,Railroad Commissioner,,Republican,Wayne Christian,6,9,
Motley,3,Railroad Commissioner,,Democratic,Grady Yarbrough,1,1,
Motley,3,Railroad Commissioner,,Libertarian,Mark Miller,0,0,
Motley,3,Railroad Commissioner,,Green,Martina Salinas,0,0,
Motley,4,Railroad Commissioner,,Republican,Wayne Christian,59,67,
Motley,4,Railroad Commissioner,,Democratic,Grady Yarbrough,8,4,
Motley,4,Railroad Commissioner,,Libertarian,Mark Miller,3,4,
Motley,4,Railroad Commissioner,,Green,Martina Salinas,0,1,
Motley,5,Railroad Commissioner,,Republican,Wayne Christian,52,38,
Motley,5,Railroad Commissioner,,Democratic,Grady Yarbrough,4,1,
Motley,5,Railroad Commissioner,,Libertarian,Mark Miller,2,0,
Motley,5,Railroad Commissioner,,Green,Martina Salinas,1,0,
Motley,6,Railroad Commissioner,,Republican,Wayne Christian,43,38,
Motley,6,Railroad Commissioner,,Democratic,Grady Yarbrough,10,3,
Motley,6,Railroad Commissioner,,Libertarian,Mark Miller,3,1,
Motley,6,Railroad Commissioner,,Green,Martina Salinas,3,0,
Motley,1,State Senate,28,Republican,Charles Perry,121,37,
Motley,2,State Senate,28,Republican,Charles Perry,19,39,
Motley,3,State Senate,28,Republican,Charles Perry,7,9,
Motley,4,State Senate,28,Republican,Charles Perry,63,68,
Motley,5,State Senate,28,Republican,Charles Perry,56,40,
Motley,6,State Senate,28,Republican,Charles Perry,51,42,
Motley,1,State Representative,68,Republican,Drew Springer,120,39,
Motley,2,State Representative,68,Republican,Drew Springer,18,37,
Motley,3,State Representative,68,Republican,Drew Springer,7,8,
Motley,4,State Representative,68,Republican,Drew Springer,62,68,
Motley,5,State Representative,68,Republican,Drew Springer,56,41,
Motley,6,State Representative,68,Republican,Drew Springer,51,41,
