county,precinct,office,district,candidate,party,early voting,election day,votes
Cherokee,12,Straight Party,,,REP,160,63,223
Cherokee,13,Straight Party,,,REP,152,85,237
Cherokee,14,Straight Party,,,REP,275,84,359
Cherokee,15,Straight Party,,,REP,486,119,605
Cherokee,22,Straight Party,,,REP,102,24,126
Cherokee,23,Straight Party,,,REP,203,83,286
Cherokee,24,Straight Party,,,REP,313,97,410
Cherokee,25,Straight Party,,,REP,131,150,281
Cherokee,26,Straight Party,,,REP,193,47,240
Cherokee,27,Straight Party,,,REP,243,60,303
Cherokee,28,Straight Party,,,REP,119,83,202
Cherokee,32,Straight Party,,,REP,160,87,247
Cherokee,33,Straight Party,,,REP,272,175,447
Cherokee,34,Straight Party,,,REP,301,161,462
Cherokee,35,Straight Party,,,REP,181,101,282
Cherokee,36,Straight Party,,,REP,370,144,514
Cherokee,37,Straight Party,,,REP,62,22,84
Cherokee,38,Straight Party,,,REP,48,27,75
Cherokee,42,Straight Party,,,REP,64,16,80
Cherokee,43,Straight Party,,,REP,164,53,217
Cherokee,44,Straight Party,,,REP,294,120,414
Cherokee,45,Straight Party,,,REP,86,66,152
Cherokee,46,Straight Party,,,REP,106,131,237
Cherokee,47,Straight Party,,,REP,44,51,95
Cherokee,48,Straight Party,,,REP,65,157,222
Cherokee,Total,Straight Party,,,REP,4594,2206,6800
Cherokee,12,Straight Party,,,DEM,58,16,74
Cherokee,13,Straight Party,,,DEM,30,2,32
Cherokee,14,Straight Party,,,DEM,25,12,37
Cherokee,15,Straight Party,,,DEM,172,99,271
Cherokee,22,Straight Party,,,DEM,32,21,53
Cherokee,23,Straight Party,,,DEM,23,6,29
Cherokee,24,Straight Party,,,DEM,100,36,136
Cherokee,25,Straight Party,,,DEM,36,43,79
Cherokee,26,Straight Party,,,DEM,74,34,108
Cherokee,27,Straight Party,,,DEM,76,48,124
Cherokee,28,Straight Party,,,DEM,13,2,15
Cherokee,32,Straight Party,,,DEM,22,13,35
Cherokee,33,Straight Party,,,DEM,64,32,96
Cherokee,34,Straight Party,,,DEM,27,14,41
Cherokee,35,Straight Party,,,DEM,64,30,94
Cherokee,36,Straight Party,,,DEM,54,33,87
Cherokee,37,Straight Party,,,DEM,24,24,48
Cherokee,38,Straight Party,,,DEM,63,40,103
Cherokee,42,Straight Party,,,DEM,225,128,353
Cherokee,43,Straight Party,,,DEM,89,47,136
Cherokee,44,Straight Party,,,DEM,25,18,43
Cherokee,45,Straight Party,,,DEM,36,46,82
