county,precinct,office,district,party,candidate,votes,early_voting_dre,early_voting_paper,election_day,provisional
Williamson,0264,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,3929,0,0,0,0
Williamson,0266,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,3503,0,0,0,0
Williamson,0267,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2216,0,0,0,0
Williamson,0273,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2442,0,0,0,0
Williamson,0274,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,3565,0,0,0,0
Williamson,0275,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2904,0,0,0,0
Williamson,0277,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,4811,0,0,0,0
Williamson,0278,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,5330,0,0,0,0
Williamson,0283,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,4518,0,0,0,0
Williamson,0287,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,4672,0,0,0,0
Williamson,0305,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2604,0,0,0,0
Williamson,0309,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1222,0,0,0,0
Williamson,0310,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1668,0,0,0,0
Williamson,0311,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1798,0,0,0,0
Williamson,0312,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,3389,0,0,0,0
Williamson,0314,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,3079,0,0,0,0
Williamson,0330,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,3896,0,0,0,0
Williamson,0331,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2852,0,0,0,0
Williamson,0332,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,3109,0,0,0,0
Williamson,0333,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,3537,0,0,0,0
Williamson,0337,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,4124,0,0,0,0
Williamson,0339,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2426,0,0,0,0
Williamson,0341,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2072,0,0,0,0
Williamson,0342,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1086,0,0,0,0
Williamson,0343,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,4461,0,0,0,0
Williamson,0344,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2448,0,0,0,0
Williamson,0368,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2279,0,0,0,0
Williamson,0369,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2955,0,0,0,0
Williamson,0370,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,4417,0,0,0,0
Williamson,0371,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2430,0,0,0,0
Williamson,0379,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,4445,0,0,0,0
Williamson,0381,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,3361,0,0,0,0
Williamson,0392,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,4140,0,0,0,0
Williamson,0394,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,5684,0,0,0,0
Williamson,0395,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2569,0,0,0,0
Williamson,0396,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,3481,0,0,0,0
Williamson,0402,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,4482,0,0,0,0
Williamson,0403,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2164,0,0,0,0
Williamson,0413,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,542,0,0,0,0
Williamson,0415,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1715,0,0,0,0
Williamson,0420,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,3870,0,0,0,0
Williamson,0423,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,3703,0,0,0,0
Williamson,0424,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,6232,0,0,0,0
Williamson,0425,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,658,0,0,0,0
Williamson,0426,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1801,0,0,0,0
Williamson,0427,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2518,0,0,0,0
Williamson,0428,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2559,0,0,0,0
Williamson,0429,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1473,0,0,0,0
Williamson,0434,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2704,0,0,0,0
Williamson,0436,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,773,0,0,0,0
Williamson,0455,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,2519,0,0,0,0
Williamson,0456,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,1795,0,0,0,0
Williamson,0463,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,4603,0,0,0,0
Williamson,0480,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,4578,0,0,0,0
Williamson,0484,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,4110,0,0,0,0
Williamson,0488,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,5096,0,0,0,0
Williamson,0491,REGISTERED VOTERS - TOTAL,,,REGISTERED VOTERS - TOTAL,4829,0,0,0,0
Williamson,0119,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0122,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0135,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0138,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0140,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0145,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0146,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0147,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0149,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0150,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0151,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0152,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0160,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0162,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0172,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0182,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0185,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0186,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0189,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0190,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0197,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0198,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0201,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0204,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0206,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0207,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0216,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0218,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0253,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0254,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0259,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0264,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0266,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0267,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0273,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0274,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0275,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0277,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0278,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0283,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0287,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0305,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0309,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0310,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0311,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0312,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0314,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0330,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0331,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0332,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0333,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0337,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0339,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0341,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0342,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0343,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0344,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0368,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0369,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0370,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0371,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0379,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0381,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0392,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0394,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0395,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0396,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0402,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0403,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0413,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0415,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0420,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0423,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0424,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0425,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0426,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0427,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0428,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0429,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0434,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0436,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0455,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0456,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0463,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0480,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0484,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0488,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0491,REGISTERED VOTERS - DEMOCRATIC PARTY,,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,0,0,0,0,0
Williamson,0119,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0122,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0135,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0138,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0140,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0145,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0146,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0147,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0149,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0150,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0151,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0152,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0160,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0162,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0172,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0182,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0185,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0186,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0189,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0190,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0197,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0198,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0201,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0204,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0206,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0207,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0216,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0218,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0253,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0254,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
Williamson,0259,REGISTERED VOTERS - REPUBLICAN PARTY,,REP,REGISTERED VOTERS - REPUBLICAN PARTY,0,0,0,0,0
