county,precinct,office,district,party,candidate,early_voting,absentee,election_day,votes
Cottle,101,President,,Republican,Donald J. Trump,80,5,66,151
Cottle,102,President,,Republican,Donald J. Trump,6,0,18,24
Cottle,201,President,,Republican,Donald J. Trump,87,10,69,166
Cottle,301,President,,Republican,Donald J. Trump,46,4,24,74
Cottle,401,President,,Republican,Donald J. Trump,41,5,49,95
Cottle,101,President,,Democratic,Hillary Clinton,6,2,13,21
Cottle,102,President,,Democratic,Hillary Clinton,0,0,1,1
Cottle,201,President,,Democratic,Hillary Clinton,6,5,7,18
Cottle,301,President,,Democratic,Hillary Clinton,17,0,18,35
Cottle,401,President,,Democratic,Hillary Clinton,4,1,12,17
Cottle,101,President,,Libertarian,Gary Johnson,4,0,1,5
Cottle,102,President,,Libertarian,Gary Johnson,0,1,1,2
Cottle,201,President,,Libertarian,Gary Johnson,2,0,1,3
Cottle,301,President,,Libertarian,Gary Johnson,0,1,1,2
Cottle,401,President,,Libertarian,Gary Johnson,1,0,0,1
Cottle,101,President,,Green,Jill Stein,0,0,1,1
Cottle,102,President,,Green,Jill Stein,0,0,0,0
Cottle,201,President,,Green,Jill Stein,0,0,0,0
Cottle,301,President,,Green,Jill Stein,0,0,1,1
Cottle,401,President,,Green,Jill Stein,0,0,0,0
Cottle,101,President,,,Ted Cruz,0,0,1,1
Cottle,102,President,,,Ted Cruz,0,0,1,1
Cottle,101,U.S. House,13,Republican,Mac Thornberry,74,6,65,145
Cottle,102,U.S. House,13,Republican,Mac Thornberry,6,1,19,26
Cottle,201,U.S. House,13,Republican,Mac Thornberry,83,10,64,157
Cottle,301,U.S. House,13,Republican,Mac Thornberry,48,5,25,78
Cottle,401,U.S. House,13,Republican,Mac Thornberry,35,3,45,83
Cottle,101,U.S. House,13,Libertarian,Calvin DeWeese,3,0,3,6
Cottle,102,U.S. House,13,Libertarian,Calvin DeWeese,0,0,1,1
Cottle,201,U.S. House,13,Libertarian,Calvin DeWeese,2,5,6,13
Cottle,301,U.S. House,13,Libertarian,Calvin DeWeese,2,0,3,5
Cottle,401,U.S. House,13,Libertarian,Calvin DeWeese,3,3,1,7
Cottle,101,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",3,0,1,4
Cottle,102,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",0,0,0,0
Cottle,201,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",4,0,0,4
Cottle,301,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",2,0,2,4
Cottle,401,U.S. House,13,Green,"H.F. ""Rusty"" Tomlinson",0,0,0,0
Cottle,101,Railroad Commissioner,,Republican,Wayne Christian,66,5,56,127
Cottle,102,Railroad Commissioner,,Republican,Wayne Christian,6,0,19,25
Cottle,201,Railroad Commissioner,,Republican,Wayne Christian,78,9,58,145
Cottle,301,Railroad Commissioner,,Republican,Wayne Christian,43,4,19,66
Cottle,401,Railroad Commissioner,,Republican,Wayne Christian,39,1,37,77
Cottle,101,Railroad Commissioner,,Democratic,Grady Yarbrough,12,2,17,31
Cottle,102,Railroad Commissioner,,Democratic,Grady Yarbrough,0,1,2,3
Cottle,201,Railroad Commissioner,,Democratic,Grady Yarbrough,10,6,8,24
Cottle,301,Railroad Commissioner,,Democratic,Grady Yarbrough,13,1,16,30
Cottle,401,Railroad Commissioner,,Democratic,Grady Yarbrough,4,2,15,21
Cottle,101,Railroad Commissioner,,Libertarian,Mark Miller,4,0,0,4
Cottle,102,Railroad Commissioner,,Libertarian,Mark Miller,0,0,0,0
Cottle,201,Railroad Commissioner,,Libertarian,Mark Miller,2,0,5,7
Cottle,301,Railroad Commissioner,,Libertarian,Mark Miller,1,0,2,3
Cottle,401,Railroad Commissioner,,Libertarian,Mark Miller,1,3,1,5
Cottle,101,Railroad Commissioner,,Green,Martina Salinas,1,0,1,2
Cottle,102,Railroad Commissioner,,Green,Martina Salinas,0,0,0,0
Cottle,201,Railroad Commissioner,,Green,Martina Salinas,0,0,0,0
Cottle,301,Railroad Commissioner,,Green,Martina Salinas,2,0,1,3
Cottle,401,Railroad Commissioner,,Green,Martina Salinas,0,0,3,3
Cottle,101,State Senate,28,Republican,Charles Perry,74,6,63,143
Cottle,102,State Senate,28,Republican,Charles Perry,6,0,20,26
Cottle,201,State Senate,28,Republican,Charles Perry,86,10,61,157
Cottle,301,State Senate,28,Republican,Charles Perry,50,5,26,81
Cottle,401,State Senate,28,Republican,Charles Perry,41,3,44,88
Cottle,101,State Representative,68,Republican,Drew Springer,72,6,62,140
Cottle,102,State Representative,68,Republican,Drew Springer,6,1,20,27
Cottle,201,State Representative,68,Republican,Drew Springer,84,10,63,157
Cottle,301,State Representative,68,Republican,Drew Springer,49,5,26,80
Cottle,401,State Representative,68,Republican,Drew Springer,41,3,38,82
