county,precinct,office,district,party,candidate,early_votes,election_day,votes
Jackson,1,Ballots Cast,,,,788,1146,1934
Jackson,2,Ballots Cast,,,,763,1305,2068
Jackson,3,Ballots Cast,,,,915,1133,2048
Jackson,4,Ballots Cast,,,,97,233,330
Jackson,5,Ballots Cast,,,,166,364,530
Jackson,6,Ballots Cast,,,,252,386,638
Jackson,7,Ballots Cast,,,,24,69,93
Jackson,8,Ballots Cast,,,,141,345,486
Jackson,9,Ballots Cast,,,,143,363,506
Jackson,Total,Ballots Cast,,,,3289,5344,8633
Jackson,1,Straight Party,,Republican,,338,490,828
Jackson,2,Straight Party,,Republican,,439,742,1181
Jackson,3,Straight Party,,Republican,,482,583,1065
Jackson,4,Straight Party,,Republican,,53,126,179
Jackson,5,Straight Party,,Republican,,82,183,265
Jackson,6,Straight Party,,Republican,,104,165,269
Jackson,7,Straight Party,,Republican,,16,38,54
Jackson,8,Straight Party,,Republican,,76,169,245
Jackson,9,Straight Party,,Republican,,89,217,306
Jackson,Total,Straight Party,,Republican,,1679,2713,4392
Jackson,1,Straight Party,,Democratic,,121,205,326
Jackson,2,Straight Party,,Democratic,,66,124,190
Jackson,3,Straight Party,,Democratic,,71,96,167
Jackson,4,Straight Party,,Democratic,,6,29,35
Jackson,5,Straight Party,,Democratic,,21,34,55
Jackson,6,Straight Party,,Democratic,,35,60,95
Jackson,7,Straight Party,,Democratic,,0,4,4
Jackson,8,Straight Party,,Democratic,,7,25,32
Jackson,9,Straight Party,,Democratic,,9,19,28
Jackson,Total,Straight Party,,Democratic,,336,596,932
Jackson,1,Straight Party,,Libertarian,,0,1,1
Jackson,2,Straight Party,,Libertarian,,2,5,7
Jackson,3,Straight Party,,Libertarian,,2,3,5
Jackson,4,Straight Party,,Libertarian,,0,1,1
Jackson,5,Straight Party,,Libertarian,,0,1,1
Jackson,6,Straight Party,,Libertarian,,0,2,2
Jackson,7,Straight Party,,Libertarian,,0,0,0
Jackson,8,Straight Party,,Libertarian,,0,2,2
Jackson,9,Straight Party,,Libertarian,,0,0,0
Jackson,Total,Straight Party,,Libertarian,,4,15,19
Jackson,1,Straight Party,,Green,,0,0,0
Jackson,2,Straight Party,,Green,,1,3,4
Jackson,3,Straight Party,,Green,,1,1,2
Jackson,4,Straight Party,,Green,,0,0,0
Jackson,5,Straight Party,,Green,,0,0,0
Jackson,6,Straight Party,,Green,,3,3,6
Jackson,7,Straight Party,,Green,,0,2,2
Jackson,8,Straight Party,,Green,,1,3,4
Jackson,9,Straight Party,,Green,,1,1,2
Jackson,Total,Straight Party,,Green,,7,13,20
Jackson,1,Straight Party,,,Under Votes,329,450,779
Jackson,2,Straight Party,,,Under Votes,255,431,686
Jackson,3,Straight Party,,,Under Votes,359,450,809
Jackson,4,Straight Party,,,Under Votes,38,77,115
Jackson,5,Straight Party,,,Under Votes,63,146,209
Jackson,6,Straight Party,,,Under Votes,110,156,266
Jackson,7,Straight Party,,,Under Votes,8,25,33
Jackson,8,Straight Party,,,Under Votes,57,146,203
Jackson,9,Straight Party,,,Under Votes,44,126,170
Jackson,Total,Straight Party,,,Under Votes,1263,2007,3270
Jackson,1,President,,Republican,Donald J. Trump,580,817,1397
Jackson,2,President,,Republican,Donald J. Trump,646,1091,1737
Jackson,3,President,,Republican,Donald J. Trump,765,937,1702
Jackson,4,President,,Republican,Donald J. Trump,86,195,281
Jackson,5,President,,Republican,Donald J. Trump,139,304,443
Jackson,6,President,,Republican,Donald J. Trump,182,274,456
Jackson,7,President,,Republican,Donald J. Trump,21,57,78
Jackson,8,President,,Republican,Donald J. Trump,120,280,400
Jackson,9,President,,Republican,Donald J. Trump,119,311,430
Jackson,Total,President,,Republican,Donald J. Trump,2658,4266,6924
Jackson,1,President,,Democratic,Hillary Clinton,182,284,466
Jackson,2,President,,Democratic,Hillary Clinton,96,179,275
Jackson,3,President,,Democratic,Hillary Clinton,120,164,284
Jackson,4,President,,Democratic,Hillary Clinton,10,33,43
Jackson,5,President,,Democratic,Hillary Clinton,23,51,74
Jackson,6,President,,Democratic,Hillary Clinton,57,95,152
Jackson,7,President,,Democratic,Hillary Clinton,3,7,10
Jackson,8,President,,Democratic,Hillary Clinton,16,49,65
Jackson,9,President,,Democratic,Hillary Clinton,22,42,64
Jackson,Total,President,,Democratic,Hillary Clinton,529,904,1433
Jackson,1,President,,Libertarian,Gary Johnson,9,17,26
Jackson,2,President,,Libertarian,Gary Johnson,7,14,21
Jackson,3,President,,Libertarian,Gary Johnson,8,10,18
Jackson,4,President,,Libertarian,Gary Johnson,0,4,4
Jackson,5,President,,Libertarian,Gary Johnson,4,7,11
Jackson,6,President,,Libertarian,Gary Johnson,4,8,12
Jackson,7,President,,Libertarian,Gary Johnson,0,1,1
Jackson,8,President,,Libertarian,Gary Johnson,3,10,13
Jackson,9,President,,Libertarian,Gary Johnson,0,7,7
Jackson,Total,President,,Libertarian,Gary Johnson,35,78,113
Jackson,1,President,,Green,Jill Stein,3,6,9
Jackson,2,President,,Green,Jill Stein,1,3,4
Jackson,3,President,,Green,Jill Stein,5,6,11
Jackson,4,President,,Green,Jill Stein,0,0,0
Jackson,5,President,,Green,Jill Stein,0,1,1
Jackson,6,President,,Green,Jill Stein,4,4,8
Jackson,7,President,,Green,Jill Stein,0,3,3
Jackson,8,President,,Green,Jill Stein,1,3,4
Jackson,9,President,,Green,Jill Stein,1,1,2
Jackson,Total,President,,Green,Jill Stein,15,27,42
Jackson,1,President,,,Darrell L. Castle,0,0,0
Jackson,2,President,,,Darrell L. Castle,0,3,3
Jackson,3,President,,,Darrell L. Castle,2,1,3
Jackson,4,President,,,Darrell L. Castle,0,0,0
Jackson,5,President,,,Darrell L. Castle,0,0,0
Jackson,6,President,,,Darrell L. Castle,1,2,3
Jackson,7,President,,,Darrell L. Castle,0,0,0
Jackson,8,President,,,Darrell L. Castle,0,0,0
Jackson,9,President,,,Darrell L. Castle,0,0,0
Jackson,Total,President,,,Darrell L. Castle,3,6,9
Jackson,1,President,,,Evan McMullin,3,8,11
Jackson,2,President,,,Evan McMullin,1,4,5
Jackson,3,President,,,Evan McMullin,3,9,12
Jackson,4,President,,,Evan McMullin,0,0,0
Jackson,5,President,,,Evan McMullin,0,0,0
Jackson,6,President,,,Evan McMullin,1,0,1
Jackson,7,President,,,Evan McMullin,0,0,0
Jackson,8,President,,,Evan McMullin,0,0,0
Jackson,9,President,,,Evan McMullin,0,0,0
Jackson,Total,President,,,Evan McMullin,8,21,29
Jackson,1,President,,,Monica Moorehead,0,0,0
Jackson,2,President,,,Monica Moorehead,0,0,0
Jackson,3,President,,,Monica Moorehead,0,0,0
Jackson,4,President,,,Monica Moorehead,0,0,0
Jackson,5,President,,,Monica Moorehead,0,0,0
Jackson,6,President,,,Monica Moorehead,0,1,1
Jackson,7,President,,,Monica Moorehead,0,0,0
Jackson,8,President,,,Monica Moorehead,0,0,0
Jackson,9,President,,,Monica Moorehead,0,0,0
Jackson,Total,President,,,Monica Moorehead,0,1,1
Jackson,1,President,,,Under Votes,11,14,25
Jackson,2,President,,,Under Votes,12,11,23
Jackson,3,President,,,Under Votes,12,6,18
Jackson,4,President,,,Under Votes,1,1,2
Jackson,5,President,,,Under Votes,0,1,1
Jackson,6,President,,,Under Votes,3,2,5
Jackson,7,President,,,Under Votes,0,1,1
Jackson,8,President,,,Under Votes,1,3,4
Jackson,9,President,,,Under Votes,1,2,3
Jackson,Total,President,,,Under Votes,41,41,82
Jackson,1,U.S. House,27,Republican,Blake Farenthold,569,797,1366
Jackson,2,U.S. House,27,Republican,Blake Farenthold,635,1081,1716
Jackson,3,U.S. House,27,Republican,Blake Farenthold,769,925,1694
Jackson,4,U.S. House,27,Republican,Blake Farenthold,81,187,268
Jackson,5,U.S. House,27,Republican,Blake Farenthold,135,302,437
Jackson,6,U.S. House,27,Republican,Blake Farenthold,182,271,453
Jackson,7,U.S. House,27,Republican,Blake Farenthold,21,57,78
Jackson,8,U.S. House,27,Republican,Blake Farenthold,121,288,409
Jackson,9,U.S. House,27,Republican,Blake Farenthold,116,312,428
Jackson,Total,U.S. House,27,Republican,Blake Farenthold,2629,4220,6849
Jackson,1,U.S. House,27,Democratic,Raul (Roy) Barrera,181,288,469
Jackson,2,U.S. House,27,Democratic,Raul (Roy) Barrera,91,172,263
Jackson,3,U.S. House,27,Democratic,Raul (Roy) Barrera,108,156,264
Jackson,4,U.S. House,27,Democratic,Raul (Roy) Barrera,10,36,46
Jackson,5,U.S. House,27,Democratic,Raul (Roy) Barrera,27,51,78
Jackson,6,U.S. House,27,Democratic,Raul (Roy) Barrera,59,97,156
Jackson,7,U.S. House,27,Democratic,Raul (Roy) Barrera,3,9,12
