county,precinct,office,district,candidate,party,votes,early voting,election day
Oldham,101,Straight Party,,,REP,107,17,90
Oldham,103,Straight Party,,,REP,57,39,18
Oldham,202,Straight Party,,,REP,57,26,31
Oldham,203,Straight Party,,,REP,74,48,26
Oldham,303,Straight Party,,,REP,119,87,32
Oldham,403,Straight Party,,,REP,63,22,41
Oldham,404,Straight Party,,,REP,55,19,36
Oldham,Total,Straight Party,,,REP,532,,
Oldham,101,Straight Party,,,DEM,8,0,8
Oldham,103,Straight Party,,,DEM,1,0,1
Oldham,202,Straight Party,,,DEM,7,2,5
Oldham,203,Straight Party,,,DEM,6,4,2
Oldham,303,Straight Party,,,DEM,10,4,6
Oldham,403,Straight Party,,,DEM,7,4,3
Oldham,404,Straight Party,,,DEM,3,0,3
Oldham,Total,Straight Party,,,DEM,42,,
Oldham,101,Straight Party,,,LIB,1,0,1
Oldham,103,Straight Party,,,LIB,0,0,0
Oldham,202,Straight Party,,,LIB,2,1,1
Oldham,203,Straight Party,,,LIB,0,0,0
Oldham,303,Straight Party,,,LIB,0,0,0
Oldham,403,Straight Party,,,LIB,0,0,0
Oldham,404,Straight Party,,,LIB,2,0,2
Oldham,Total,Straight Party,,,LIB,5,,
Oldham,101,Straight Party,,,GRN,0,0,0
Oldham,103,Straight Party,,,GRN,0,0,0
Oldham,202,Straight Party,,,GRN,0,0,0
Oldham,203,Straight Party,,,GRN,0,0,0
Oldham,303,Straight Party,,,GRN,0,0,0
Oldham,403,Straight Party,,,GRN,1,0,1
Oldham,404,Straight Party,,,GRN,0,0,0
Oldham,Total,Straight Party,,,GRN,1,,
Oldham,101,President,,Donald Trump,REP,137,20,117
Oldham,103,President,,Donald Trump,REP,91,56,35
Oldham,202,President,,Donald Trump,REP,99,35,64
Oldham,203,President,,Donald Trump,REP,128,72,56
Oldham,303,President,,Donald Trump,REP,178,124,54
Oldham,403,President,,Donald Trump,REP,111,47,64
Oldham,404,President,,Donald Trump,REP,106,29,77
Oldham,Total,President,,Donald Trump,REP,850,,
Oldham,101,President,,Hillary Clinton,DEM,13,0,13
Oldham,103,President,,Hillary Clinton,DEM,4,2,2
Oldham,202,President,,Hillary Clinton,DEM,14,2,12
Oldham,203,President,,Hillary Clinton,DEM,9,5,4
Oldham,303,President,,Hillary Clinton,DEM,19,5,14
Oldham,403,President,,Hillary Clinton,DEM,9,4,5
Oldham,404,President,,Hillary Clinton,DEM,10,1,9
Oldham,Total,President,,Hillary Clinton,DEM,78,,
Oldham,101,President,,Gary Johnson,LIB,2,0,2
Oldham,103,President,,Gary Johnson,LIB,1,0,1
Oldham,202,President,,Gary Johnson,LIB,3,1,2
Oldham,203,President,,Gary Johnson,LIB,2,1,1
Oldham,303,President,,Gary Johnson,LIB,3,0,3
Oldham,403,President,,Gary Johnson,LIB,0,0,0
Oldham,404,President,,Gary Johnson,LIB,3,0,3
Oldham,Total,President,,Gary Johnson,LIB,14,,
Oldham,101,President,,Jill Stein,GRN,1,0,1
Oldham,103,President,,Jill Stein,GRN,0,0,0
Oldham,202,President,,Jill Stein,GRN,0,0,0
Oldham,203,President,,Jill Stein,GRN,0,0,0
Oldham,303,President,,Jill Stein,GRN,1,0,1
Oldham,403,President,,Jill Stein,GRN,1,0,1
Oldham,404,President,,Jill Stein,GRN,0,0,0
Oldham,Total,President,,Jill Stein,GRN,3,,
Oldham,101,President,,Write-in,,2,0,2
Oldham,103,President,,Write-in,,0,0,0
Oldham,202,President,,Write-in,,1,0,1
Oldham,203,President,,Write-in,,2,0,2
Oldham,303,President,,Write-in,,1,0,1
Oldham,403,President,,Write-in,,0,0,0
Oldham,404,President,,Write-in,,2,0,2
Oldham,Total,President,,Write-in,,8,,
Oldham,101,U.S House,13,Mc Thornberry,REP,145,20,125
Oldham,103,U.S House,13,Mc Thornberry,REP,90,57,33
Oldham,202,U.S House,13,Mc Thornberry,REP,103,35,60
Oldham,203,U.S House,13,Mc Thornberry,REP,129,71,58
Oldham,303,U.S House,13,Mc Thornberry,REP,188,123,65
Oldham,403,U.S House,13,Mc Thornberry,REP,108,45,63
Oldham,404,U.S House,13,Mc Thornberry,REP,108,27,81
Oldham,Total,U.S House,13,Mc Thornberry,REP,871,,
Oldham,101,U.S House,13,Calvin DeWeese,LIB,3,0,3
Oldham,103,U.S House,13,Calvin DeWeese,LIB,4,0,4
Oldham,202,U.S House,13,Calvin DeWeese,LIB,4,1,3
Oldham,203,U.S House,13,Calvin DeWeese,LIB,2,1,1
Oldham,303,U.S House,13,Calvin DeWeese,LIB,8,3,5
Oldham,403,U.S House,13,Calvin DeWeese,LIB,5,1,4
Oldham,404,U.S House,13,Calvin DeWeese,LIB,5,1,4
Oldham,Total,U.S House,13,Calvin DeWeese,LIB,31,,
Oldham,101,U.S House,13,"H. F. ""Rusty"" Tomlinson",GRN,1,0,1
Oldham,103,U.S House,13,"H. F. ""Rusty"" Tomlinson",GRN,2,2,0
Oldham,202,U.S House,13,"H. F. ""Rusty"" Tomlinson",GRN,3,0,3
Oldham,203,U.S House,13,"H. F. ""Rusty"" Tomlinson",GRN,2,2,0
Oldham,303,U.S House,13,"H. F. ""Rusty"" Tomlinson",GRN,1,0,1
Oldham,403,U.S House,13,"H. F. ""Rusty"" Tomlinson",GRN,1,0,1
Oldham,404,U.S House,13,"H. F. ""Rusty"" Tomlinson",GRN,0,0,0
