county,precinct,office,district,candidate,party,votes,early_votes,election_day
Archer,1,Ballots Cast,,,,895,502,393
Archer,2,Ballots Cast,,,,665,390,275
Archer,3,Ballots Cast,,,,276,69,207
Archer,4,Ballots Cast,,,,490,132,358
Archer,5,Ballots Cast,,,,118,70,48
Archer,6,Ballots Cast,,,,755,480,275
Archer,7,Ballots Cast,,,,138,34,104
Archer,8,Ballots Cast,,,,247,143,104
Archer,9,Ballots Cast,,,,114,54,60
Archer,10,Ballots Cast,,,,560,409,151
Archer,11,Ballots Cast,,,,86,31,55
Archer,Total,Ballots Cast,,,,4344,2314,2030
Archer,1,Registered Votes,,,,1390,,
Archer,2,Registered Votes,,,,894,,
Archer,3,Registered Votes,,,,361,,
Archer,4,Registered Votes,,,,648,,
Archer,5,Registered Votes,,,,156,,
Archer,6,Registered Votes,,,,1190,,
Archer,7,Registered Votes,,,,238,,
Archer,8,Registered Votes,,,,332,,
Archer,9,Registered Votes,,,,165,,
Archer,10,Registered Votes,,,,794,,
Archer,11,Registered Votes,,,,117,,
Archer,Total,Registered Votes,,,,6285,,
Archer,1,Straight Party,,,REP,435,257,178
Archer,2,Straight Party,,,REP,335,194,141
Archer,3,Straight Party,,,REP,135,38,97
Archer,4,Straight Party,,,REP,243,70,173
Archer,5,Straight Party,,,REP,53,33,20
Archer,6,Straight Party,,,REP,338,224,114
Archer,7,Straight Party,,,REP,76,24,52
Archer,8,Straight Party,,,REP,117,69,48
Archer,9,Straight Party,,,REP,58,29,29
Archer,10,Straight Party,,,REP,236,185,51
Archer,11,Straight Party,,,REP,38,7,31
Archer,Total,Straight Party,,,REP,2064,1130,934
Archer,1,Straight Party,,,DEM,46,23,23
Archer,2,Straight Party,,,DEM,35,22,13
Archer,3,Straight Party,,,DEM,8,1,7
Archer,4,Straight Party,,,DEM,15,7,8
Archer,5,Straight Party,,,DEM,2,2,0
Archer,6,Straight Party,,,DEM,41,33,8
Archer,7,Straight Party,,,DEM,6,0,6
Archer,8,Straight Party,,,DEM,9,7,2
Archer,9,Straight Party,,,DEM,7,2,5
Archer,10,Straight Party,,,DEM,31,22,9
Archer,11,Straight Party,,,DEM,3,1,2
Archer,Total,Straight Party,,,DEM,203,120,83
Archer,1,Straight Party,,,LIB,6,2,4
Archer,2,Straight Party,,,LIB,1,1,0
Archer,3,Straight Party,,,LIB,1,0,1
Archer,4,Straight Party,,,LIB,0,0,0
Archer,5,Straight Party,,,LIB,0,0,0
Archer,6,Straight Party,,,LIB,1,1,0
Archer,7,Straight Party,,,LIB,0,0,0
Archer,8,Straight Party,,,LIB,1,0,1
Archer,9,Straight Party,,,LIB,0,0,0
Archer,10,Straight Party,,,LIB,0,0,0
Archer,11,Straight Party,,,LIB,0,0,0
Archer,Total,Straight Party,,,LIB,10,4,6
